pdf,output
pdfs/10.1590@S0103-50532001000300014.pdf,"{  ""Molecule_1"": {    ""IUPAC_nomenclature"": ""Tetra-acetylated glucosyl-rhamnosyl geranylgeraniol"",    ""bioActivity"": """",    ""collectionSpecies"": ""Cupania vernalis"",    ""collectionSite"": ""Mogi-Guaçu, São Paulo State, Brazil"",    ""collectionType"": ""Isolated compounds from trunk bark""  }}"
pdfs/10.1021@jf60217a066.pdf,"{    ""Molecule_1"": {        ""IUPAC_nomenclature"": ""Estragole"",        ""bioActivity"": ""Anesthetic properties, flavor similar to anise seed oil"",        ""collectionSpecies"": ""Croton aff. zehntneri (Euphorbiaceae)"",        ""collectionSite"": ""Northeast Brazil, specifically state of Ceará"",        ""collectionType"": ""Essential oil component""    },    ""Molecule_2"": {        ""IUPAC_nomenclature"": ""Methyleugenol"",        ""bioActivity"": ""Potent anesthetic, likely responsible for the pharmacological activity of plant infusions"",        ""collectionSpecies"": ""Croton aff. zehntneri (Euphorbiaceae)"",        ""collectionSite"": ""Northeast Brazil, specifically state of Ceará"",        ""collectionType"": ""Essential oil component""    },    ""Molecule_3"": {        ""IUPAC_nomenclature"": ""Safrole"",        ""bioActivity"": """",        ""collectionSpecies"": ""Croton aff. zehntneri (Euphorbiaceae)"",        ""collectionSite"": ""Northeast Brazil, specifically state of Ceará"",        ""collectionType"": ""Essential oil component""    },    ""Molecule_4"": {        ""IUPAC_nomenclature"": ""n-Heptadecane"",        ""bioActivity"": """",        ""collectionSpecies"": ""Croton aff. zehntneri (Euphorbiaceae)"",        ""collectionSite"": ""Northeast Brazil, specifically state of Ceará"",        ""collectionType"": ""Essential oil component""    },    ""Molecule_5"": {        ""IUPAC_nomenclature"": ""n-Eicosane"",        ""bioActivity"": """",        ""collectionSpecies"": ""Croton aff. zehntneri (Euphorbiaceae)"",        ""collectionSite"": ""Northeast Brazil, specifically state of Ceará"",        ""collectionType"": ""Essential oil component""    }}"
pdfs/10.1590@S0100-40422012001100015.pdf,"{    ""Molecule_1"": {        ""IUPAC_nomenclature"": ""(E)-N-Methylcinnamamide"",        ""bioActivity"": ""Known amide"",        ""collectionSpecies"": ""Swinglea glutinosa (Rutaceae)"",        ""collectionSite"": ""Instituto Agronômico de Campinas, Fazenda Santa Elisa, Campinas, SP, Brasil"",        ""collectionType"": """"    },    ""Molecule_2"": {        ""IUPAC_nomenclature"": ""N-Benzoyltyramine"",        ""bioActivity"": ""Known amide"",        ""collectionSpecies"": ""Swinglea glutinosa (Rutaceae)"",        ""collectionSite"": ""Instituto Agronômico de Campinas, Fazenda Santa Elisa, Campinas, SP, Brasil"",        ""collectionType"": """"    },    ""Molecule_3"": {        ""IUPAC_nomenclature"": ""N-{2-[4-(Butoxyl-3-one)phenyl]ethyl}benzamide"",        ""bioActivity"": ""Novel amide"",        ""collectionSpecies"": ""Swinglea glutinosa (Rutaceae)"",        ""collectionSite"": ""Instituto Agronômico de Campinas, Fazenda Santa Elisa, Campinas, SP, Brasil"",        ""collectionType"": """"    },    ""Molecule_4"": {        ""IUPAC_nomenclature"": ""N-{2-[4-(2,3-Dihydroxy-2-methyl-butoxylanal)phenyl]ethyl}benzamide"",        ""bioActivity"": ""Identified in extracts, hinted to be an intermediate in the biosynthesis of Molecule_3"",        ""collectionSpecies"": ""Swinglea glutinosa (Rutaceae)"",        ""collectionSite"": ""Instituto Agronômico de Campinas, Fazenda Santa Elisa, Campinas, SP, Brasil"",        ""collectionType"": """"    },    ""Molecule_5"": {        ""IUPAC_nomenclature"": ""N-{2-[4-(2,3-Dihydroxy-2-methyl-butoxyloic)phenyl]ethyl}benzamide"",        ""bioActivity"": ""Identified in extracts, hinted to be an intermediate in the biosynthesis of Molecule_3"",        ""collectionSpecies"": ""Swinglea glutinosa (Rutaceae)"",        ""collectionSite"": ""Instituto Agronômico de Campinas, Fazenda Santa Elisa, Campinas, SP, Brasil"",        ""collectionType"": """"    },    ""Molecule_6"": {        ""IUPAC_nomenclature"": ""N-Benzoyl-O-geranyltyramine"",        ""bioActivity"": ""Known amide, first time cited as a natural compound"",        ""collectionSpecies"": ""Swinglea glutinosa (Rutaceae)"",        ""collectionSite"": ""Instituto Agronômico de Campinas, Fazenda Santa Elisa, Campinas, SP, Brasil"",        ""collectionType"": """"    },    ""Molecule_7"": {        ""IUPAC_nomenclature"": ""N-Benzoyl-O-(4-acetoxyl)-geranyltyramine"",        ""bioActivity"": ""Isolated from fruits of the same species"",        ""collectionSpecies"": ""Swinglea glutinosa (Rutaceae)"",        ""collectionSite"": ""Instituto Agronômico de Campinas, Fazenda Santa Elisa, Campinas, SP, Brasil"",        ""collectionType"": """"    },    ""Molecule_8"": {        ""IUPAC_nomenclature"": ""N-Benzoyl-O-(4-acetoxyl-6,7-epoxy)-geranyltyramine"",        ""bioActivity"": ""Novel amide"",        ""collectionSpecies"": ""Swinglea glutinosa (Rutaceae)"",        ""collectionSite"": ""Instituto Agronômico de Campinas, Fazenda Santa Elisa, Campinas, SP, Brasil"",        ""collectionType"": """"    },    ""Molecule_9"": {        ""IUPAC_nomenclature"": ""N-Benzoyl-O-(4-acetoxyl-6,7-dihydroxy)-geranyltyramine"",        ""bioActivity"": ""Novel amide"",        ""collectionSpecies"": ""Swinglea glutinosa (Rutaceae)"",        ""collectionSite"": ""Instituto Agronômico de Campinas, Fazenda Santa Elisa, Campinas, SP, Brasil"",        ""collectionType"": """"    },    ""Molecule_10"": {        ""IUPAC_nomenclature"": ""N-Benzoyl-O-(6-acetoxyl-4,7-dihydroxy)-geranyltyramine"",        ""bioActivity"": ""Novel amide"",        ""collectionSpecies"": ""Swinglea glutinosa (Rutaceae)"",        ""collectionSite"": ""Instituto Agronômico de Campinas, Fazenda Santa Elisa, Campinas, SP, Brasil"",        ""collectionType"": """"    }}"
pdfs/10.1016@S0031-9422(01)00079-6.pdf,"{  ""Molecule_1"": {    ""IUPAC_nomenclature"": ""Dipropyl disulphide"",    ""bioActivity"": ""Potent inhibition against strains of Saccharomyces cerevisiae and fungi Cladosporium cladosporioides and C. sphaerospermum"",    ""collectionSpecies"": ""Petiveria alliacea L. (Phytolacaceae)"",    ""collectionSite"": ""Instituto Butantã Reserve, São Paulo"",    ""collectionType"": """"  },  ""Molecule_2"": {    ""IUPAC_nomenclature"": ""Dibenzyl sulphide"",    ""bioActivity"": ""Potent inhibition against strains of Saccharomyces cerevisiae and fungi Cladosporium cladosporioides and C. sphaerospermum"",    ""collectionSpecies"": ""Petiveria alliacea L. (Phytolacaceae)"",    ""collectionSite"": ""Instituto Butantã Reserve, São Paulo"",    ""collectionType"": """"  },  ""Molecule_3"": {    ""IUPAC_nomenclature"": ""Dibenzyl disulphide"",    ""bioActivity"": ""Potent inhibition against strains of Saccharomyces cerevisiae and fungi Cladosporium cladosporioides and C. sphaerospermum"",    ""collectionSpecies"": ""Petiveria alliacea L. (Phytolacaceae)"",    ""collectionSite"": ""Instituto Butantã Reserve, São Paulo"",    ""collectionType"": """"  },  ""Molecule_4"": {    ""IUPAC_nomenclature"": ""Dibenzyl trisulphide"",    ""bioActivity"": ""Potent inhibition against strains of Saccharomyces cerevisiae and fungi Cladosporium cladosporioides and C. sphaerospermum; previously reported anticancer activity"",    ""collectionSpecies"": ""Petiveria alliacea L. (Phytolacaceae)"",    ""collectionSite"": ""Instituto Butantã Reserve, São Paulo"",    ""collectionType"": """"  },  ""Molecule_5"": {    ""IUPAC_nomenclature"": ""Dibenzyl tetrasulphide"",    ""bioActivity"": ""Marginal activity against fungal growth of Cladosporium cladosporioides and C. sphaerospermum"",    ""collectionSpecies"": ""Petiveria alliacea L. (Phytolacaceae)"",    ""collectionSite"": ""Instituto Butantã Reserve, São Paulo"",    ""collectionType"": """"  },  ""Molecule_6"": {    ""IUPAC_nomenclature"": ""Benzylhydroxymethyl sulphide"",    ""bioActivity"": ""Low or no activity against fungal growth of Cladosporium cladosporioides and C. sphaerospermum"",    ""collectionSpecies"": ""Petiveria alliacea L. (Phytolacaceae)"",    ""collectionSite"": ""Instituto Butantã Reserve, São Paulo"",    ""collectionType"": """"  },  ""Molecule_7"": {    ""IUPAC_nomenclature"": ""Di(benzyltrithio) methane"",    ""bioActivity"": ""Marginal activity against fungal growth of Cladosporium cladosporioides and C. sphaerospermum"",    ""collectionSpecies"": ""Petiveria alliacea L. (Phytolacaceae)"",    ""collectionSite"": ""Instituto Butantã Reserve, São Paulo"",    ""collectionType"": """"  }}"
pdfs/10.3390@molecules15096140.pdf,"{  ""Molecule_1"": {    ""IUPAC_nomenclature"": ""Lupeol"",    ""bioActivity"": ""Anti-inflammatory, anti-viral, anti-tumor"",    ""collectionSpecies"": ""Acosmium dasycarpum"",    ""collectionSite"": """",    ""collectionType"": ""Isolated from plant""  },  ""Molecule_2"": {    ""IUPAC_nomenclature"": ""(Not Provided)"",    ""bioActivity"": ""Potential lupeol derivative with introduction of double bond and loss of isopropenyl group; requires further elucidation"",    ""collectionSpecies"": ""Aspergillus ochraceus"",    ""collectionSite"": """",    ""collectionType"": ""Biotransformation Product""  },  ""Molecule_3"": {    ""IUPAC_nomenclature"": ""(Not Provided)"",    ""bioActivity"": ""Potential desaturated lupeol derivative; indicates formation of double bond between C-11 and C-12; requires further elucidation"",    ""collectionSpecies"": ""Aspergillus ochraceus"",    ""collectionSite"": """",    ""collectionType"": ""Biotransformation Product""  },  ""Molecule_4"": {    ""IUPAC_nomenclature"": ""(Not Provided)"",    ""bioActivity"": ""Indicates addition of an oxygen atom more than lupeol, likely bound at C-11 or C-12; requires further elucidation"",    ""collectionSpecies"": ""Mucor rouxii"",    ""collectionSite"": """",    ""collectionType"": ""Biotransformation Product""  },  ""Molecule_5"": {    ""IUPAC_nomenclature"": ""(Not Provided)"",    ""bioActivity"": ""Indicates two additional oxygen atoms and a prenyl group, likely in the ring C; requires further elucidation"",    ""collectionSpecies"": ""Mucor rouxii"",    ""collectionSite"": """",    ""collectionType"": ""Biotransformation Product""  }}"
pdfs/10.1016@0031-9422(95)00969-8.pdf,"{  ""Molecule_1"": {    ""IUPAC_nomenclature"": ""24-Methylene-26-hydroxycycloartan-3-one"",    ""bioActivity"": ""Not explicitly mentioned"",    ""collectionSpecies"": ""Trichilia claussenii"",    ""collectionSite"": ""São Paulo State, Brazil"",    ""collectionType"": ""Isolated Natural Product""  },  ""Molecule_2"": {    ""IUPAC_nomenclature"": ""Cycloartane derivative esterified with fatty acid at C-3"",    ""bioActivity"": ""Not explicitly mentioned"",    ""collectionSpecies"": ""Trichilia claussenii"",    ""collectionSite"": ""São Paulo State, Brazil"",    ""collectionType"": ""Isolated Natural Product after hydrolysis and esterification""  },  ""Molecule_3"": {    ""IUPAC_nomenclature"": ""ω-Phenyl alkanoic and alkenoic acids"",    ""bioActivity"": ""Not explicitly mentioned"",    ""collectionSpecies"": ""Trichilia claussenii"",    ""collectionSite"": ""São Paulo State, Brazil"",    ""collectionType"": ""Biosynthesized Compounds identified after esterification""  }}"
pdfs/10.1016@S0031-9422(00)98664-3.pdf,"{    ""Molecule_1"": {        ""IUPAC_nomenclature"": ""3,5-dimethoxy-4-prenylstilbene"",        ""bioActivity"": """",        ""collectionSpecies"": ""Derris floribunda"",        ""collectionSite"": ""vicinity of Manaus, Amazonas"",        ""collectionType"": ""Powdered root extraction""    },    ""Molecule_2"": {        ""IUPAC_nomenclature"": ""lonchocarpin"",        ""bioActivity"": """",        ""collectionSpecies"": ""Derris floribunda"",        ""collectionSite"": ""vicinity of Manaus, Amazonas"",        ""collectionType"": ""Powdered root extraction""    },    ""Molecule_3"": {        ""IUPAC_nomenclature"": ""3,5,4'-trimethoxy-4-prenylstilbene"",        ""bioActivity"": """",        ""collectionSpecies"": ""Derris floribunda"",        ""collectionSite"": ""vicinity of Manaus, Amazonas"",        ""collectionType"": ""Powdered root extraction""    },    ""Molecule_4"": {        ""IUPAC_nomenclature"": ""derricidin"",        ""bioActivity"": """",        ""collectionSpecies"": ""Derris floribunda"",        ""collectionSite"": ""vicinity of Manaus, Amazonas"",        ""collectionType"": ""Powdered root extraction""    },    ""Molecule_5"": {        ""IUPAC_nomenclature"": ""isocordoin"",        ""bioActivity"": """",        ""collectionSpecies"": ""Derris floribunda"",        ""collectionSite"": ""vicinity of Manaus, Amazonas"",        ""collectionType"": ""Powdered root extraction""    },    ""Molecule_6"": {        ""IUPAC_nomenclature"": ""5,7-dihydroxy-6-prenylflavanone"",        ""bioActivity"": """",        ""collectionSpecies"": ""Derris floribunda"",        ""collectionSite"": ""vicinity of Manaus, Amazonas"",        ""collectionType"": """"    },    ""Molecule_7"": {        ""IUPAC_nomenclature"": ""4-hydroxylonchocarpin"",        ""bioActivity"": """",        ""collectionSpecies"": ""Derris floribunda"",        ""collectionSite"": ""vicinity of Manaus, Amazonas"",        ""collectionType"": ""Powdered root extraction""    },    ""Molecule_8"": {        ""IUPAC_nomenclature"": ""6a,12a-dehydrorotenone"",        ""bioActivity"": """",        ""collectionSpecies"": """",        ""collectionSite"": """",        ""collectionType"": ""Product of reflux in 10% methanolic H2SO4""    }   }"
pdfs/10.1351@pac200173030617.pdf,"{    ""Molecule_1"": {        ""IUPAC_nomenclature"": ""Chalepin"",        ""bioActivity"": ""Inhibition of glycolytic enzyme T. cruzi-GAPDH with IC50 = 64 µM"",        ""collectionSpecies"": """",        ""collectionSite"": """",        ""collectionType"": ""Previously isolated from different Rutales species""    },    ""Molecule_2"": {        ""IUPAC_nomenclature"": ""Escopoletin"",        ""bioActivity"": ""Tested against trypomastigote form of T. cruzi, showing IC50 values of 59 µg/mL"",        ""collectionSpecies"": """",        ""collectionSite"": """",        ""collectionType"": """"    },    ""Molecule_3"": {        ""IUPAC_nomenclature"": ""Osthol"",        ""bioActivity"": ""Tested against trypomastigote form of T. cruzi, showing IC50 values of 268 µg/mL"",        ""collectionSpecies"": """",        ""collectionSite"": """",        ""collectionType"": """"    },    ""Molecule_4"": {        ""IUPAC_nomenclature"": ""Phebalosin"",        ""bioActivity"": ""Tested against trypomastigote form of T. cruzi, showing IC50 values of 1000 µg/mL"",        ""collectionSpecies"": """",        ""collectionSite"": """",        ""collectionType"": """"    }}"
pdfs/10.1002@cbdv.200590016.pdf,"{    ""IUPAC_nomenclature"": ""3,4-dihydroxybenzoic acid geranyl ester"",    ""bioActivity"": ""Free Radical Scavenging"",    ""collectionSpecies"": ""Salacia campestris"",    ""collectionSite"": ""Fazenda Canchim at the Universidade Federal de Sao Carlos, Sao Carlos, SP, Brazil"",    ""collectionType"": """"}"
pdfs/10.1016@0031-9422(73)80047-0.pdf,"{    ""Molecule_1"": {        ""IUPAC_nomenclature"": ""lupeol"",        ""bioActivity"": """",        ""collectionSpecies"": ""Licaria puchury-major"",        ""collectionSite"": ""Amazonia"",        ""collectionType"": ""Natural Product""    },    ""Molecule_2"": {        ""IUPAC_nomenclature"": ""betulin diacetate"",        ""bioActivity"": """",        ""collectionSpecies"": ""Licaria puchury-major"",        ""collectionSite"": ""Amazonia"",        ""collectionType"": ""Natural Product""    },    ""Molecule_3"": {        ""IUPAC_nomenclature"": ""safrol"",        ""bioActivity"": """",        ""collectionSpecies"": ""Licaria puchury-major"",        ""collectionSite"": ""Manaus-Itacoatiara road, Amazonia"",        ""collectionType"": ""Natural Product""    },    ""Molecule_4"": {        ""IUPAC_nomenclature"": ""eugenol"",        ""bioActivity"": """",        ""collectionSpecies"": ""Licaria puchury-major"",        ""collectionSite"": ""Manaus-Itacoatiara road, Amazonia"",        ""collectionType"": ""Natural Product""    },    ""Molecule_5"": {        ""IUPAC_nomenclature"": ""3,4-methylenedioxycinnamaldehyde"",        ""bioActivity"": """",        ""collectionSpecies"": ""Licaria puchury-major"",        ""collectionSite"": ""Manaus-Itacoatiara road, Amazonia"",        ""collectionType"": ""Natural Product""    },    ""Molecule_6"": {        ""IUPAC_nomenclature"": ""3,4-methylenedioxycinnamyl alcohol"",        ""bioActivity"": """",        ""collectionSpecies"": ""Licaria puchury-major"",        ""collectionSite"": ""Manaus-Itacoatiara road, Amazonia"",        ""collectionType"": ""Natural Product""    },    ""Molecule_7"": {        ""IUPAC_nomenclature"": ""syringic aldehyde"",        ""bioActivity"": """",        ""collectionSpecies"": ""Licaria puchury-major"",        ""collectionSite"": ""Manaus-Itacoatiara road, Amazonia"",        ""collectionType"": ""Natural Product""    },    ""Molecule_8"": {        ""IUPAC_nomenclature"": ""linderone"",        ""bioActivity"": """",        ""collectionSpecies"": ""Lindera erythrocarpa"",        ""collectionSite"": ""Gifu Prefecture, Japan"",        ""collectionType"": ""Natural Product""    },    ""Molecule_9"": {        ""IUPAC_nomenclature"": ""methyllinderone"",        ""bioActivity"": """",        ""collectionSpecies"": ""Lindera erythrocarpa"",        ""collectionSite"": ""Gifu Prefecture, Japan"",        ""collectionType"": ""Natural Product""    },    ""Molecule_10"": {        ""IUPAC_nomenclature"": """",        ""bioActivity"": """",        ""collectionSpecies"": ""Lindera erythrocarpa"",        ""collectionSite"": ""Gifu Prefecture, Japan"",        ""collectionType"": ""Detected by TLC but not isolated""    },    ""Molecule_11"": {        ""IUPAC_nomenclature"": """",        ""bioActivity"": """",        ""collectionSpecies"": ""Lindera erythrocarpa"",        ""collectionSite"": ""Gifu Prefecture, Japan"",        ""collectionType"": ""Detected by TLC but not isolated""    }}"
