"true","restored","edge_type"
"['10.1002/jobm.200800093', 'Ribeirao Preto/SP, Nigrospora sphaerica']","['10.1002/jobm.200800093', ['Ribeirao Preto ,SP']]","doi_collectionSite"
"['10.1002/ps.478', 'Rio Claro/SP']","['10.1002/ps.478', ['Rio Claro ,SP']]","doi_collectionSite"
"['10.1002/ptr.1249', 'Ribeirao Preto/SP']","['10.1002/ptr.1249', ['Ribeirao Preto ,SP']]","doi_collectionSite"
"['10.1016/0031-9422(90)80024-B', 'N/A/MG']","['10.1016/0031-9422(90)80024-B', ['Brasilandia De Minas ,MG']]","doi_collectionSite"
"['10.1016/0040-4020(95)00254-6', 'Sao Paulo/SP']","['10.1016/0040-4020(95)00254-6', ['Sao Paulo ,SP']]","doi_collectionSite"
"['10.1016/S0014-5793(02)02700-X', 'Araraquara/SP']","['10.1016/S0014-5793(02)02700-X', ['Materlandia ,MG']]","doi_collectionSite"
"['10.1016/S0031-9422(00)00477-5', 'Belem/PA']","['10.1016/S0031-9422(00)00477-5', ['Piracanjuba ,GO']]","doi_collectionSite"
"['10.1016/S0031-9422(97)00598-0', 'Sao Carlos/SP']","['10.1016/S0031-9422(97)00598-0', ['Sao Carlos ,SP']]","doi_collectionSite"
"['10.1016/S0031-9422(98)00249-0', 'Mogi Guacu/SP']","['10.1016/S0031-9422(98)00249-0', ['Sao Paulo ,SP']]","doi_collectionSite"
"['10.1016/S0031-9422(99)00132-6', 'Ibate/SP']","['10.1016/S0031-9422(99)00132-6', ['Itapeva ,SP']]","doi_collectionSite"
"['10.1016/j.biortech.2010.01.041', 'Araraquara/SP']","['10.1016/j.biortech.2010.01.041', ['Araraquara ,SP']]","doi_collectionSite"
"['10.1016/j.chroma.2009.02.009', 'Itacoatiara/AM']","['10.1016/j.chroma.2009.02.009', ['Floresta Do Araguaia ,PA']]","doi_collectionSite"
"['10.1016/j.chroma.2009.02.066', 'Cordeiropolis/SP']","['10.1016/j.chroma.2009.02.066', ['Campinas ,SP']]","doi_collectionSite"
"['10.1016/j.jfca.2003.09.013', 'N/A/SP']","['10.1016/j.jfca.2003.09.013', []]","doi_collectionSite"
"['10.1016/j.phytochem.2005.06.019', 'Mogi Guacu/SP']","['10.1016/j.phytochem.2005.06.019', ['Mogi Guacu ,SP']]","doi_collectionSite"
"['10.1016/j.tiv.2008.01.003', 'Ribeirao Preto/SP']","['10.1016/j.tiv.2008.01.003', ['Ilicinea ,MG']]","doi_collectionSite"
"['10.1021/jf00030a035', 'N/A/CE']","['10.1021/jf00030a035', ['Sao Carlos ,SP']]","doi_collectionSite"
"['10.1021/jf063451x', 'Belem/PA']","['10.1021/jf063451x', ['Reserva Do Cabacal ,MT']]","doi_collectionSite"
"['10.1021/jf100233y', 'Mogi Guacu/SP']","['10.1021/jf100233y', ['Mogi Guacu ,SP']]","doi_collectionSite"
"['10.1021/jf60217a066', 'Igarape-acu/PA']","['10.1021/jf60217a066', ['Guaraciaba Do Norte ,CE']]","doi_collectionSite"
"['10.1021/np0103970', 'Ibirama/SC']","['10.1021/np0103970', ['Itajai ,SC']]","doi_collectionSite"
"['10.1021/np030530j', 'Manaus/AM']","['10.1021/np030530j', ['Campinas ,SP', 'Itapeva ,SP', 'Manaus ,AM']]","doi_collectionSite"
"['10.1021/np030530j', 'Sao Paulo/SP']","['10.1021/np030530j', ['Campinas ,SP', 'Itapeva ,SP', 'Manaus ,AM']]","doi_collectionSite"
"['10.1021/np030530j', 'Ibate/SP']","['10.1021/np030530j', ['Campinas ,SP', 'Itapeva ,SP', 'Manaus ,AM']]","doi_collectionSite"
"['10.1021/np049863m', 'Belem/PA']","['10.1021/np049863m', ['Belem ,PB']]","doi_collectionSite"
"['10.1021/np070312g', 'Araraquara/SP']","['10.1021/np070312g', ['Araraquara ,SP']]","doi_collectionSite"
"['10.1021/np100840w', 'Campinas/SP']","['10.1021/np100840w', ['Campinas ,SP']]","doi_collectionSite"
"['10.1021/np4006822', 'N/A/PE']","['10.1021/np4006822', ['Recife ,PE']]","doi_collectionSite"
"['10.1021/np9004079', 'Campinas/SP']","['10.1021/np9004079', ['Campinas ,SP']]","doi_collectionSite"
"['10.1021/np9703656', 'Teodoro Sampaio/SP']","['10.1021/np9703656', ['Teodoro Sampaio ,SP']]","doi_collectionSite"
"['10.1055/s-0028-1088323', 'Sao Carlos/SP']","['10.1055/s-0028-1088323', ['Sao Carlos ,SP']]","doi_collectionSite"
"['10.1055/s-0029-1185364', 'Pocos De Caldas/MG']","['10.1055/s-0029-1185364', ['Pocos De Caldas ,MG']]","doi_collectionSite"
"['10.1080/14786419.2011.647020', 'N/A/MG']","['10.1080/14786419.2011.647020', ['Brasilandia De Minas ,MG']]","doi_collectionSite"
"['10.1248/cpb.56.407', 'Araraquara/SP']","['10.1248/cpb.56.407', ['Brasilandia Do Sul ,PR']]","doi_collectionSite"
"['10.1515/znb-2005-0715', 'Murici/AL']","['10.1515/znb-2005-0715', ['Poco Das Antas ,RS']]","doi_collectionSite"
"['10.1515/znc-2009-11-1212', 'Mogi Guacu/SP']","['10.1515/znc-2009-11-1212', ['Mogi Guacu ,SP']]","doi_collectionSite"
"['10.1590/S0100-40422004000200005', 'Cunha/SP']","['10.1590/S0100-40422004000200005', ['Cunha ,SP']]","doi_collectionSite"
"['10.1590/S0100-40422005000600011', 'Mogi Guacu/SP']","['10.1590/S0100-40422005000600011', ['Mogi Guacu ,SP']]","doi_collectionSite"
"['10.1590/S0100-40422008000400023', 'Iguape/SP']","['10.1590/S0100-40422008000400023', ['Iguape ,SP']]","doi_collectionSite"
"['10.1590/S0100-40422010001000006', 'Araraquara/SP']","['10.1590/S0100-40422010001000006', ['Araraquara ,SP']]","doi_collectionSite"
"['10.1590/S0100-46702007000300002', 'Ribeirao Preto/SP']","['10.1590/S0100-46702007000300002', ['Ribeirao Preto ,SP']]","doi_collectionSite"
"['10.1590/S0102-695X2008000200010', 'Lavras/MG']","['10.1590/S0102-695X2008000200010', ['Lavras ,MG']]","doi_collectionSite"
"['10.1590/S0102-695X2010005000017', 'Sao Paulo/SP']","['10.1590/S0102-695X2010005000017', ['Jardinopolis ,SP']]","doi_collectionSite"
"['10.1590/S0103-50532002000100010', 'Ibirama/SC']","['10.1590/S0103-50532002000100010', ['Ibirama ,SC']]","doi_collectionSite"
"['10.1590/S0103-50532003000300007', 'Urucuca/BA']","['10.1590/S0103-50532003000300007', ['Pirai Do Norte ,BA', 'Brasilandia Do Sul ,PR']]","doi_collectionSite"
"['10.1590/S0103-50532003000500012', 'Belem/PA']","['10.1590/S0103-50532003000500012', ['Brasil Novo ,PA']]","doi_collectionSite"
"['10.1590/S0103-50532005000400005', 'Peruibe/SP']","['10.1590/S0103-50532005000400005', ['Floresta Do Araguaia ,PA']]","doi_collectionSite"
"['10.1590/S0103-50532005000800008', 'Belem/PA']","['10.1590/S0103-50532005000800008', ['Belem ,PB']]","doi_collectionSite"
"['10.1590/S0103-50532005000800018', 'Araraquara/SP']","['10.1590/S0103-50532005000800018', ['Campinas ,SP']]","doi_collectionSite"
"['10.1590/S0103-50532005000800029', 'Maues/AM']","['10.1590/S0103-50532005000800029', ['Araraquara ,SP']]","doi_collectionSite"
"['10.1590/S0103-50532009000400008', 'Campinas/SP']","['10.1590/S0103-50532009000400008', ['Campinas ,SP']]","doi_collectionSite"
"['10.1590/s0100-40422008000700015', 'Ribeirao Preto/SP']","['10.1590/s0100-40422008000700015', ['N/A,TO']]","doi_collectionSite"
"['10.2174/187152010794728620', 'Vicosa/MG']","['10.2174/187152010794728620', ['N/A,TO', 'Santa Vitoria ,MG', 'Belem ,PB']]","doi_collectionSite"
"['10.5935/0100-4042.20140049', 'Pirenopolis/GO']","['10.5935/0100-4042.20140049', ['Pirenopolis ,GO']]","doi_collectionSite"
"['10.5935/0103-5053.19930018', 'N/A/ES']","['10.5935/0103-5053.19930018', []]","doi_collectionSite"
