true,restored,edge_type
"['10.1002/cbdv.200800342', 'Plant Isolated']","['10.1002/cbdv.200800342', ['Isolated from plant leaves', 'Isolated from plant leaves', 'Isolated from plant leaves', 'Isolated from plant leaves', 'Isolated from plant leaves', 'Isolated from plant leaves', 'Degradation Product']]",doi_collectionType
"['10.1016/S0014-5793(02)02700-X', 'Plant Isolated']","['10.1016/S0014-5793(02)02700-X', ['The molecule chalepin was isolated through extraction using organic solvents and various chromatographic techniques.']]",doi_collectionType
"['10.1016/S0031-9422(01)00431-9', 'Plant Isolated']","['10.1016/S0031-9422(01)00431-9', []]",doi_collectionType
"['10.1016/S0031-9422(98)00249-0', 'Plant Isolated']","['10.1016/S0031-9422(98)00249-0', []]",doi_collectionType
"['10.1016/S0031-9422(99)00132-6', 'Plant Isolated']","['10.1016/S0031-9422(99)00132-6', ['Natural isolate', 'Natural isolate']]",doi_collectionType
"['10.1016/j.phytochem.2007.08.012', 'Plant Isolated']","['10.1016/j.phytochem.2007.08.012', []]",doi_collectionType
"['10.1016/j.phytochem.2008.01.006', 'Plant Isolated']","['10.1016/j.phytochem.2008.01.006', []]",doi_collectionType
"['10.1016/j.phytochem.2009.08.013', 'Plant Isolated']","['10.1016/j.phytochem.2009.08.013', ['Compound isolated from K. ivorensis plants with and without symptoms of stem cankers caused by B. rhodina']]",doi_collectionType
"['10.1016/j.tiv.2008.01.003', 'Plant Isolated']","['10.1016/j.tiv.2008.01.003', []]",doi_collectionType
"['10.1021/cc100076k', 'Plant Isolated']","['10.1021/cc100076k', []]",doi_collectionType
"['10.1021/np049863m', 'Plant Isolated']","['10.1021/np049863m', []]",doi_collectionType
"['10.1055/s-0034-1368301', 'Microorganism isolated']","['10.1055/s-0034-1368301', ['Isolated from endophytic fungi', 'Isolated from endophytic fungi']]",doi_collectionType
"['10.1080/14786410600907002', 'Plant Isolated']","['10.1080/14786410600907002', ['Methanol extract from the stems and fruits', 'Methanol extract from the stems and fruits', 'Methanol extract from the stems and fruits', 'Methanol extract from the stems and fruits', 'Methanol extract from the stems and fruits', 'Methanol extract from the stems and fruits', 'Methanol extract from the stems and fruits', 'Methanol extract from the stems and fruits', 'Methanol extract from the stems and fruits', 'Methanol extract from the stems and fruits', 'Methanol extract from the stems and fruits', 'Methanol extract from the fresh fruits', 'Methanol extract from the fresh fruits', 'Methanol extract from the fresh fruits']]",doi_collectionType
"['10.1080/14786410802243271', 'Plant Isolated']","['10.1080/14786410802243271', []]",doi_collectionType
"['10.1515/znb-2005-0715', 'Plant Isolated']","['10.1515/znb-2005-0715', ['Isolated from plant stems']]",doi_collectionType
"['10.1515/znc-2009-11-1212', 'Microorganism isolated']","['10.1515/znc-2009-11-1212', ['Endophyte isolate from leaves of Alibertia macrophylla', 'Endophyte isolate from leaves of Alibertia macrophylla', 'Endophyte isolate from leaves of Alibertia macrophylla', 'Endophyte isolate from leaves of Alibertia macrophylla', 'Endophyte isolate from leaves of Alibertia macrophylla', 'Endophyte isolate from leaves of Alibertia macrophylla']]",doi_collectionType
"['10.1590/S0073-47212009000100009', 'Plant Isolated']","['10.1590/S0073-47212009000100009', ['Isolated through chromatographic techniques from the dicloromethane extract of dried leaves']]",doi_collectionType
"['10.1590/S0100-40422005000600011', 'Microorganism isolated']","['10.1590/S0100-40422005000600011', []]",doi_collectionType
"['10.1590/S0100-40422006000300016', 'Plant Isolated']","['10.1590/S0100-40422006000300016', []]",doi_collectionType
"['10.1590/S0100-40422008000400018', 'Plant Isolated']","['10.1590/S0100-40422008000400018', []]",doi_collectionType
"['10.1590/S0102-695X2009000100002', 'Plant Isolated']","['10.1590/S0102-695X2009000100002', []]",doi_collectionType
"['10.1590/S0103-50532002000100019', 'Plant Isolated']","['10.1590/S0103-50532002000100019', ['Isolated from methanol extracts of flowers and peduncles', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark']]",doi_collectionType
"['10.1590/S0103-50532005000400031', 'Plant Isolated']","['10.1590/S0103-50532005000400031', []]",doi_collectionType
"['10.1590/S0103-50532009000100029', 'Biotransformation Product']","['10.1590/S0103-50532009000100029', ['Biotransformation Product', 'Natural product']]",doi_collectionType
"['10.1590/S0103-50532009000400008', 'Plant Isolated']","['10.1590/S0103-50532009000400008', ['Isolated from MeOH extract of the stem bark', 'Isolated from MeOH extract of the stem bark', 'Isolated from MeOH extract of the stem bark']]",doi_collectionType
"['10.1590/S0103-50532010000500016', 'Plant Isolated']","['10.1590/S0103-50532010000500016', ['Isolated for the first time from the genus Spiranthera', 'Isolated for the first time from the genus Spiranthera']]",doi_collectionType
"['10.5935/0103-5053.19930018', 'Plant Isolated']","['10.5935/0103-5053.19930018', []]",doi_collectionType
