true,restored,edge_type
"['10.1002/hlca.200890147', 'Plant Isolated']","['10.1002/hlca.200890147', ['Isolation', 'Isolation', 'Isolation', 'Isolation', 'Isolation']]",doi_collectionType
"['10.1016/0031-9422(73)85048-4', 'Plant Isolated']","['10.1016/0031-9422(73)85048-4', []]",doi_collectionType
"['10.1016/S0031-9422(00)00225-9', 'Plant Isolated']","['10.1016/S0031-9422(00)00225-9', []]",doi_collectionType
"['10.1016/S0031-9422(00)00226-0', 'Plant Isolated']","['10.1016/S0031-9422(00)00226-0', []]",doi_collectionType
"['10.1016/S0031-9422(00)00323-X', 'Plant Isolated']","['10.1016/S0031-9422(00)00323-X', []]",doi_collectionType
"['10.1016/S0031-9422(01)00431-9', 'Plant Isolated']","['10.1016/S0031-9422(01)00431-9', []]",doi_collectionType
"['10.1016/S0031-9422(97)00238-0', 'Plant Isolated']","['10.1016/S0031-9422(97)00238-0', []]",doi_collectionType
"['10.1016/S0031-9422(98)00249-0', 'Plant Isolated']","['10.1016/S0031-9422(98)00249-0', []]",doi_collectionType
"['10.1016/j.bse.2006.06.007', 'Microorganism isolated']","['10.1016/j.bse.2006.06.007', ['Endophytic fungus isolated from healthy leaves of Cryptocarya mandioccana', 'Endophytic fungus isolated from healthy leaves of Cryptocarya mandioccana']]",doi_collectionType
"['10.1016/j.chroma.2009.02.009', 'Plant Isolated']","['10.1016/j.chroma.2009.02.009', []]",doi_collectionType
"['10.1016/j.chroma.2009.02.066', 'Plant Isolated']","['10.1016/j.chroma.2009.02.066', ['Isolated', 'Isolated', 'Isolated', 'Isolated']]",doi_collectionType
"['10.1016/j.micres.2004.06.003', 'Microorganism isolated']","['10.1016/j.micres.2004.06.003', []]",doi_collectionType
"['10.1016/j.phytochem.2004.03.039', 'Plant Isolated']","['10.1016/j.phytochem.2004.03.039', ['Isolated from root bark', 'Isolated from root bark', 'Known compound, isolated from root bark', 'Known compound, isolated from root bark', 'Known compound, isolated from root bark', 'Known compound, isolated from root bark', 'Known compound, discrepancies in published data for 13C NMR signals corrected, isolated from root bark', 'Known compound, discrepancies in published data for 13C NMR signals corrected, isolated from root bark', 'Known compound, discrepancies in published data for 13C NMR signals corrected, isolated from root bark']]",doi_collectionType
"['10.1016/j.phytochem.2005.04.043', 'Microorganism isolated']","['10.1016/j.phytochem.2005.04.043', []]",doi_collectionType
"['10.1016/j.phytochem.2009.08.013', 'Plant Isolated']","['10.1016/j.phytochem.2009.08.013', ['Compound isolated from K. ivorensis plants with and without symptoms of stem cankers caused by B. rhodina']]",doi_collectionType
"['10.1021/jf063451x', 'Plant Isolated']","['10.1021/jf063451x', ['Methanol extract from leaves', 'Methanol extract from leaves', 'Methanol extract from leaves', 'Methanol extract from leaves', 'Methanol extract from leaves', 'Hexane extract from seeds', 'Hexane extract from seeds', 'Hexane extract from seeds', 'Hexane extract from seeds', 'Hexane extract from seeds']]",doi_collectionType
"['10.1021/np1007476', 'Plant Isolated']","['10.1021/np1007476', ['Isolation from the leaves extract', 'Isolation from the leaves extract', 'Isolation from the leaves extract']]",doi_collectionType
"['10.1021/np100840w', 'Plant Isolated']","['10.1021/np100840w', ['Derivative produced by acetylation of Molecule_1', 'Derivative produced by acetylation of Molecule_4']]",doi_collectionType
"['10.1021/np100840w', 'Semisynthesis Product']","['10.1021/np100840w', ['Derivative produced by acetylation of Molecule_1', 'Derivative produced by acetylation of Molecule_4']]",doi_collectionType
"['10.1080/14786410903335232', 'Semisynthesis Product']","['10.1080/14786410903335232', ['Isolated Natural Product', 'Semi-synthetic ester', 'Semi-synthetic ester', 'Semi-synthetic ester', 'Semi-synthetic ester', 'Semi-synthetic ester', 'Semi-synthetic ester', 'Semi-synthetic ester', 'Semi-synthetic ester']]",doi_collectionType
"['10.1590/S0100-40422005000400009', 'Plant Isolated']","['10.1590/S0100-40422005000400009', []]",doi_collectionType
"['10.1590/S0100-40422008000400018', 'Plant Isolated']","['10.1590/S0100-40422008000400018', []]",doi_collectionType
"['10.1590/S0100-40422010000900005', 'Plant Isolated']","['10.1590/S0100-40422010000900005', []]",doi_collectionType
"['10.1590/S0103-50532003000300007', 'Plant Isolated']","['10.1590/S0103-50532003000300007', ['Fractionation and isolation from leaves', 'Fractionation and isolation from leaves', 'Fractionation and isolation from leaves']]",doi_collectionType
"['10.1590/S0103-50532003000500012', 'Plant Isolated']","['10.1590/S0103-50532003000500012', []]",doi_collectionType
"['10.1590/S0103-50532005000400031', 'Plant Isolated']","['10.1590/S0103-50532005000400031', []]",doi_collectionType
"['10.1590/S0103-50532005000800018', 'Plant Isolated']","['10.1590/S0103-50532005000800018', ['Leaves and roots collected and used for feeding experiments']]",doi_collectionType
"['10.1590/S1519-566X2008000600013', 'Plant Isolated']","['10.1590/S1519-566X2008000600013', ['Leaf extract', 'Leaf extract', 'Leaf extract', 'Leaf extract', 'Leaf extract', 'Leaf extract', 'Fruit extract']]",doi_collectionType
