algorithm,edge_group,split,dynamic_stage,value
gpt4,doi_collectionType,0.8,1st,1.0
gpt4,doi_collectionType,0.8,2nd,1.0
gpt4,doi_collectionType,0.8,3rd,1.0
gpt4,doi_collectionType,0.8,4th,1.0
gpt4,doi_collectionType,0.8,1st,1.0
gpt4,doi_collectionType,0.8,2nd,1.0
gpt4,doi_collectionType,0.8,3rd,
gpt4,doi_collectionType,0.8,4th,
gpt4,doi_collectionType,0.8,1st,1.0
gpt4,doi_collectionType,0.8,2nd,1.0
gpt4,doi_collectionType,0.8,3rd,1.0
gpt4,doi_collectionType,0.8,4th,
gpt4,doi_collectionType,0.8,1st,1.0
gpt4,doi_collectionType,0.8,2nd,1.0
gpt4,doi_collectionType,0.8,3rd,1.0
gpt4,doi_collectionType,0.8,4th,
gpt4,doi_collectionType,0.8,1st,1.0
gpt4,doi_collectionType,0.8,2nd,1.0
gpt4,doi_collectionType,0.8,3rd,1.0
gpt4,doi_collectionType,0.8,4th,1.0
gpt4,doi_collectionType,0.8,1st,1.0
gpt4,doi_collectionType,0.8,2nd,1.0
gpt4,doi_collectionType,0.8,3rd,1.0
gpt4,doi_collectionType,0.8,4th,1.0
gpt4,doi_collectionType,0.8,1st,1.0
gpt4,doi_collectionType,0.8,2nd,1.0
gpt4,doi_collectionType,0.8,3rd,
gpt4,doi_collectionType,0.8,4th,
gpt4,doi_collectionType,0.8,1st,1.0
gpt4,doi_collectionType,0.8,2nd,1.0
gpt4,doi_collectionType,0.8,3rd,1.0
gpt4,doi_collectionType,0.8,4th,1.0
gpt4,doi_collectionType,0.8,1st,1.0
gpt4,doi_collectionType,0.8,2nd,1.0
gpt4,doi_collectionType,0.8,3rd,
gpt4,doi_collectionType,0.8,4th,
gpt4,doi_collectionType,0.8,1st,1.0
gpt4,doi_collectionType,0.8,2nd,1.0
gpt4,doi_collectionType,0.8,3rd,
gpt4,doi_collectionType,0.8,4th,
