algorithm,edge_group,split,dynamic_stage,value
gpt4,doi_name,0.8,1st,0.4766607807397281
gpt4,doi_name,0.8,2nd,0.5937398643667993
gpt4,doi_name,0.8,3rd,0.5600287483414419
gpt4,doi_name,0.8,4th,0.5643274853801169
gpt4,doi_name,0.8,1st,0.4293657192153433
gpt4,doi_name,0.8,2nd,0.48543828969787933
gpt4,doi_name,0.8,3rd,0.5156622023809524
gpt4,doi_name,0.8,4th,0.7575757575757575
gpt4,doi_name,0.8,1st,0.42449396014126806
gpt4,doi_name,0.8,2nd,0.49853316326530617
gpt4,doi_name,0.8,3rd,0.535
gpt4,doi_name,0.8,4th,0.8125
gpt4,doi_name,0.8,1st,0.4587076072859498
gpt4,doi_name,0.8,2nd,0.6043313069908814
gpt4,doi_name,0.8,3rd,0.6468112244897959
gpt4,doi_name,0.8,4th,0.8303571428571429
gpt4,doi_name,0.8,1st,0.439247956017273
gpt4,doi_name,0.8,2nd,0.48586580086580083
gpt4,doi_name,0.8,3rd,0.5371212121212122
gpt4,doi_name,0.8,4th,0.611111111111111
gpt4,doi_name,0.8,1st,0.43009626050893995
gpt4,doi_name,0.8,2nd,0.45714995844344636
gpt4,doi_name,0.8,3rd,0.5108024691358025
gpt4,doi_name,0.8,4th,0.5763888888888888
gpt4,doi_name,0.8,1st,0.489468992055199
gpt4,doi_name,0.8,2nd,0.5980166572557877
gpt4,doi_name,0.8,3rd,0.5744268077601411
gpt4,doi_name,0.8,4th,0.6979166666666666
gpt4,doi_name,0.8,1st,0.4290211151156127
gpt4,doi_name,0.8,2nd,0.5700605680868838
gpt4,doi_name,0.8,3rd,0.5579931972789116
gpt4,doi_name,0.8,4th,0.6597222222222222
gpt4,doi_name,0.8,1st,0.44579025643756437
gpt4,doi_name,0.8,2nd,0.4561234263820471
gpt4,doi_name,0.8,3rd,0.5378472222222223
gpt4,doi_name,0.8,4th,0.5879629629629629
gpt4,doi_name,0.8,1st,0.4169724630101425
gpt4,doi_name,0.8,2nd,0.5069681780208095
gpt4,doi_name,0.8,3rd,0.6409937888198758
gpt4,doi_name,0.8,4th,0.6772727272727272
