"true","restored","edge_type"
"['10.1002/hlca.200890147', 'Apore/GO']","['10.1002/hlca.200890147', ['Apore, GO, Brazil']]","doi_collectionSite"
"['10.1002/ps.478', 'Rio Claro/SP']","['10.1002/ps.478', ['Rio Claro, São Paulo, Brazil']]","doi_collectionSite"
"['10.1016/0031-9422(91)85077-D', 'Mogi Guacu/SP']","['10.1016/0031-9422(91)85077-D', ['Estação Ecológica e Experimental de Moji-Guaçu, São Paulo, Brazil']]","doi_collectionSite"
"['10.1016/0040-4020(95)00254-6', 'Sao Paulo/SP']","['10.1016/0040-4020(95)00254-6', ['Sao Paulo State, Brazil']]","doi_collectionSite"
"['10.1016/S0031-9422(00)00248-X', 'N/A/ES']","['10.1016/S0031-9422(00)00248-X', ['Espirito Santo, Brazil']]","doi_collectionSite"
"['10.1016/S0031-9422(01)00431-9', 'Manaus/AM']","['10.1016/S0031-9422(01)00431-9', ['Araraquara/SP, Brazil', 'Araraquara/SP, Brazil; INPA — Manaus, Brazil', 'INPA — Manaus, Brazil']]","doi_collectionSite"
"['10.1016/S0031-9422(03)00153-5', 'Manaus/AM']","['10.1016/S0031-9422(03)00153-5', ['Manaus, Brazil']]","doi_collectionSite"
"['10.1016/j.phytochem.2004.03.039', 'Goiania/GO']","['10.1016/j.phytochem.2004.03.039', ['Universidade Federal de Goiás, Goiânia, GO, Brazil']]","doi_collectionSite"
"['10.1021/np030100t', 'Mogi Guacu/SP']","['10.1021/np030100t', ['Campininha Farm, Mogi-Guacu, SP, Brazil']]","doi_collectionSite"
"['10.1021/np800106x', 'Recife/PE']","['10.1021/np800106x', ['Várzea-PE, Brazil']]","doi_collectionSite"
"['10.1055/s-0034-1368301', 'Ribeirao Preto/SP']","['10.1055/s-0034-1368301', []]","doi_collectionSite"
"['10.1080/14786410903335232', 'Mogi Guacu/SP']","['10.1080/14786410903335232', ['Biological Reserve and Experimental Station at Mogi Guacu, Sao Paulo State, Brazil']]","doi_collectionSite"
"['10.1515/znc-2002-5-602', 'Londrina/PR']","['10.1515/znc-2002-5-602', ['Instituto Agronômico do Paraná, PR, Brazil']]","doi_collectionSite"
"['10.1515/znc-2002-5-602', 'Cuiaba/MT']","['10.1515/znc-2002-5-602', ['Instituto Agronômico do Paraná, PR, Brazil']]","doi_collectionSite"
"['10.1590/S0073-47212009000100009', 'Sao Carlos/SP']","['10.1590/S0073-47212009000100009', []]","doi_collectionSite"
"['10.1590/S0100-40422009000600037', 'Piracicaba/SP']","['10.1590/S0100-40422009000600037', [""Piracicaba/SP, Campus da Escola Superior de Agricultura 'Luiz de Queiroz' (Esalq/USP)""]]","doi_collectionSite"
"['10.1590/S0102-695X2007000300003', 'Peruibe/SP']","['10.1590/S0102-695X2007000300003', ['Juréia Reserve, São Paulo, Brazil']]","doi_collectionSite"
"['10.1590/S0102-695X2010000100002', 'Sao Carlos/SP']","['10.1590/S0102-695X2010000100002', ['Brazil']]","doi_collectionSite"
"['10.1590/S0102-695X2012005000106', 'Ribeirao Preto/SP']","['10.1590/S0102-695X2012005000106', []]","doi_collectionSite"
"['10.1590/S0103-50532006000300017', 'N/A/SP, Cedrela fissilis']","['10.1590/S0103-50532006000300017', ['São Carlos-SP, Brazil', 'Belém, Pará, Brazil']]","doi_collectionSite"
"['10.1590/S0103-50532006000300017', 'Sao Carlos/SP']","['10.1590/S0103-50532006000300017', ['São Carlos-SP, Brazil', 'Belém, Pará, Brazil']]","doi_collectionSite"
"['10.1590/S0103-50532009000400008', 'Campinas/SP']","['10.1590/S0103-50532009000400008', ['Campinas (SP) at the Instituto Agronômico de Campinas']]","doi_collectionSite"
"['10.1590/S1519-566X2008000600013', 'Itacoatiara/AM']","['10.1590/S1519-566X2008000600013', []]","doi_collectionSite"
"['10.1590/s0100-40422008000700015', 'Ribeirao Preto/SP']","['10.1590/s0100-40422008000700015', ['Not specified']]","doi_collectionSite"
"['10.2174/187152010794728620', 'Vicosa/MG']","['10.2174/187152010794728620', ['not specified', 'Federal University of Viçosa, MG, Brazil', 'Belém, Pará State, Brazil']]","doi_collectionSite"
"['10.3390/molecules190812031', 'Manaus/AM']","['10.3390/molecules190812031', ['Amazon state, Brazil']]","doi_collectionSite"
"['10.4067/S0717-97072009000300004', 'Sao Paulo/SP']","['10.4067/S0717-97072009000300004', ['Botanic Garden of São Paulo, São Paulo State, Brazil']]","doi_collectionSite"
"['10.5935/0100-4042.20140049', 'Pirenopolis/GO']","['10.5935/0100-4042.20140049', ['Serra dos Pirineus, Pirenópolis - GO, Brazil']]","doi_collectionSite"
