"true","restored","edge_type"
"['10.1002/cbdv.200800342', 'Sao Miguel Arcanjo/SP']","['10.1002/cbdv.200800342', ['Parque Estadual Carlos Botelho, São Miguel Arcanjo, São Paulo, Brazil']]","doi_collectionSite"
"['10.1002/hlca.200890147', 'Apore/GO']","['10.1002/hlca.200890147', ['Apore, GO, Brazil']]","doi_collectionSite"
"['10.1002/jobm.200800093', 'Ribeirao Preto/SP']","['10.1002/jobm.200800093', ['Ribeirão Preto, State of São Paulo, Brazil']]","doi_collectionSite"
"['10.1002/jobm.200800093', 'Ribeirao Preto/SP, Nigrospora sphaerica']","['10.1002/jobm.200800093', ['Ribeirão Preto, State of São Paulo, Brazil']]","doi_collectionSite"
"['10.1002/ps.1278', 'Pocos De Caldas/MG']","['10.1002/ps.1278', ['Poços de Caldas, Minas Gerais, Brazil']]","doi_collectionSite"
"['10.1016/0031-9422(73)85048-4', 'N/A/AM']","['10.1016/0031-9422(73)85048-4', ['Flooded banks of the Amazon river and its tributaries']]","doi_collectionSite"
"['10.1016/0031-9422(90)80024-B', 'N/A/MG']","['10.1016/0031-9422(90)80024-B', ['Minas Gerais, Brazil']]","doi_collectionSite"
"['10.1016/0031-9422(91)85077-D', 'Mogi Guacu/SP']","['10.1016/0031-9422(91)85077-D', ['Estação Ecológica e Experimental de Moji-Guaçu, São Paulo, Brazil']]","doi_collectionSite"
"['10.1016/0040-4020(95)00254-6', 'Sao Paulo/SP']","['10.1016/0040-4020(95)00254-6', ['Sao Paulo State, Brazil']]","doi_collectionSite"
"['10.1016/S0031-9422(00)00225-9', 'Mogi Guacu/SP']","['10.1016/S0031-9422(00)00225-9', ['Campininha Farm, Mogi-Guacu, SP, Brazil']]","doi_collectionSite"
"['10.1016/S0031-9422(01)00079-6', 'Sao Paulo/SP']","['10.1016/S0031-9422(01)00079-6', ['Instituto Butantã Reserve, São Paulo']]","doi_collectionSite"
"['10.1016/S0031-9422(03)00153-5', 'Manaus/AM']","['10.1016/S0031-9422(03)00153-5', ['Manaus, Brazil']]","doi_collectionSite"
"['10.1016/S0031-9422(97)00598-0', 'Sao Carlos/SP']","['10.1016/S0031-9422(97)00598-0', ['São Carlos, SP, Brazil']]","doi_collectionSite"
"['10.1016/S0031-9422(98)00069-7', 'Corumba/MS']","['10.1016/S0031-9422(98)00069-7', ['Corumba, Mato Grosso do Sul, Brazil']]","doi_collectionSite"
"['10.1016/S0031-9422(98)00249-0', 'Mogi Guacu/SP']","['10.1016/S0031-9422(98)00249-0', ['São Paulo State, Brazil']]","doi_collectionSite"
"['10.1016/j.bse.2006.06.007', 'N/A/SP']","['10.1016/j.bse.2006.06.007', ['Araraquara, SP, Brazil']]","doi_collectionSite"
"['10.1016/j.chroma.2009.02.066', 'Cordeiropolis/SP']","['10.1016/j.chroma.2009.02.066', ['Estação Experimental de Citricultura do Instituto Agronômico de Campinas, Cordeirópolis, Brazil']]","doi_collectionSite"
"['10.1016/j.jchromb.2012.07.013', 'Sao Carlos/SP']","['10.1016/j.jchromb.2012.07.013', ['São Carlos, SP, Brazil']]","doi_collectionSite"
"['10.1016/j.jep.2007.09.020', 'Pocos De Caldas/MG']","['10.1016/j.jep.2007.09.020', ['Poços de Caldas, Minas Gerais State, Brazil']]","doi_collectionSite"
"['10.1016/j.jpba.2012.08.028', 'Sao Paulo/SP']","['10.1016/j.jpba.2012.08.028', []]","doi_collectionSite"
"['10.1016/j.phytochem.2005.04.043', 'Araraquara/SP']","['10.1016/j.phytochem.2005.04.043', ['Associated with Ocotea corymbosa, Brazilian Cerrado']]","doi_collectionSite"
"['10.1016/j.phytochem.2006.09.005', 'Araraquara/SP']","['10.1016/j.phytochem.2006.09.005', ['Brazilian Cerrado']]","doi_collectionSite"
"['10.1016/j.phytochem.2007.08.012', 'Ibate/SP']","['10.1016/j.phytochem.2007.08.012', ['Ibate – SP, Brazil']]","doi_collectionSite"
"['10.1016/j.phytochem.2008.01.006', 'Sao Paulo/SP']","['10.1016/j.phytochem.2008.01.006', ['Botanic Garden of São Paulo, São Paulo State, Brazil']]","doi_collectionSite"
"['10.1016/j.phytol.2010.11.003', 'Mogi Guacu/SP']","['10.1016/j.phytol.2010.11.003', ['Mogi-Guacu, Sao Paulo, Brazil']]","doi_collectionSite"
"['10.1016/j.tiv.2008.01.003', 'Ribeirao Preto/SP']","['10.1016/j.tiv.2008.01.003', [""Extracted from the dried and powdered root bark of M. ilicifolia'""]]","doi_collectionSite"
"['10.1021/cc100076k', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus']","['10.1021/cc100076k', []]","doi_collectionSite"
"['10.1021/cc100076k', 'Pocos De Caldas/MG']","['10.1021/cc100076k', []]","doi_collectionSite"
"['10.1021/jf063451x', 'Belem/PA']","['10.1021/jf063451x', ['Reserva do Mocambo, in the Amazon forest']]","doi_collectionSite"
"['10.1021/jf100233y', 'Mogi Guacu/SP']","['10.1021/jf100233y', ['Biological Reserve and Experimental Station at Mogi Guaçu, São Paulo State, Brazil']]","doi_collectionSite"
"['10.1021/jf60217a066', 'Igarape-acu/PA']","['10.1021/jf60217a066', ['Northeast Brazil, specifically state of Ceará']]","doi_collectionSite"
"['10.1021/np030100t', 'Mogi Guacu/SP']","['10.1021/np030100t', ['Campininha Farm, Mogi-Guacu, SP, Brazil']]","doi_collectionSite"
"['10.1021/np0303963', 'Sao Paulo/SP']","['10.1021/np0303963', ['Botanical Garden of the state of São Paulo, Brazil']]","doi_collectionSite"
"['10.1021/np030530j', 'Ibate/SP']","['10.1021/np030530j', ['Campus of the Universidade de São Paulo, Brazil', 'Reserva Ripasa, Ibate, São Paulo, Brazil', 'Manaus, State of Amazonas, Brazil']]","doi_collectionSite"
"['10.1021/np030530j', 'Manaus/AM']","['10.1021/np030530j', ['Campus of the Universidade de São Paulo, Brazil', 'Reserva Ripasa, Ibate, São Paulo, Brazil', 'Manaus, State of Amazonas, Brazil']]","doi_collectionSite"
"['10.1021/np049863m', 'Belem/PA']","['10.1021/np049863m', ['Reserva do Virá, Belém, PA, Brazil']]","doi_collectionSite"
"['10.1021/np070312g', 'Araraquara/SP']","['10.1021/np070312g', ['Chemistry Institute at Sao Paulo State University (Araraquara-SP), Brazil']]","doi_collectionSite"
"['10.1021/np100840w', 'Campinas/SP']","['10.1021/np100840w', ['Campinas municipality, São Paulo State, Brazil']]","doi_collectionSite"
"['10.1021/np4006822', 'N/A/PE']","['10.1021/np4006822', ['Federal University of Pernambuco, Brazil']]","doi_collectionSite"
"['10.1021/np500453x', 'Campinas/SP']","['10.1021/np500453x', ['Campinas, SP, Brazil']]","doi_collectionSite"
"['10.1021/np800106x', 'Recife/PE']","['10.1021/np800106x', ['Várzea-PE, Brazil']]","doi_collectionSite"
"['10.1021/np800612x', 'Sao Paulo/SP']","['10.1021/np800612x', ['Botanic Garden of São Paulo, São Paulo State, Brazil']]","doi_collectionSite"
"['10.1021/np9004079', 'Campinas/SP']","['10.1021/np9004079', ['Campinas municipality, São Paulo, Brazil']]","doi_collectionSite"
"['10.1021/np900644x', 'Araraquara/SP']","['10.1021/np900644x', ['Araraquara, SP, Brazil']]","doi_collectionSite"
"['10.1021/np9703656', 'Teodoro Sampaio/SP']","['10.1021/np9703656', ['Parque Estadual do Morro do Diabo, Teodoro Sampaio, SP, Brazil']]","doi_collectionSite"
"['10.1021/np9704617', 'Mogi Guacu/SP']","['10.1021/np9704617', ['Campininha Farm, Mogi-Guacu, SP, Brazil']]","doi_collectionSite"
"['10.1055/s-0029-1185364', 'Pocos De Caldas/MG']","['10.1055/s-0029-1185364', ['Poços de Caldas, MG, Brazil']]","doi_collectionSite"
"['10.1055/s-0034-1368301', 'Ribeirao Preto/SP']","['10.1055/s-0034-1368301', []]","doi_collectionSite"
"['10.1055/s-2002-36346', 'Recife/PE']","['10.1055/s-2002-36346', ['Araraquara/SP, Brazil']]","doi_collectionSite"
"['10.1080/14786410802243271', 'N/A/SP']","['10.1080/14786410802243271', ['Vale do Ribeira, Atlantic Forest, São Paulo State, Brazil']]","doi_collectionSite"
"['10.1080/14786410903335232', 'Mogi Guacu/SP']","['10.1080/14786410903335232', ['Biological Reserve and Experimental Station at Mogi Guacu, Sao Paulo State, Brazil']]","doi_collectionSite"
"['10.1080/14786419.2011.647020', 'N/A/MG']","['10.1080/14786419.2011.647020', ['Minas Gerais, Brazil']]","doi_collectionSite"
"['10.1093/mutage/gep034', 'Sao Miguel Arcanjo/SP']","['10.1093/mutage/gep034', ['Parque Estadual Carlos Botelho (São Miguel Arcanjo, São Paulo, Brazil)']]","doi_collectionSite"
"['10.1107/S1600536803019913', 'Manaus/AM']","['10.1107/S1600536803019913', ['Manaus region of the Brazilian Amazon forest']]","doi_collectionSite"
"['10.1107/S160053680302107X', 'Manaus/AM']","['10.1107/S160053680302107X', ['Manaus-AM, Brazil']]","doi_collectionSite"
"['10.1248/bpb.31.538', 'Araraquara/SP']","['10.1248/bpb.31.538', ['Araraquara-SP, Brazil']]","doi_collectionSite"
"['10.1590/S0073-47212009000100009', 'Sao Carlos/SP']","['10.1590/S0073-47212009000100009', []]","doi_collectionSite"
"['10.1590/S0100-40422004000200005', 'Cunha/SP']","['10.1590/S0100-40422004000200005', ['Reserva Ecológica de Cunha, São Paulo, Brazil']]","doi_collectionSite"
"['10.1590/S0100-40422005000400009', 'Itirapina/SP']","['10.1590/S0100-40422005000400009', ['Estação Ecológica de Itirapina, Itirapina – SP, Brazil']]","doi_collectionSite"
"['10.1590/S0100-40422006000300016', 'Ibate/SP']","['10.1590/S0100-40422006000300016', ['Fortaleza-Ripasa Farm, Ibaté - SP, Brazil']]","doi_collectionSite"
"['10.1590/S0100-40422008000400005', 'Manaus/AM']","['10.1590/S0100-40422008000400005', []]","doi_collectionSite"
"['10.1590/S0100-40422008000400005', 'Itacoatiara/AM']","['10.1590/S0100-40422008000400005', []]","doi_collectionSite"
"['10.1590/S0100-40422008000400005', 'Pirenopolis/GO']","['10.1590/S0100-40422008000400005', []]","doi_collectionSite"
"['10.1590/S0100-40422008000400018', 'Sao Paulo/SP']","['10.1590/S0100-40422008000400018', ['Instituto de Botânica, São Paulo – SP']]","doi_collectionSite"
"['10.1590/S0100-40422008000400023', 'Iguape/SP']","['10.1590/S0100-40422008000400023', ['Reserva da Juréia, Iguape – SP']]","doi_collectionSite"
"['10.1590/S0100-40422009000600037', 'Piracicaba/SP']","['10.1590/S0100-40422009000600037', [""Piracicaba/SP, Campus da Escola Superior de Agricultura 'Luiz de Queiroz' (Esalq/USP)""]]","doi_collectionSite"
"['10.1590/S0100-40422010000900005', 'Piracicaba/SP']","['10.1590/S0100-40422010000900005', [""Piracicaba/SP, Campus da Escola Superior de Agricultura 'Luiz de Queiroz'/USP""]]","doi_collectionSite"
"['10.1590/S0100-40422012000700020', 'Itaituba/PA']","['10.1590/S0100-40422012000700020', ['Anápolis-Goiás, Brazil']]","doi_collectionSite"
"['10.1590/S0100-46702007000300002', 'Ribeirao Preto/SP']","['10.1590/S0100-46702007000300002', ['Campus da Universidade de São Paulo (USP), Ribeirão Preto, São Paulo, Brasil']]","doi_collectionSite"
"['10.1590/S0102-695X2007000300003', 'Peruibe/SP']","['10.1590/S0102-695X2007000300003', ['Juréia Reserve, São Paulo, Brazil']]","doi_collectionSite"
"['10.1590/S0102-695X2008000200010', 'Lavras/MG']","['10.1590/S0102-695X2008000200010', ['Lavras, State of Minas Gerais, Brazil']]","doi_collectionSite"
"['10.1590/S0102-695X2009000100002', 'Campinas/SP']","['10.1590/S0102-695X2009000100002', ['Viçosa, Minas Gerais, Brazil']]","doi_collectionSite"
"['10.1590/S0102-695X2010000100002', 'Sao Carlos/SP']","['10.1590/S0102-695X2010000100002', ['Brazil']]","doi_collectionSite"
"['10.1590/S0102-695X2012005000106', 'Ribeirao Preto/SP']","['10.1590/S0102-695X2012005000106', []]","doi_collectionSite"
"['10.1590/S0103-50532003000300007', 'Urucuca/BA']","['10.1590/S0103-50532003000300007', ['Bahia, Brazil', 'Brazil']]","doi_collectionSite"
"['10.1590/S0103-50532005000400005', 'Peruibe/SP']","['10.1590/S0103-50532005000400005', ['Atlantic Forest, Brazil']]","doi_collectionSite"
"['10.1590/S0103-50532005000800008', 'Belem/PA']","['10.1590/S0103-50532005000800008', ['Belém, Pará State, Brazil']]","doi_collectionSite"
"['10.1590/S0103-50532005000800018', 'Araraquara/SP']","['10.1590/S0103-50532005000800018', ['Institute of Chemistry (UNESP) in Araraquara, Brazil and Institute of Biological Chemistry (WSU) in Pullman, USA.']]","doi_collectionSite"
"['10.1590/S0103-50532005000800025', 'Ibirama/SC']","['10.1590/S0103-50532005000800025', ['Ressacada, Ibirama, SC, Brazil']]","doi_collectionSite"
"['10.1590/S0103-50532007000700017', 'Mogi Guacu/SP']","['10.1590/S0103-50532007000700017', ['Estação Ecológica e Experimental de Mogi-Guaçu, São Paulo, Brazil']]","doi_collectionSite"
"['10.1590/S1519-566X2008000600013', 'Itacoatiara/AM']","['10.1590/S1519-566X2008000600013', []]","doi_collectionSite"
"['10.3390/molecules190812031', 'Manaus/AM']","['10.3390/molecules190812031', ['Amazon state, Brazil']]","doi_collectionSite"
"['10.5935/0100-4042.20140049', 'Pirenopolis/GO']","['10.5935/0100-4042.20140049', ['Serra dos Pirineus, Pirenópolis - GO, Brazil']]","doi_collectionSite"
