Tarefa: collectionType | Estagio: 1st | Fold: 0 | Hits@1: 0.9217391304347826
Tarefa: collectionType | Estagio: 2nd | Fold: 0 | Hits@1: 0.9135802469135802
Tarefa: collectionType | Estagio: 3rd | Fold: 0 | Hits@1: 0.9181818181818182
Tarefa: collectionType | Estagio: 4th | Fold: 0 | Hits@1: 0.9259259259259259
Tarefa: collectionType | Estagio: 1st | Fold: 1 | Hits@1: 0.9385964912280702
Tarefa: collectionType | Estagio: 2nd | Fold: 1 | Hits@1: 0.9625
Tarefa: collectionType | Estagio: 3rd | Fold: 1 | Hits@1: 0.9722222222222222
Tarefa: collectionType | Estagio: 4th | Fold: 1 | Hits@1: 0.9629629629629629
Tarefa: collectionType | Estagio: 1st | Fold: 2 | Hits@1: 0.9122807017543859
Tarefa: collectionType | Estagio: 2nd | Fold: 2 | Hits@1: 0.93125
Tarefa: collectionType | Estagio: 3rd | Fold: 2 | Hits@1: 0.9166666666666666
Tarefa: collectionType | Estagio: 4th | Fold: 2 | Hits@1: 0.9074074074074074
Tarefa: collectionType | Estagio: 1st | Fold: 3 | Hits@1: 0.911504424778761
Tarefa: collectionType | Estagio: 2nd | Fold: 3 | Hits@1: 0.9113924050632911
Tarefa: collectionType | Estagio: 3rd | Fold: 3 | Hits@1: 0.8888888888888888
Tarefa: collectionType | Estagio: 4th | Fold: 3 | Hits@1: 0.9444444444444444
Tarefa: collectionType | Estagio: 1st | Fold: 4 | Hits@1: 0.915929203539823
Tarefa: collectionType | Estagio: 2nd | Fold: 4 | Hits@1: 0.9113924050632911
Tarefa: collectionType | Estagio: 3rd | Fold: 4 | Hits@1: 0.9074074074074074
Tarefa: collectionType | Estagio: 4th | Fold: 4 | Hits@1: 0.8888888888888888
Tarefa: collectionType | Estagio: 1st | Fold: 5 | Hits@1: 0.915929203539823
Tarefa: collectionType | Estagio: 2nd | Fold: 5 | Hits@1: 0.9430379746835443
Tarefa: collectionType | Estagio: 3rd | Fold: 5 | Hits@1: 0.9351851851851852
Tarefa: collectionType | Estagio: 4th | Fold: 5 | Hits@1: 0.8888888888888888
Tarefa: collectionType | Estagio: 1st | Fold: 6 | Hits@1: 0.9473684210526315
Tarefa: collectionType | Estagio: 2nd | Fold: 6 | Hits@1: 0.96875
Tarefa: collectionType | Estagio: 3rd | Fold: 6 | Hits@1: 0.9907407407407407
Tarefa: collectionType | Estagio: 4th | Fold: 6 | Hits@1: 1.0
Tarefa: collectionType | Estagio: 1st | Fold: 7 | Hits@1: 0.9254385964912281
Tarefa: collectionType | Estagio: 2nd | Fold: 7 | Hits@1: 0.9375
Tarefa: collectionType | Estagio: 3rd | Fold: 7 | Hits@1: 0.9537037037037037
Tarefa: collectionType | Estagio: 4th | Fold: 7 | Hits@1: 0.9629629629629629
Tarefa: collectionType | Estagio: 1st | Fold: 8 | Hits@1: 0.9347826086956522
Tarefa: collectionType | Estagio: 2nd | Fold: 8 | Hits@1: 0.9320987654320988
Tarefa: collectionType | Estagio: 3rd | Fold: 8 | Hits@1: 0.9727272727272728
Tarefa: collectionType | Estagio: 4th | Fold: 8 | Hits@1: 1.0
Tarefa: collectionType | Estagio: 1st | Fold: 9 | Hits@1: 0.793859649122807
Tarefa: collectionType | Estagio: 2nd | Fold: 9 | Hits@1: 0.8
Tarefa: collectionType | Estagio: 3rd | Fold: 9 | Hits@1: 0.8796296296296297
Tarefa: collectionType | Estagio: 4th | Fold: 9 | Hits@1: 0.9074074074074074
Tarefa: collectionSite | Estagio: 1st | Fold: 0 | Hits@20: 0.6120689655172413
Tarefa: collectionSite | Estagio: 2nd | Fold: 0 | Hits@20: 0.5987654320987654
Tarefa: collectionSite | Estagio: 3rd | Fold: 0 | Hits@20: 0.6181818181818182
Tarefa: collectionSite | Estagio: 4th | Fold: 0 | Hits@20: 0.7037037037037037
