Tarefa: collectionType | Estagio: 1st | Fold: 0 | Hits@1: 0.9347826086956522
Tarefa: collectionType | Estagio: 2nd | Fold: 0 | Hits@1: 0.9320987654320988
Tarefa: collectionType | Estagio: 3rd | Fold: 0 | Hits@1: 0.9363636363636364
Tarefa: collectionType | Estagio: 4th | Fold: 0 | Hits@1: 0.9629629629629629
Tarefa: collectionType | Estagio: 1st | Fold: 1 | Hits@1: 0.9385964912280702
Tarefa: collectionType | Estagio: 2nd | Fold: 1 | Hits@1: 0.95
Tarefa: collectionType | Estagio: 3rd | Fold: 1 | Hits@1: 0.9537037037037037
Tarefa: collectionType | Estagio: 4th | Fold: 1 | Hits@1: 0.9259259259259259
Tarefa: collectionType | Estagio: 1st | Fold: 2 | Hits@1: 0.9298245614035088
Tarefa: collectionType | Estagio: 2nd | Fold: 2 | Hits@1: 0.94375
Tarefa: collectionType | Estagio: 3rd | Fold: 2 | Hits@1: 0.9351851851851852
Tarefa: collectionType | Estagio: 4th | Fold: 2 | Hits@1: 0.9814814814814815
Tarefa: collectionType | Estagio: 1st | Fold: 3 | Hits@1: 0.9380530973451328
Tarefa: collectionType | Estagio: 2nd | Fold: 3 | Hits@1: 0.9240506329113924
Tarefa: collectionType | Estagio: 3rd | Fold: 3 | Hits@1: 0.9074074074074074
Tarefa: collectionType | Estagio: 4th | Fold: 3 | Hits@1: 0.9444444444444444
Tarefa: collectionType | Estagio: 1st | Fold: 4 | Hits@1: 0.9336283185840708
Tarefa: collectionType | Estagio: 2nd | Fold: 4 | Hits@1: 0.930379746835443
Tarefa: collectionType | Estagio: 3rd | Fold: 4 | Hits@1: 0.9351851851851852
Tarefa: collectionType | Estagio: 4th | Fold: 4 | Hits@1: 0.9444444444444444
Tarefa: collectionType | Estagio: 1st | Fold: 5 | Hits@1: 0.9336283185840708
Tarefa: collectionType | Estagio: 2nd | Fold: 5 | Hits@1: 0.9556962025316456
Tarefa: collectionType | Estagio: 3rd | Fold: 5 | Hits@1: 0.9537037037037037
Tarefa: collectionType | Estagio: 4th | Fold: 5 | Hits@1: 0.9259259259259259
Tarefa: collectionType | Estagio: 1st | Fold: 6 | Hits@1: 0.9298245614035088
Tarefa: collectionType | Estagio: 2nd | Fold: 6 | Hits@1: 0.94375
Tarefa: collectionType | Estagio: 3rd | Fold: 6 | Hits@1: 0.9537037037037037
Tarefa: collectionType | Estagio: 4th | Fold: 6 | Hits@1: 0.9259259259259259
Tarefa: collectionType | Estagio: 1st | Fold: 7 | Hits@1: 0.9254385964912281
Tarefa: collectionType | Estagio: 2nd | Fold: 7 | Hits@1: 0.9375
Tarefa: collectionType | Estagio: 3rd | Fold: 7 | Hits@1: 0.9537037037037037
Tarefa: collectionType | Estagio: 4th | Fold: 7 | Hits@1: 0.9629629629629629
Tarefa: collectionType | Estagio: 1st | Fold: 8 | Hits@1: 0.9260869565217391
Tarefa: collectionType | Estagio: 2nd | Fold: 8 | Hits@1: 0.9197530864197531
Tarefa: collectionType | Estagio: 3rd | Fold: 8 | Hits@1: 0.9363636363636364
Tarefa: collectionType | Estagio: 4th | Fold: 8 | Hits@1: 0.9259259259259259
Tarefa: collectionType | Estagio: 1st | Fold: 9 | Hits@1: 0.793859649122807
Tarefa: collectionType | Estagio: 2nd | Fold: 9 | Hits@1: 0.8
Tarefa: collectionType | Estagio: 3rd | Fold: 9 | Hits@1: 0.8796296296296297
Tarefa: collectionType | Estagio: 4th | Fold: 9 | Hits@1: 0.9074074074074074
Tarefa: collectionSite | Estagio: 1st | Fold: 0 | Hits@20: 0.5818965517241379
Tarefa: collectionSite | Estagio: 2nd | Fold: 0 | Hits@20: 0.5308641975308642
Tarefa: collectionSite | Estagio: 3rd | Fold: 0 | Hits@20: 0.5272727272727272
Tarefa: collectionSite | Estagio: 4th | Fold: 0 | Hits@20: 0.6296296296296297
Tarefa: collectionSite | Estagio: 1st | Fold: 1 | Hits@20: 0.6
Tarefa: collectionSite | Estagio: 2nd | Fold: 1 | Hits@20: 0.5925925925925926
Tarefa: collectionSite | Estagio: 3rd | Fold: 1 | Hits@20: 0.6363636363636364
Tarefa: collectionSite | Estagio: 4th | Fold: 1 | Hits@20: 0.6666666666666666
Tarefa: collectionSite | Estagio: 1st | Fold: 2 | Hits@20: 0.5301724137931034
Tarefa: collectionSite | Estagio: 2nd | Fold: 2 | Hits@20: 0.5061728395061729
Tarefa: collectionSite | Estagio: 3rd | Fold: 2 | Hits@20: 0.6
Tarefa: collectionSite | Estagio: 4th | Fold: 2 | Hits@20: 0.7777777777777778
Tarefa: collectionSite | Estagio: 1st | Fold: 3 | Hits@20: 0.6388888888888888
Tarefa: collectionSite | Estagio: 2nd | Fold: 3 | Hits@20: 0.65625
Tarefa: collectionSite | Estagio: 3rd | Fold: 3 | Hits@20: 0.6666666666666666
Tarefa: collectionSite | Estagio: 4th | Fold: 3 | Hits@20: 0.6111111111111112
Tarefa: collectionSite | Estagio: 1st | Fold: 4 | Hits@20: 0.5294985250737463
Tarefa: collectionSite | Estagio: 2nd | Fold: 4 | Hits@20: 0.5801687763713079
Tarefa: collectionSite | Estagio: 3rd | Fold: 4 | Hits@20: 0.6080246913580246
Tarefa: collectionSite | Estagio: 4th | Fold: 4 | Hits@20: 0.6111111111111112
Tarefa: collectionSite | Estagio: 1st | Fold: 5 | Hits@20: 0.5840579710144926
Tarefa: collectionSite | Estagio: 2nd | Fold: 5 | Hits@20: 0.5925925925925926
Tarefa: collectionSite | Estagio: 3rd | Fold: 5 | Hits@20: 0.6181818181818182
Tarefa: collectionSite | Estagio: 4th | Fold: 5 | Hits@20: 0.5555555555555556
Tarefa: collectionSite | Estagio: 1st | Fold: 6 | Hits@20: 0.5967261904761905
Tarefa: collectionSite | Estagio: 2nd | Fold: 6 | Hits@20: 0.5747863247863247
Tarefa: collectionSite | Estagio: 3rd | Fold: 6 | Hits@20: 0.5849056603773585
Tarefa: collectionSite | Estagio: 4th | Fold: 6 | Hits@20: 0.6481481481481481
Tarefa: collectionSite | Estagio: 1st | Fold: 7 | Hits@20: 0.6052631578947368
Tarefa: collectionSite | Estagio: 2nd | Fold: 7 | Hits@20: 0.6229166666666666
Tarefa: collectionSite | Estagio: 3rd | Fold: 7 | Hits@20: 0.6265432098765431
Tarefa: collectionSite | Estagio: 4th | Fold: 7 | Hits@20: 0.5493827160493827
Tarefa: collectionSite | Estagio: 1st | Fold: 8 | Hits@20: 0.5263157894736842
Tarefa: collectionSite | Estagio: 2nd | Fold: 8 | Hits@20: 0.5625
Tarefa: collectionSite | Estagio: 3rd | Fold: 8 | Hits@20: 0.5555555555555556
Tarefa: collectionSite | Estagio: 4th | Fold: 8 | Hits@20: 0.5925925925925926
Tarefa: collectionSite | Estagio: 1st | Fold: 9 | Hits@20: 0.6096491228070176
Tarefa: collectionSite | Estagio: 2nd | Fold: 9 | Hits@20: 0.61875
Tarefa: collectionSite | Estagio: 3rd | Fold: 9 | Hits@20: 0.5555555555555556
