Tarefa: collectionType | Estagio: 1st | Fold: 0 | Hits@1: 0.9260869565217391
Tarefa: collectionType | Estagio: 2nd | Fold: 0 | Hits@1: 0.9197530864197531
Tarefa: collectionType | Estagio: 3rd | Fold: 0 | Hits@1: 0.9181818181818182
Tarefa: collectionType | Estagio: 4th | Fold: 0 | Hits@1: 0.9259259259259259
Tarefa: collectionType | Estagio: 1st | Fold: 1 | Hits@1: 0.9385964912280702
Tarefa: collectionType | Estagio: 2nd | Fold: 1 | Hits@1: 0.95
Tarefa: collectionType | Estagio: 3rd | Fold: 1 | Hits@1: 0.9537037037037037
Tarefa: collectionType | Estagio: 4th | Fold: 1 | Hits@1: 0.9259259259259259
Tarefa: collectionType | Estagio: 1st | Fold: 2 | Hits@1: 0.9298245614035088
Tarefa: collectionType | Estagio: 2nd | Fold: 2 | Hits@1: 0.94375
Tarefa: collectionType | Estagio: 3rd | Fold: 2 | Hits@1: 0.9351851851851852
Tarefa: collectionType | Estagio: 4th | Fold: 2 | Hits@1: 0.9814814814814815
Tarefa: collectionType | Estagio: 1st | Fold: 3 | Hits@1: 0.9026548672566371
Tarefa: collectionType | Estagio: 2nd | Fold: 3 | Hits@1: 0.9113924050632911
Tarefa: collectionType | Estagio: 3rd | Fold: 3 | Hits@1: 0.8888888888888888
Tarefa: collectionType | Estagio: 4th | Fold: 3 | Hits@1: 0.9444444444444444
Tarefa: collectionType | Estagio: 1st | Fold: 4 | Hits@1: 0.9336283185840708
Tarefa: collectionType | Estagio: 2nd | Fold: 4 | Hits@1: 0.930379746835443
Tarefa: collectionType | Estagio: 3rd | Fold: 4 | Hits@1: 0.9351851851851852
Tarefa: collectionType | Estagio: 4th | Fold: 4 | Hits@1: 0.9444444444444444
Tarefa: collectionType | Estagio: 1st | Fold: 5 | Hits@1: 0.9380530973451328
Tarefa: collectionType | Estagio: 2nd | Fold: 5 | Hits@1: 0.9556962025316456
Tarefa: collectionType | Estagio: 3rd | Fold: 5 | Hits@1: 0.9537037037037037
Tarefa: collectionType | Estagio: 4th | Fold: 5 | Hits@1: 0.9259259259259259
Tarefa: collectionType | Estagio: 1st | Fold: 6 | Hits@1: 0.9298245614035088
Tarefa: collectionType | Estagio: 2nd | Fold: 6 | Hits@1: 0.94375
Tarefa: collectionType | Estagio: 3rd | Fold: 6 | Hits@1: 0.9537037037037037
Tarefa: collectionType | Estagio: 4th | Fold: 6 | Hits@1: 0.9259259259259259
Tarefa: collectionType | Estagio: 1st | Fold: 7 | Hits@1: 0.9298245614035088
Tarefa: collectionType | Estagio: 2nd | Fold: 7 | Hits@1: 0.94375
Tarefa: collectionType | Estagio: 3rd | Fold: 7 | Hits@1: 0.9629629629629629
Tarefa: collectionType | Estagio: 4th | Fold: 7 | Hits@1: 0.9629629629629629
Tarefa: collectionType | Estagio: 1st | Fold: 8 | Hits@1: 0.9173913043478261
Tarefa: collectionType | Estagio: 2nd | Fold: 8 | Hits@1: 0.9197530864197531
Tarefa: collectionType | Estagio: 3rd | Fold: 8 | Hits@1: 0.9363636363636364
Tarefa: collectionType | Estagio: 4th | Fold: 8 | Hits@1: 0.9259259259259259
Tarefa: collectionType | Estagio: 1st | Fold: 9 | Hits@1: 0.793859649122807
Tarefa: collectionType | Estagio: 2nd | Fold: 9 | Hits@1: 0.8
Tarefa: collectionType | Estagio: 3rd | Fold: 9 | Hits@1: 0.8796296296296297
Tarefa: collectionType | Estagio: 4th | Fold: 9 | Hits@1: 0.9074074074074074
Tarefa: collectionSite | Estagio: 1st | Fold: 0 | Hits@20: 0.5991379310344828
Tarefa: collectionSite | Estagio: 2nd | Fold: 0 | Hits@20: 0.5617283950617284
Tarefa: collectionSite | Estagio: 3rd | Fold: 0 | Hits@20: 0.5818181818181818
Tarefa: collectionSite | Estagio: 4th | Fold: 0 | Hits@20: 0.6296296296296297
Tarefa: collectionSite | Estagio: 1st | Fold: 1 | Hits@20: 0.6434782608695652
Tarefa: collectionSite | Estagio: 2nd | Fold: 1 | Hits@20: 0.6234567901234568
Tarefa: collectionSite | Estagio: 3rd | Fold: 1 | Hits@20: 0.6545454545454545
Tarefa: collectionSite | Estagio: 4th | Fold: 1 | Hits@20: 0.6851851851851852
Tarefa: collectionSite | Estagio: 1st | Fold: 2 | Hits@20: 0.5387931034482759
Tarefa: collectionSite | Estagio: 2nd | Fold: 2 | Hits@20: 0.5123456790123457
Tarefa: collectionSite | Estagio: 3rd | Fold: 2 | Hits@20: 0.6272727272727273
Tarefa: collectionSite | Estagio: 4th | Fold: 2 | Hits@20: 0.7037037037037037
Tarefa: collectionSite | Estagio: 1st | Fold: 3 | Hits@20: 0.5891812865497075
