Tarefa: collectionType | Estagio: 1st | Fold: 0 | Hits@1: 0.9347826086956522
Tarefa: collectionType | Estagio: 2nd | Fold: 0 | Hits@1: 0.9320987654320988
Tarefa: collectionType | Estagio: 3rd | Fold: 0 | Hits@1: 0.9363636363636364
Tarefa: collectionType | Estagio: 4th | Fold: 0 | Hits@1: 0.9629629629629629
Tarefa: collectionType | Estagio: 1st | Fold: 1 | Hits@1: 0.9385964912280702
Tarefa: collectionType | Estagio: 2nd | Fold: 1 | Hits@1: 0.95
Tarefa: collectionType | Estagio: 3rd | Fold: 1 | Hits@1: 0.9537037037037037
Tarefa: collectionType | Estagio: 4th | Fold: 1 | Hits@1: 0.9259259259259259
Tarefa: collectionType | Estagio: 1st | Fold: 2 | Hits@1: 0.9298245614035088
Tarefa: collectionType | Estagio: 2nd | Fold: 2 | Hits@1: 0.94375
Tarefa: collectionType | Estagio: 3rd | Fold: 2 | Hits@1: 0.9351851851851852
Tarefa: collectionType | Estagio: 4th | Fold: 2 | Hits@1: 0.9814814814814815
Tarefa: collectionType | Estagio: 1st | Fold: 3 | Hits@1: 0.9380530973451328
Tarefa: collectionType | Estagio: 2nd | Fold: 3 | Hits@1: 0.9240506329113924
Tarefa: collectionType | Estagio: 3rd | Fold: 3 | Hits@1: 0.9074074074074074
Tarefa: collectionType | Estagio: 4th | Fold: 3 | Hits@1: 0.9444444444444444
Tarefa: collectionType | Estagio: 1st | Fold: 4 | Hits@1: 0.9336283185840708
Tarefa: collectionType | Estagio: 2nd | Fold: 4 | Hits@1: 0.930379746835443
Tarefa: collectionType | Estagio: 3rd | Fold: 4 | Hits@1: 0.9351851851851852
Tarefa: collectionType | Estagio: 4th | Fold: 4 | Hits@1: 0.9444444444444444
Tarefa: collectionType | Estagio: 1st | Fold: 5 | Hits@1: 0.9336283185840708
Tarefa: collectionType | Estagio: 2nd | Fold: 5 | Hits@1: 0.9556962025316456
Tarefa: collectionType | Estagio: 3rd | Fold: 5 | Hits@1: 0.9537037037037037
Tarefa: collectionType | Estagio: 4th | Fold: 5 | Hits@1: 0.9259259259259259
Tarefa: collectionType | Estagio: 1st | Fold: 6 | Hits@1: 0.9298245614035088
Tarefa: collectionType | Estagio: 2nd | Fold: 6 | Hits@1: 0.94375
Tarefa: collectionType | Estagio: 3rd | Fold: 6 | Hits@1: 0.9537037037037037
Tarefa: collectionType | Estagio: 4th | Fold: 6 | Hits@1: 0.9259259259259259
Tarefa: collectionType | Estagio: 1st | Fold: 7 | Hits@1: 0.9254385964912281
Tarefa: collectionType | Estagio: 2nd | Fold: 7 | Hits@1: 0.9375
Tarefa: collectionType | Estagio: 3rd | Fold: 7 | Hits@1: 0.9537037037037037
Tarefa: collectionType | Estagio: 4th | Fold: 7 | Hits@1: 0.9629629629629629
Tarefa: collectionType | Estagio: 1st | Fold: 8 | Hits@1: 0.9260869565217391
Tarefa: collectionType | Estagio: 2nd | Fold: 8 | Hits@1: 0.9197530864197531
Tarefa: collectionType | Estagio: 3rd | Fold: 8 | Hits@1: 0.9363636363636364
Tarefa: collectionType | Estagio: 4th | Fold: 8 | Hits@1: 0.9259259259259259
Tarefa: collectionType | Estagio: 1st | Fold: 9 | Hits@1: 0.793859649122807
Tarefa: collectionType | Estagio: 2nd | Fold: 9 | Hits@1: 0.8
Tarefa: collectionType | Estagio: 3rd | Fold: 9 | Hits@1: 0.8796296296296297
Tarefa: collectionType | Estagio: 4th | Fold: 9 | Hits@1: 0.9074074074074074
Tarefa: collectionSite | Estagio: 1st | Fold: 0 | Hits@20: 0.6551724137931034
Tarefa: collectionSite | Estagio: 2nd | Fold: 0 | Hits@20: 0.6234567901234568
Tarefa: collectionSite | Estagio: 3rd | Fold: 0 | Hits@20: 0.6636363636363637
Tarefa: collectionSite | Estagio: 4th | Fold: 0 | Hits@20: 0.7407407407407407
Tarefa: collectionSite | Estagio: 1st | Fold: 1 | Hits@20: 0.6434782608695652
Tarefa: collectionSite | Estagio: 2nd | Fold: 1 | Hits@20: 0.6419753086419753
Tarefa: collectionSite | Estagio: 3rd | Fold: 1 | Hits@20: 0.6636363636363637
Tarefa: collectionSite | Estagio: 4th | Fold: 1 | Hits@20: 0.6666666666666666
Tarefa: collectionSite | Estagio: 1st | Fold: 2 | Hits@20: 0.5560344827586207
Tarefa: collectionSite | Estagio: 2nd | Fold: 2 | Hits@20: 0.5185185185185185
Tarefa: collectionSite | Estagio: 3rd | Fold: 2 | Hits@20: 0.6181818181818182
Tarefa: collectionSite | Estagio: 4th | Fold: 2 | Hits@20: 0.7777777777777778
Tarefa: collectionSite | Estagio: 1st | Fold: 3 | Hits@20: 0.6564327485380117
Tarefa: collectionSite | Estagio: 2nd | Fold: 3 | Hits@20: 0.68125
Tarefa: collectionSite | Estagio: 3rd | Fold: 3 | Hits@20: 0.7037037037037037
Tarefa: collectionSite | Estagio: 4th | Fold: 3 | Hits@20: 0.6481481481481481
Tarefa: collectionSite | Estagio: 1st | Fold: 4 | Hits@20: 0.556047197640118
Tarefa: collectionSite | Estagio: 2nd | Fold: 4 | Hits@20: 0.6054852320675105
Tarefa: collectionSite | Estagio: 3rd | Fold: 4 | Hits@20: 0.6265432098765431
Tarefa: collectionSite | Estagio: 4th | Fold: 4 | Hits@20: 0.6481481481481481
Tarefa: collectionSite | Estagio: 1st | Fold: 5 | Hits@20: 0.6101449275362318
Tarefa: collectionSite | Estagio: 2nd | Fold: 5 | Hits@20: 0.6296296296296297
Tarefa: collectionSite | Estagio: 3rd | Fold: 5 | Hits@20: 0.6545454545454545
Tarefa: collectionSite | Estagio: 4th | Fold: 5 | Hits@20: 0.5925925925925926
Tarefa: collectionSite | Estagio: 1st | Fold: 6 | Hits@20: 0.6235119047619048
Tarefa: collectionSite | Estagio: 2nd | Fold: 6 | Hits@20: 0.6004273504273504
Tarefa: collectionSite | Estagio: 3rd | Fold: 6 | Hits@20: 0.5849056603773585
Tarefa: collectionSite | Estagio: 4th | Fold: 6 | Hits@20: 0.6481481481481481
Tarefa: collectionSite | Estagio: 1st | Fold: 7 | Hits@20: 0.6666666666666666
Tarefa: collectionSite | Estagio: 2nd | Fold: 7 | Hits@20: 0.6854166666666666
Tarefa: collectionSite | Estagio: 3rd | Fold: 7 | Hits@20: 0.7006172839506172
Tarefa: collectionSite | Estagio: 4th | Fold: 7 | Hits@20: 0.6234567901234568
Tarefa: collectionSite | Estagio: 1st | Fold: 8 | Hits@20: 0.5614035087719298
Tarefa: collectionSite | Estagio: 2nd | Fold: 8 | Hits@20: 0.6125
Tarefa: collectionSite | Estagio: 3rd | Fold: 8 | Hits@20: 0.5925925925925926
Tarefa: collectionSite | Estagio: 4th | Fold: 8 | Hits@20: 0.6296296296296297
Tarefa: collectionSite | Estagio: 1st | Fold: 9 | Hits@20: 0.6271929824561403
Tarefa: collectionSite | Estagio: 2nd | Fold: 9 | Hits@20: 0.64375
Tarefa: collectionSite | Estagio: 3rd | Fold: 9 | Hits@20: 0.5925925925925926
