Tarefa: collectionType | Estagio: 1st | Fold: 0 | Hits@1: 0.8173913043478261
Tarefa: collectionType | Estagio: 2nd | Fold: 0 | Hits@1: 0.8580246913580247
Tarefa: collectionType | Estagio: 3rd | Fold: 0 | Hits@1: 0.8454545454545455
Tarefa: collectionType | Estagio: 4th | Fold: 0 | Hits@1: 0.8148148148148148
Tarefa: collectionType | Estagio: 1st | Fold: 1 | Hits@1: 0.8157894736842105
Tarefa: collectionType | Estagio: 2nd | Fold: 1 | Hits@1: 0.79375
Tarefa: collectionType | Estagio: 3rd | Fold: 1 | Hits@1: 0.7870370370370371
Tarefa: collectionType | Estagio: 4th | Fold: 1 | Hits@1: 0.7037037037037037
Tarefa: collectionType | Estagio: 1st | Fold: 2 | Hits@1: 0.7894736842105263
Tarefa: collectionType | Estagio: 2nd | Fold: 2 | Hits@1: 0.7875
Tarefa: collectionType | Estagio: 3rd | Fold: 2 | Hits@1: 0.8148148148148148
Tarefa: collectionType | Estagio: 4th | Fold: 2 | Hits@1: 0.7777777777777778
Tarefa: collectionType | Estagio: 1st | Fold: 3 | Hits@1: 0.827433628318584
Tarefa: collectionType | Estagio: 2nd | Fold: 3 | Hits@1: 0.8417721518987342
Tarefa: collectionType | Estagio: 3rd | Fold: 3 | Hits@1: 0.8240740740740741
Tarefa: collectionType | Estagio: 4th | Fold: 3 | Hits@1: 0.8333333333333334
Tarefa: collectionType | Estagio: 1st | Fold: 4 | Hits@1: 0.8141592920353983
Tarefa: collectionType | Estagio: 2nd | Fold: 4 | Hits@1: 0.8164556962025317
Tarefa: collectionType | Estagio: 3rd | Fold: 4 | Hits@1: 0.8425925925925926
Tarefa: collectionType | Estagio: 4th | Fold: 4 | Hits@1: 0.8333333333333334
Tarefa: collectionType | Estagio: 1st | Fold: 5 | Hits@1: 0.8185840707964602
Tarefa: collectionType | Estagio: 2nd | Fold: 5 | Hits@1: 0.8417721518987342
Tarefa: collectionType | Estagio: 3rd | Fold: 5 | Hits@1: 0.8055555555555556
Tarefa: collectionType | Estagio: 4th | Fold: 5 | Hits@1: 0.8888888888888888
Tarefa: collectionType | Estagio: 1st | Fold: 6 | Hits@1: 0.8026315789473685
Tarefa: collectionType | Estagio: 2nd | Fold: 6 | Hits@1: 0.8375
Tarefa: collectionType | Estagio: 3rd | Fold: 6 | Hits@1: 0.8888888888888888
Tarefa: collectionType | Estagio: 4th | Fold: 6 | Hits@1: 0.9259259259259259
Tarefa: collectionType | Estagio: 1st | Fold: 7 | Hits@1: 0.8289473684210527
Tarefa: collectionType | Estagio: 2nd | Fold: 7 | Hits@1: 0.81875
Tarefa: collectionType | Estagio: 3rd | Fold: 7 | Hits@1: 0.8148148148148148
Tarefa: collectionType | Estagio: 4th | Fold: 7 | Hits@1: 0.8888888888888888
Tarefa: collectionType | Estagio: 1st | Fold: 8 | Hits@1: 0.8130434782608695
Tarefa: collectionType | Estagio: 2nd | Fold: 8 | Hits@1: 0.7962962962962963
Tarefa: collectionType | Estagio: 3rd | Fold: 8 | Hits@1: 0.8090909090909091
Tarefa: collectionType | Estagio: 4th | Fold: 8 | Hits@1: 0.8148148148148148
Tarefa: collectionType | Estagio: 1st | Fold: 9 | Hits@1: 0.7763157894736842
Tarefa: collectionType | Estagio: 2nd | Fold: 9 | Hits@1: 0.7875
Tarefa: collectionType | Estagio: 3rd | Fold: 9 | Hits@1: 0.8796296296296297
Tarefa: collectionType | Estagio: 4th | Fold: 9 | Hits@1: 0.9074074074074074
Tarefa: collectionSite | Estagio: 1st | Fold: 0 | Hits@20: 0.2614942528735632
Tarefa: collectionSite | Estagio: 2nd | Fold: 0 | Hits@20: 0.2510288065843621
Tarefa: collectionSite | Estagio: 3rd | Fold: 0 | Hits@20: 0.27878787878787875
Tarefa: collectionSite | Estagio: 4th | Fold: 0 | Hits@20: 0.3333333333333333
Tarefa: collectionSite | Estagio: 1st | Fold: 1 | Hits@20: 0.2985507246376811
Tarefa: collectionSite | Estagio: 2nd | Fold: 1 | Hits@20: 0.32098765432098764
Tarefa: collectionSite | Estagio: 3rd | Fold: 1 | Hits@20: 0.2909090909090909
Tarefa: collectionSite | Estagio: 4th | Fold: 1 | Hits@20: 0.2962962962962963
Tarefa: collectionSite | Estagio: 1st | Fold: 2 | Hits@20: 0.3132183908045977
Tarefa: collectionSite | Estagio: 2nd | Fold: 2 | Hits@20: 0.32098765432098764
Tarefa: collectionSite | Estagio: 3rd | Fold: 2 | Hits@20: 0.34545454545454546
Tarefa: collectionSite | Estagio: 4th | Fold: 2 | Hits@20: 0.2962962962962963
Tarefa: collectionSite | Estagio: 1st | Fold: 3 | Hits@20: 0.3362573099415204
Tarefa: collectionSite | Estagio: 2nd | Fold: 3 | Hits@20: 0.375
Tarefa: collectionSite | Estagio: 3rd | Fold: 3 | Hits@20: 0.3888888888888889
Tarefa: collectionSite | Estagio: 4th | Fold: 3 | Hits@20: 0.3333333333333333
Tarefa: collectionSite | Estagio: 1st | Fold: 4 | Hits@20: 0.2861356932153392
Tarefa: collectionSite | Estagio: 2nd | Fold: 4 | Hits@20: 0.30801687763713076
Tarefa: collectionSite | Estagio: 3rd | Fold: 4 | Hits@20: 0.3209876543209877
Tarefa: collectionSite | Estagio: 4th | Fold: 4 | Hits@20: 0.2962962962962963
Tarefa: collectionSite | Estagio: 1st | Fold: 5 | Hits@20: 0.2985507246376811
Tarefa: collectionSite | Estagio: 2nd | Fold: 5 | Hits@20: 0.2633744855967078
Tarefa: collectionSite | Estagio: 3rd | Fold: 5 | Hits@20: 0.2909090909090909
Tarefa: collectionSite | Estagio: 4th | Fold: 5 | Hits@20: 0.2222222222222222
Tarefa: collectionSite | Estagio: 1st | Fold: 6 | Hits@20: 0.3154761904761904
Tarefa: collectionSite | Estagio: 2nd | Fold: 6 | Hits@20: 0.29914529914529914
Tarefa: collectionSite | Estagio: 3rd | Fold: 6 | Hits@20: 0.32075471698113206
Tarefa: collectionSite | Estagio: 4th | Fold: 6 | Hits@20: 0.37037037037037035
Tarefa: collectionSite | Estagio: 1st | Fold: 7 | Hits@20: 0.32748538011695905
Tarefa: collectionSite | Estagio: 2nd | Fold: 7 | Hits@20: 0.35416666666666663
Tarefa: collectionSite | Estagio: 3rd | Fold: 7 | Hits@20: 0.35802469135802467
Tarefa: collectionSite | Estagio: 4th | Fold: 7 | Hits@20: 0.38271604938271603
Tarefa: collectionSite | Estagio: 1st | Fold: 8 | Hits@20: 0.29239766081871343
Tarefa: collectionSite | Estagio: 2nd | Fold: 8 | Hits@20: 0.3375
Tarefa: collectionSite | Estagio: 3rd | Fold: 8 | Hits@20: 0.35185185185185186
Tarefa: collectionSite | Estagio: 4th | Fold: 8 | Hits@20: 0.25925925925925924
Tarefa: collectionSite | Estagio: 1st | Fold: 9 | Hits@20: 0.3187134502923976
Tarefa: collectionSite | Estagio: 2nd | Fold: 9 | Hits@20: 0.30416666666666664
Tarefa: collectionSite | Estagio: 3rd | Fold: 9 | Hits@20: 0.25925925925925924
Tarefa: collectionSite | Estagio: 4th | Fold: 9 | Hits@20: 0.2962962962962963
Tarefa: bioActivity | Estagio: 1st | Fold: 0 | Hits@5: 0.4421333333333333
Tarefa: bioActivity | Estagio: 2nd | Fold: 0 | Hits@5: 0.45134099616858236
Tarefa: bioActivity | Estagio: 3rd | Fold: 0 | Hits@5: 0.42655367231638414
Tarefa: bioActivity | Estagio: 4th | Fold: 0 | Hits@5: 0.5057471264367815
Tarefa: bioActivity | Estagio: 1st | Fold: 1 | Hits@5: 0.4467236467236468
Tarefa: bioActivity | Estagio: 2nd | Fold: 1 | Hits@5: 0.4227642276422764
Tarefa: bioActivity | Estagio: 3rd | Fold: 1 | Hits@5: 0.48511904761904756
Tarefa: bioActivity | Estagio: 4th | Fold: 1 | Hits@5: 0.4523809523809524
Tarefa: bioActivity | Estagio: 1st | Fold: 2 | Hits@5: 0.43555555555555553
Tarefa: bioActivity | Estagio: 2nd | Fold: 2 | Hits@5: 0.4563492063492063
Tarefa: bioActivity | Estagio: 3rd | Fold: 2 | Hits@5: 0.42690058479532167
Tarefa: bioActivity | Estagio: 4th | Fold: 2 | Hits@5: 0.5517241379310345
Tarefa: bioActivity | Estagio: 1st | Fold: 3 | Hits@5: 0.43555555555555553
Tarefa: bioActivity | Estagio: 2nd | Fold: 3 | Hits@5: 0.4543650793650794
Tarefa: bioActivity | Estagio: 3rd | Fold: 3 | Hits@5: 0.40350877192982454
Tarefa: bioActivity | Estagio: 4th | Fold: 3 | Hits@5: 0.3103448275862069
Tarefa: bioActivity | Estagio: 1st | Fold: 4 | Hits@5: 0.43661202185792347
Tarefa: bioActivity | Estagio: 2nd | Fold: 4 | Hits@5: 0.43921568627450974
Tarefa: bioActivity | Estagio: 3rd | Fold: 4 | Hits@5: 0.4827586206896552
Tarefa: bioActivity | Estagio: 4th | Fold: 4 | Hits@5: 0.5172413793103449
