Tarefa: collectionType | Estagio: 1st | Fold: 0 | Hits@1: 0.8260869565217391
Tarefa: collectionType | Estagio: 2nd | Fold: 0 | Hits@1: 0.8580246913580247
Tarefa: collectionType | Estagio: 3rd | Fold: 0 | Hits@1: 0.8636363636363636
Tarefa: collectionType | Estagio: 4th | Fold: 0 | Hits@1: 0.8518518518518519
Tarefa: collectionType | Estagio: 1st | Fold: 1 | Hits@1: 0.8333333333333334
Tarefa: collectionType | Estagio: 2nd | Fold: 1 | Hits@1: 0.83125
Tarefa: collectionType | Estagio: 3rd | Fold: 1 | Hits@1: 0.8425925925925926
Tarefa: collectionType | Estagio: 4th | Fold: 1 | Hits@1: 0.7777777777777778
Tarefa: collectionType | Estagio: 1st | Fold: 2 | Hits@1: 0.8157894736842105
Tarefa: collectionType | Estagio: 2nd | Fold: 2 | Hits@1: 0.8125
Tarefa: collectionType | Estagio: 3rd | Fold: 2 | Hits@1: 0.8703703703703703
Tarefa: collectionType | Estagio: 4th | Fold: 2 | Hits@1: 0.8518518518518519
Tarefa: collectionType | Estagio: 1st | Fold: 3 | Hits@1: 0.827433628318584
Tarefa: collectionType | Estagio: 2nd | Fold: 3 | Hits@1: 0.8291139240506329
Tarefa: collectionType | Estagio: 3rd | Fold: 3 | Hits@1: 0.8240740740740741
Tarefa: collectionType | Estagio: 4th | Fold: 3 | Hits@1: 0.8333333333333334
Tarefa: collectionType | Estagio: 1st | Fold: 4 | Hits@1: 0.831858407079646
Tarefa: collectionType | Estagio: 2nd | Fold: 4 | Hits@1: 0.8544303797468354
Tarefa: collectionType | Estagio: 3rd | Fold: 4 | Hits@1: 0.8796296296296297
Tarefa: collectionType | Estagio: 4th | Fold: 4 | Hits@1: 0.8333333333333334
Tarefa: collectionType | Estagio: 1st | Fold: 5 | Hits@1: 0.827433628318584
Tarefa: collectionType | Estagio: 2nd | Fold: 5 | Hits@1: 0.8417721518987342
Tarefa: collectionType | Estagio: 3rd | Fold: 5 | Hits@1: 0.8055555555555556
Tarefa: collectionType | Estagio: 4th | Fold: 5 | Hits@1: 0.8148148148148148
Tarefa: collectionType | Estagio: 1st | Fold: 6 | Hits@1: 0.8289473684210527
Tarefa: collectionType | Estagio: 2nd | Fold: 6 | Hits@1: 0.8375
Tarefa: collectionType | Estagio: 3rd | Fold: 6 | Hits@1: 0.8703703703703703
