Tarefa: collectionType | Estagio: 1st | Fold: 0 | Hits@1: 0.8347826086956521
Tarefa: collectionType | Estagio: 2nd | Fold: 0 | Hits@1: 0.8703703703703703
Tarefa: collectionType | Estagio: 3rd | Fold: 0 | Hits@1: 0.8636363636363636
Tarefa: collectionType | Estagio: 4th | Fold: 0 | Hits@1: 0.8148148148148148
Tarefa: collectionType | Estagio: 1st | Fold: 1 | Hits@1: 0.8245614035087719
Tarefa: collectionType | Estagio: 2nd | Fold: 1 | Hits@1: 0.80625
Tarefa: collectionType | Estagio: 3rd | Fold: 1 | Hits@1: 0.8055555555555556
Tarefa: collectionType | Estagio: 4th | Fold: 1 | Hits@1: 0.7407407407407407
Tarefa: collectionType | Estagio: 1st | Fold: 2 | Hits@1: 0.7982456140350878
Tarefa: collectionType | Estagio: 2nd | Fold: 2 | Hits@1: 0.7875
Tarefa: collectionType | Estagio: 3rd | Fold: 2 | Hits@1: 0.8333333333333334
Tarefa: collectionType | Estagio: 4th | Fold: 2 | Hits@1: 0.7777777777777778
Tarefa: collectionType | Estagio: 1st | Fold: 3 | Hits@1: 0.8362831858407079
Tarefa: collectionType | Estagio: 2nd | Fold: 3 | Hits@1: 0.8417721518987342
Tarefa: collectionType | Estagio: 3rd | Fold: 3 | Hits@1: 0.8240740740740741
Tarefa: collectionType | Estagio: 4th | Fold: 3 | Hits@1: 0.8333333333333334
Tarefa: collectionType | Estagio: 1st | Fold: 4 | Hits@1: 0.8141592920353983
Tarefa: collectionType | Estagio: 2nd | Fold: 4 | Hits@1: 0.8164556962025317
Tarefa: collectionType | Estagio: 3rd | Fold: 4 | Hits@1: 0.8425925925925926
Tarefa: collectionType | Estagio: 4th | Fold: 4 | Hits@1: 0.8333333333333334
Tarefa: collectionType | Estagio: 1st | Fold: 5 | Hits@1: 0.827433628318584
Tarefa: collectionType | Estagio: 2nd | Fold: 5 | Hits@1: 0.8417721518987342
Tarefa: collectionType | Estagio: 3rd | Fold: 5 | Hits@1: 0.8055555555555556
Tarefa: collectionType | Estagio: 4th | Fold: 5 | Hits@1: 0.8888888888888888
Tarefa: collectionType | Estagio: 1st | Fold: 6 | Hits@1: 0.8114035087719298
Tarefa: collectionType | Estagio: 2nd | Fold: 6 | Hits@1: 0.8375
Tarefa: collectionType | Estagio: 3rd | Fold: 6 | Hits@1: 0.8888888888888888
Tarefa: collectionType | Estagio: 4th | Fold: 6 | Hits@1: 0.9259259259259259
Tarefa: collectionType | Estagio: 1st | Fold: 7 | Hits@1: 0.8464912280701754
Tarefa: collectionType | Estagio: 2nd | Fold: 7 | Hits@1: 0.81875
Tarefa: collectionType | Estagio: 3rd | Fold: 7 | Hits@1: 0.8148148148148148
Tarefa: collectionType | Estagio: 4th | Fold: 7 | Hits@1: 0.8888888888888888
Tarefa: collectionType | Estagio: 1st | Fold: 8 | Hits@1: 0.8217391304347826
Tarefa: collectionType | Estagio: 2nd | Fold: 8 | Hits@1: 0.7962962962962963
Tarefa: collectionType | Estagio: 3rd | Fold: 8 | Hits@1: 0.8090909090909091
Tarefa: collectionType | Estagio: 4th | Fold: 8 | Hits@1: 0.8148148148148148
Tarefa: collectionType | Estagio: 1st | Fold: 9 | Hits@1: 0.7850877192982456
Tarefa: collectionType | Estagio: 2nd | Fold: 9 | Hits@1: 0.7875
Tarefa: collectionType | Estagio: 3rd | Fold: 9 | Hits@1: 0.8796296296296297
Tarefa: collectionType | Estagio: 4th | Fold: 9 | Hits@1: 0.9074074074074074
