Tarefa: collectionType | Estagio: 1st | Fold: 0 | Hits@1: 0.4217391304347826
Tarefa: collectionType | Estagio: 2nd | Fold: 0 | Hits@1: 0.4506172839506173
Tarefa: collectionType | Estagio: 3rd | Fold: 0 | Hits@1: 0.4090909090909091
Tarefa: collectionType | Estagio: 4th | Fold: 0 | Hits@1: 0.3333333333333333
Tarefa: collectionType | Estagio: 1st | Fold: 1 | Hits@1: 0.4166666666666667
Tarefa: collectionType | Estagio: 2nd | Fold: 1 | Hits@1: 0.375
Tarefa: collectionType | Estagio: 3rd | Fold: 1 | Hits@1: 0.39814814814814814
Tarefa: collectionType | Estagio: 4th | Fold: 1 | Hits@1: 0.4074074074074074
Tarefa: collectionType | Estagio: 1st | Fold: 2 | Hits@1: 0.40789473684210525
Tarefa: collectionType | Estagio: 2nd | Fold: 2 | Hits@1: 0.40625
Tarefa: collectionType | Estagio: 3rd | Fold: 2 | Hits@1: 0.4722222222222222
Tarefa: collectionType | Estagio: 4th | Fold: 2 | Hits@1: 0.5
Tarefa: collectionType | Estagio: 1st | Fold: 3 | Hits@1: 0.41150442477876104
Tarefa: collectionType | Estagio: 2nd | Fold: 3 | Hits@1: 0.44936708860759494
Tarefa: collectionType | Estagio: 3rd | Fold: 3 | Hits@1: 0.4351851851851852
Tarefa: collectionType | Estagio: 4th | Fold: 3 | Hits@1: 0.46296296296296297
Tarefa: collectionType | Estagio: 1st | Fold: 4 | Hits@1: 0.42035398230088494
Tarefa: collectionType | Estagio: 2nd | Fold: 4 | Hits@1: 0.4620253164556962
Tarefa: collectionType | Estagio: 3rd | Fold: 4 | Hits@1: 0.4722222222222222
Tarefa: collectionType | Estagio: 4th | Fold: 4 | Hits@1: 0.5740740740740741
Tarefa: collectionType | Estagio: 1st | Fold: 5 | Hits@1: 0.415929203539823
Tarefa: collectionType | Estagio: 2nd | Fold: 5 | Hits@1: 0.3860759493670886
Tarefa: collectionType | Estagio: 3rd | Fold: 5 | Hits@1: 0.39814814814814814
Tarefa: collectionType | Estagio: 4th | Fold: 5 | Hits@1: 0.37037037037037035
Tarefa: collectionType | Estagio: 1st | Fold: 6 | Hits@1: 0.40350877192982454
Tarefa: collectionType | Estagio: 2nd | Fold: 6 | Hits@1: 0.41875
Tarefa: collectionType | Estagio: 3rd | Fold: 6 | Hits@1: 0.4351851851851852
Tarefa: collectionType | Estagio: 4th | Fold: 6 | Hits@1: 0.37037037037037035
Tarefa: collectionType | Estagio: 1st | Fold: 7 | Hits@1: 0.42105263157894735
Tarefa: collectionType | Estagio: 2nd | Fold: 7 | Hits@1: 0.44375
Tarefa: collectionType | Estagio: 3rd | Fold: 7 | Hits@1: 0.5
Tarefa: collectionType | Estagio: 4th | Fold: 7 | Hits@1: 0.5555555555555556
Tarefa: collectionType | Estagio: 1st | Fold: 8 | Hits@1: 0.3826086956521739
Tarefa: collectionType | Estagio: 2nd | Fold: 8 | Hits@1: 0.38271604938271603
Tarefa: collectionType | Estagio: 3rd | Fold: 8 | Hits@1: 0.4090909090909091
Tarefa: collectionType | Estagio: 4th | Fold: 8 | Hits@1: 0.5185185185185185
Tarefa: collectionType | Estagio: 1st | Fold: 9 | Hits@1: 0.39473684210526316
Tarefa: collectionType | Estagio: 2nd | Fold: 9 | Hits@1: 0.34375
Tarefa: collectionType | Estagio: 3rd | Fold: 9 | Hits@1: 0.37962962962962965
Tarefa: collectionType | Estagio: 4th | Fold: 9 | Hits@1: 0.5
Tarefa: collectionSite | Estagio: 1st | Fold: 0 | Hits@20: 0.30028735632183906
Tarefa: collectionSite | Estagio: 2nd | Fold: 0 | Hits@20: 0.27572016460905346
Tarefa: collectionSite | Estagio: 3rd | Fold: 0 | Hits@20: 0.29696969696969694
Tarefa: collectionSite | Estagio: 4th | Fold: 0 | Hits@20: 0.2962962962962963
