Tarefa: collectionType | Estagio: 1st | Fold: 0 | Hits@1: 0.6304347826086957
Tarefa: collectionType | Estagio: 2nd | Fold: 0 | Hits@1: 0.6790123456790124
Tarefa: collectionType | Estagio: 3rd | Fold: 0 | Hits@1: 0.7
Tarefa: collectionType | Estagio: 4th | Fold: 0 | Hits@1: 0.7037037037037037
Tarefa: collectionType | Estagio: 1st | Fold: 1 | Hits@1: 0.618421052631579
Tarefa: collectionType | Estagio: 2nd | Fold: 1 | Hits@1: 0.60625
Tarefa: collectionType | Estagio: 3rd | Fold: 1 | Hits@1: 0.6574074074074074
Tarefa: collectionType | Estagio: 4th | Fold: 1 | Hits@1: 0.6666666666666666
Tarefa: collectionType | Estagio: 1st | Fold: 2 | Hits@1: 0.6271929824561403
Tarefa: collectionType | Estagio: 2nd | Fold: 2 | Hits@1: 0.6375
Tarefa: collectionType | Estagio: 3rd | Fold: 2 | Hits@1: 0.7407407407407407
Tarefa: collectionType | Estagio: 4th | Fold: 2 | Hits@1: 0.6296296296296297
Tarefa: collectionType | Estagio: 1st | Fold: 3 | Hits@1: 0.5929203539823009
Tarefa: collectionType | Estagio: 2nd | Fold: 3 | Hits@1: 0.5822784810126582
Tarefa: collectionType | Estagio: 3rd | Fold: 3 | Hits@1: 0.6111111111111112
Tarefa: collectionType | Estagio: 4th | Fold: 3 | Hits@1: 0.5740740740740741
Tarefa: collectionType | Estagio: 1st | Fold: 4 | Hits@1: 0.5973451327433629
Tarefa: collectionType | Estagio: 2nd | Fold: 4 | Hits@1: 0.569620253164557
Tarefa: collectionType | Estagio: 3rd | Fold: 4 | Hits@1: 0.5925925925925926
Tarefa: collectionType | Estagio: 4th | Fold: 4 | Hits@1: 0.6666666666666666
Tarefa: collectionType | Estagio: 1st | Fold: 5 | Hits@1: 0.5929203539823009
Tarefa: collectionType | Estagio: 2nd | Fold: 5 | Hits@1: 0.6392405063291139
Tarefa: collectionType | Estagio: 3rd | Fold: 5 | Hits@1: 0.6203703703703703
Tarefa: collectionType | Estagio: 4th | Fold: 5 | Hits@1: 0.7407407407407407
Tarefa: collectionType | Estagio: 1st | Fold: 6 | Hits@1: 0.6052631578947368
Tarefa: collectionType | Estagio: 2nd | Fold: 6 | Hits@1: 0.6125
Tarefa: collectionType | Estagio: 3rd | Fold: 6 | Hits@1: 0.6666666666666666
Tarefa: collectionType | Estagio: 4th | Fold: 6 | Hits@1: 0.6666666666666666
Tarefa: collectionType | Estagio: 1st | Fold: 7 | Hits@1: 0.631578947368421
Tarefa: collectionType | Estagio: 2nd | Fold: 7 | Hits@1: 0.6625
Tarefa: collectionType | Estagio: 3rd | Fold: 7 | Hits@1: 0.6759259259259259
Tarefa: collectionType | Estagio: 4th | Fold: 7 | Hits@1: 0.6666666666666666
Tarefa: collectionType | Estagio: 1st | Fold: 8 | Hits@1: 0.6521739130434783
Tarefa: collectionType | Estagio: 2nd | Fold: 8 | Hits@1: 0.6296296296296297
