Tarefa: collectionType | Estagio: 1st | Fold: 0 | Hits@1: 0.7260869565217392
Tarefa: collectionType | Estagio: 2nd | Fold: 0 | Hits@1: 0.7530864197530864
Tarefa: collectionType | Estagio: 3rd | Fold: 0 | Hits@1: 0.7545454545454545
Tarefa: collectionType | Estagio: 4th | Fold: 0 | Hits@1: 0.8148148148148148
Tarefa: collectionType | Estagio: 1st | Fold: 1 | Hits@1: 0.7280701754385965
Tarefa: collectionType | Estagio: 2nd | Fold: 1 | Hits@1: 0.71875
Tarefa: collectionType | Estagio: 3rd | Fold: 1 | Hits@1: 0.7129629629629629
Tarefa: collectionType | Estagio: 4th | Fold: 1 | Hits@1: 0.7407407407407407
Tarefa: collectionType | Estagio: 1st | Fold: 2 | Hits@1: 0.6885964912280702
Tarefa: collectionType | Estagio: 2nd | Fold: 2 | Hits@1: 0.6375
Tarefa: collectionType | Estagio: 3rd | Fold: 2 | Hits@1: 0.7222222222222222
Tarefa: collectionType | Estagio: 4th | Fold: 2 | Hits@1: 0.7407407407407407
Tarefa: collectionType | Estagio: 1st | Fold: 3 | Hits@1: 0.6902654867256637
Tarefa: collectionType | Estagio: 2nd | Fold: 3 | Hits@1: 0.6962025316455697
Tarefa: collectionType | Estagio: 3rd | Fold: 3 | Hits@1: 0.6481481481481481
Tarefa: collectionType | Estagio: 4th | Fold: 3 | Hits@1: 0.6481481481481481
Tarefa: collectionType | Estagio: 1st | Fold: 4 | Hits@1: 0.7035398230088495
Tarefa: collectionType | Estagio: 2nd | Fold: 4 | Hits@1: 0.7215189873417721
Tarefa: collectionType | Estagio: 3rd | Fold: 4 | Hits@1: 0.7777777777777778
Tarefa: collectionType | Estagio: 4th | Fold: 4 | Hits@1: 0.8148148148148148
Tarefa: collectionType | Estagio: 1st | Fold: 5 | Hits@1: 0.7168141592920354
Tarefa: collectionType | Estagio: 2nd | Fold: 5 | Hits@1: 0.6962025316455697
Tarefa: collectionType | Estagio: 3rd | Fold: 5 | Hits@1: 0.6481481481481481
Tarefa: collectionType | Estagio: 4th | Fold: 5 | Hits@1: 0.8148148148148148
Tarefa: collectionType | Estagio: 1st | Fold: 6 | Hits@1: 0.6842105263157895
Tarefa: collectionType | Estagio: 2nd | Fold: 6 | Hits@1: 0.69375
Tarefa: collectionType | Estagio: 3rd | Fold: 6 | Hits@1: 0.6666666666666666
Tarefa: collectionType | Estagio: 4th | Fold: 6 | Hits@1: 0.6296296296296297
Tarefa: collectionType | Estagio: 1st | Fold: 7 | Hits@1: 0.7192982456140351
