Tarefa: collectionType | Estagio: 1st | Fold: 0 | Hits@1: 0.6695652173913044
Tarefa: collectionType | Estagio: 2nd | Fold: 0 | Hits@1: 0.691358024691358
Tarefa: collectionType | Estagio: 3rd | Fold: 0 | Hits@1: 0.7
Tarefa: collectionType | Estagio: 4th | Fold: 0 | Hits@1: 0.7407407407407407
Tarefa: collectionType | Estagio: 1st | Fold: 1 | Hits@1: 0.6666666666666666
Tarefa: collectionType | Estagio: 2nd | Fold: 1 | Hits@1: 0.70625
Tarefa: collectionType | Estagio: 3rd | Fold: 1 | Hits@1: 0.6759259259259259
Tarefa: collectionType | Estagio: 4th | Fold: 1 | Hits@1: 0.5925925925925926
Tarefa: collectionType | Estagio: 1st | Fold: 2 | Hits@1: 0.6885964912280702
Tarefa: collectionType | Estagio: 2nd | Fold: 2 | Hits@1: 0.7
Tarefa: collectionType | Estagio: 3rd | Fold: 2 | Hits@1: 0.7407407407407407
Tarefa: collectionType | Estagio: 4th | Fold: 2 | Hits@1: 0.6666666666666666
Tarefa: collectionType | Estagio: 1st | Fold: 3 | Hits@1: 0.6858407079646017
Tarefa: collectionType | Estagio: 2nd | Fold: 3 | Hits@1: 0.6772151898734177
Tarefa: collectionType | Estagio: 3rd | Fold: 3 | Hits@1: 0.6574074074074074
Tarefa: collectionType | Estagio: 4th | Fold: 3 | Hits@1: 0.7407407407407407
Tarefa: collectionType | Estagio: 1st | Fold: 4 | Hits@1: 0.6814159292035398
Tarefa: collectionType | Estagio: 2nd | Fold: 4 | Hits@1: 0.6708860759493671
Tarefa: collectionType | Estagio: 3rd | Fold: 4 | Hits@1: 0.6666666666666666
Tarefa: collectionType | Estagio: 4th | Fold: 4 | Hits@1: 0.5925925925925926
Tarefa: collectionType | Estagio: 1st | Fold: 5 | Hits@1: 0.6769911504424779
Tarefa: collectionType | Estagio: 2nd | Fold: 5 | Hits@1: 0.689873417721519
Tarefa: collectionType | Estagio: 3rd | Fold: 5 | Hits@1: 0.6018518518518519
Tarefa: collectionType | Estagio: 4th | Fold: 5 | Hits@1: 0.7037037037037037
Tarefa: collectionType | Estagio: 1st | Fold: 6 | Hits@1: 0.6535087719298246
Tarefa: collectionType | Estagio: 2nd | Fold: 6 | Hits@1: 0.6625
Tarefa: collectionType | Estagio: 3rd | Fold: 6 | Hits@1: 0.7037037037037037
Tarefa: collectionType | Estagio: 4th | Fold: 6 | Hits@1: 0.7407407407407407
Tarefa: collectionType | Estagio: 1st | Fold: 7 | Hits@1: 0.6622807017543859
Tarefa: collectionType | Estagio: 2nd | Fold: 7 | Hits@1: 0.63125
Tarefa: collectionType | Estagio: 3rd | Fold: 7 | Hits@1: 0.6018518518518519
Tarefa: collectionType | Estagio: 4th | Fold: 7 | Hits@1: 0.6666666666666666
Tarefa: collectionType | Estagio: 1st | Fold: 8 | Hits@1: 0.6826086956521739
Tarefa: collectionType | Estagio: 2nd | Fold: 8 | Hits@1: 0.6481481481481481
Tarefa: collectionType | Estagio: 3rd | Fold: 8 | Hits@1: 0.6636363636363637
Tarefa: collectionType | Estagio: 4th | Fold: 8 | Hits@1: 0.6296296296296297
Tarefa: collectionType | Estagio: 1st | Fold: 9 | Hits@1: 0.618421052631579
Tarefa: collectionType | Estagio: 2nd | Fold: 9 | Hits@1: 0.64375
Tarefa: collectionType | Estagio: 3rd | Fold: 9 | Hits@1: 0.75
Tarefa: collectionType | Estagio: 4th | Fold: 9 | Hits@1: 0.7222222222222222
Tarefa: collectionSite | Estagio: 1st | Fold: 0 | Hits@20: 0.4080459770114942
Tarefa: collectionSite | Estagio: 2nd | Fold: 0 | Hits@20: 0.38683127572016457
Tarefa: collectionSite | Estagio: 3rd | Fold: 0 | Hits@20: 0.4606060606060606
Tarefa: collectionSite | Estagio: 4th | Fold: 0 | Hits@20: 0.3333333333333333
Tarefa: collectionSite | Estagio: 1st | Fold: 1 | Hits@20: 0.40289855072463765
Tarefa: collectionSite | Estagio: 2nd | Fold: 1 | Hits@20: 0.41975308641975306
Tarefa: collectionSite | Estagio: 3rd | Fold: 1 | Hits@20: 0.41818181818181815
Tarefa: collectionSite | Estagio: 4th | Fold: 1 | Hits@20: 0.4444444444444444
Tarefa: collectionSite | Estagio: 1st | Fold: 2 | Hits@20: 0.4080459770114942
Tarefa: collectionSite | Estagio: 2nd | Fold: 2 | Hits@20: 0.4012345679012346
Tarefa: collectionSite | Estagio: 3rd | Fold: 2 | Hits@20: 0.42727272727272725
Tarefa: collectionSite | Estagio: 4th | Fold: 2 | Hits@20: 0.4444444444444444
Tarefa: collectionSite | Estagio: 1st | Fold: 3 | Hits@20: 0.4327485380116959
Tarefa: collectionSite | Estagio: 2nd | Fold: 3 | Hits@20: 0.45
Tarefa: collectionSite | Estagio: 3rd | Fold: 3 | Hits@20: 0.4537037037037037
Tarefa: collectionSite | Estagio: 4th | Fold: 3 | Hits@20: 0.4444444444444444
Tarefa: collectionSite | Estagio: 1st | Fold: 4 | Hits@20: 0.38348082595870203
Tarefa: collectionSite | Estagio: 2nd | Fold: 4 | Hits@20: 0.4156118143459915
Tarefa: collectionSite | Estagio: 3rd | Fold: 4 | Hits@20: 0.41358024691358025
Tarefa: collectionSite | Estagio: 4th | Fold: 4 | Hits@20: 0.4444444444444444
Tarefa: collectionSite | Estagio: 1st | Fold: 5 | Hits@20: 0.4376811594202898
Tarefa: collectionSite | Estagio: 2nd | Fold: 5 | Hits@20: 0.41769547325102874
Tarefa: collectionSite | Estagio: 3rd | Fold: 5 | Hits@20: 0.39090909090909093
Tarefa: collectionSite | Estagio: 4th | Fold: 5 | Hits@20: 0.2777777777777778
Tarefa: collectionSite | Estagio: 1st | Fold: 6 | Hits@20: 0.42261904761904756
Tarefa: collectionSite | Estagio: 2nd | Fold: 6 | Hits@20: 0.4209401709401709
Tarefa: collectionSite | Estagio: 3rd | Fold: 6 | Hits@20: 0.44339622641509435
Tarefa: collectionSite | Estagio: 4th | Fold: 6 | Hits@20: 0.48148148148148145
Tarefa: collectionSite | Estagio: 1st | Fold: 7 | Hits@20: 0.4327485380116959
Tarefa: collectionSite | Estagio: 2nd | Fold: 7 | Hits@20: 0.4604166666666666
Tarefa: collectionSite | Estagio: 3rd | Fold: 7 | Hits@20: 0.45987654320987653
Tarefa: collectionSite | Estagio: 4th | Fold: 7 | Hits@20: 0.4753086419753086
Tarefa: collectionSite | Estagio: 1st | Fold: 8 | Hits@20: 0.39766081871345027
Tarefa: collectionSite | Estagio: 2nd | Fold: 8 | Hits@20: 0.45625
Tarefa: collectionSite | Estagio: 3rd | Fold: 8 | Hits@20: 0.48148148148148145
Tarefa: collectionSite | Estagio: 4th | Fold: 8 | Hits@20: 0.4074074074074074
Tarefa: collectionSite | Estagio: 1st | Fold: 9 | Hits@20: 0.42397660818713445
Tarefa: collectionSite | Estagio: 2nd | Fold: 9 | Hits@20: 0.4291666666666666
Tarefa: collectionSite | Estagio: 3rd | Fold: 9 | Hits@20: 0.42592592592592593
Tarefa: collectionSite | Estagio: 4th | Fold: 9 | Hits@20: 0.4444444444444444
Tarefa: bioActivity | Estagio: 1st | Fold: 0 | Hits@5: 0.3468
Tarefa: bioActivity | Estagio: 2nd | Fold: 0 | Hits@5: 0.3593869731800766
Tarefa: bioActivity | Estagio: 3rd | Fold: 0 | Hits@5: 0.39265536723163835
Tarefa: bioActivity | Estagio: 4th | Fold: 0 | Hits@5: 0.47126436781609193
Tarefa: bioActivity | Estagio: 1st | Fold: 1 | Hits@5: 0.34487179487179487
Tarefa: bioActivity | Estagio: 2nd | Fold: 1 | Hits@5: 0.30081300813008127
Tarefa: bioActivity | Estagio: 3rd | Fold: 1 | Hits@5: 0.35119047619047616
Tarefa: bioActivity | Estagio: 4th | Fold: 1 | Hits@5: 0.3630952380952381
Tarefa: bioActivity | Estagio: 1st | Fold: 2 | Hits@5: 0.34458333333333335
Tarefa: bioActivity | Estagio: 2nd | Fold: 2 | Hits@5: 0.35714285714285715
Tarefa: bioActivity | Estagio: 3rd | Fold: 2 | Hits@5: 0.30701754385964913
Tarefa: bioActivity | Estagio: 4th | Fold: 2 | Hits@5: 0.3793103448275862
Tarefa: bioActivity | Estagio: 1st | Fold: 3 | Hits@5: 0.34458333333333335
Tarefa: bioActivity | Estagio: 2nd | Fold: 3 | Hits@5: 0.34920634920634924
Tarefa: bioActivity | Estagio: 3rd | Fold: 3 | Hits@5: 0.3157894736842105
Tarefa: bioActivity | Estagio: 4th | Fold: 3 | Hits@5: 0.2413793103448276
Tarefa: bioActivity | Estagio: 1st | Fold: 4 | Hits@5: 0.33893442622950815
Tarefa: bioActivity | Estagio: 2nd | Fold: 4 | Hits@5: 0.3568627450980392
Tarefa: bioActivity | Estagio: 3rd | Fold: 4 | Hits@5: 0.3879310344827586
Tarefa: bioActivity | Estagio: 4th | Fold: 4 | Hits@5: 0.4482758620689655
Tarefa: bioActivity | Estagio: 1st | Fold: 5 | Hits@5: 0.3443089430894309
Tarefa: bioActivity | Estagio: 2nd | Fold: 5 | Hits@5: 0.37209302325581395
Tarefa: bioActivity | Estagio: 3rd | Fold: 5 | Hits@5: 0.3879310344827586
Tarefa: bioActivity | Estagio: 4th | Fold: 5 | Hits@5: 0.43103448275862066
Tarefa: bioActivity | Estagio: 1st | Fold: 6 | Hits@5: 0.3389344262295082
Tarefa: bioActivity | Estagio: 2nd | Fold: 6 | Hits@5: 0.3254901960784313
Tarefa: bioActivity | Estagio: 3rd | Fold: 6 | Hits@5: 0.36494252873563215
Tarefa: bioActivity | Estagio: 4th | Fold: 6 | Hits@5: 0.3160919540229885
Tarefa: bioActivity | Estagio: 1st | Fold: 7 | Hits@5: 0.33347457627118643
Tarefa: bioActivity | Estagio: 2nd | Fold: 7 | Hits@5: 0.3333333333333333
Tarefa: bioActivity | Estagio: 3rd | Fold: 7 | Hits@5: 0.3125
Tarefa: bioActivity | Estagio: 4th | Fold: 7 | Hits@5: 0.30357142857142855
Tarefa: bioActivity | Estagio: 1st | Fold: 8 | Hits@5: 0.3478448275862069
Tarefa: bioActivity | Estagio: 2nd | Fold: 8 | Hits@5: 0.3713991769547325
Tarefa: bioActivity | Estagio: 3rd | Fold: 8 | Hits@5: 0.36515151515151517
Tarefa: bioActivity | Estagio: 4th | Fold: 8 | Hits@5: 0.4012345679012345
Tarefa: bioActivity | Estagio: 1st | Fold: 9 | Hits@5: 0.3504237288135593
Tarefa: bioActivity | Estagio: 2nd | Fold: 9 | Hits@5: 0.3365461847389558
Tarefa: bioActivity | Estagio: 3rd | Fold: 9 | Hits@5: 0.2845238095238095
Tarefa: bioActivity | Estagio: 4th | Fold: 9 | Hits@5: 0.26785714285714285
Tarefa: collectionSpecie | Estagio: 1st | Fold: 0 | Hits@50: 0.5172413793103449
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 0 | Hits@50: 0.5185185185185185
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 0 | Hits@50: 0.4909090909090909
Tarefa: collectionSpecie | Estagio: 4th | Fold: 0 | Hits@50: 0.48148148148148145
Tarefa: collectionSpecie | Estagio: 1st | Fold: 1 | Hits@50: 0.4829059829059829
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 1 | Hits@50: 0.49390243902439024
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 1 | Hits@50: 0.5267857142857143
Tarefa: collectionSpecie | Estagio: 4th | Fold: 1 | Hits@50: 0.4642857142857143
Tarefa: collectionSpecie | Estagio: 1st | Fold: 2 | Hits@50: 0.47435897435897434
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 2 | Hits@50: 0.5060975609756098
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 2 | Hits@50: 0.4732142857142857
