Tarefa: collectionType | Estagio: 1st | Fold: 0 | Hits@1: 0.6565217391304348
Tarefa: collectionType | Estagio: 2nd | Fold: 0 | Hits@1: 0.654320987654321
Tarefa: collectionType | Estagio: 3rd | Fold: 0 | Hits@1: 0.6545454545454545
Tarefa: collectionType | Estagio: 4th | Fold: 0 | Hits@1: 0.5555555555555556
Tarefa: collectionType | Estagio: 1st | Fold: 1 | Hits@1: 0.6842105263157895
Tarefa: collectionType | Estagio: 2nd | Fold: 1 | Hits@1: 0.6625
Tarefa: collectionType | Estagio: 3rd | Fold: 1 | Hits@1: 0.6296296296296297
Tarefa: collectionType | Estagio: 4th | Fold: 1 | Hits@1: 0.6666666666666666
Tarefa: collectionType | Estagio: 1st | Fold: 2 | Hits@1: 0.6622807017543859
Tarefa: collectionType | Estagio: 2nd | Fold: 2 | Hits@1: 0.675
Tarefa: collectionType | Estagio: 3rd | Fold: 2 | Hits@1: 0.7037037037037037
Tarefa: collectionType | Estagio: 4th | Fold: 2 | Hits@1: 0.7777777777777778
Tarefa: collectionType | Estagio: 1st | Fold: 3 | Hits@1: 0.6902654867256637
Tarefa: collectionType | Estagio: 2nd | Fold: 3 | Hits@1: 0.6265822784810127
Tarefa: collectionType | Estagio: 3rd | Fold: 3 | Hits@1: 0.6388888888888888
Tarefa: collectionType | Estagio: 4th | Fold: 3 | Hits@1: 0.7592592592592593
Tarefa: collectionType | Estagio: 1st | Fold: 4 | Hits@1: 0.6548672566371682
Tarefa: collectionType | Estagio: 2nd | Fold: 4 | Hits@1: 0.6772151898734177
Tarefa: collectionType | Estagio: 3rd | Fold: 4 | Hits@1: 0.6759259259259259
Tarefa: collectionType | Estagio: 4th | Fold: 4 | Hits@1: 0.5370370370370371
Tarefa: collectionType | Estagio: 1st | Fold: 5 | Hits@1: 0.6637168141592921
Tarefa: collectionType | Estagio: 2nd | Fold: 5 | Hits@1: 0.6329113924050633
Tarefa: collectionType | Estagio: 3rd | Fold: 5 | Hits@1: 0.5555555555555556
Tarefa: collectionType | Estagio: 4th | Fold: 5 | Hits@1: 0.6296296296296297
Tarefa: collectionType | Estagio: 1st | Fold: 6 | Hits@1: 0.6403508771929824
Tarefa: collectionType | Estagio: 2nd | Fold: 6 | Hits@1: 0.65
Tarefa: collectionType | Estagio: 3rd | Fold: 6 | Hits@1: 0.6296296296296297
Tarefa: collectionType | Estagio: 4th | Fold: 6 | Hits@1: 0.5555555555555556
Tarefa: collectionType | Estagio: 1st | Fold: 7 | Hits@1: 0.6578947368421053
Tarefa: collectionType | Estagio: 2nd | Fold: 7 | Hits@1: 0.6375
Tarefa: collectionType | Estagio: 3rd | Fold: 7 | Hits@1: 0.7222222222222222
Tarefa: collectionType | Estagio: 4th | Fold: 7 | Hits@1: 0.7037037037037037
Tarefa: collectionType | Estagio: 1st | Fold: 8 | Hits@1: 0.6434782608695652
Tarefa: collectionType | Estagio: 2nd | Fold: 8 | Hits@1: 0.5925925925925926
Tarefa: collectionType | Estagio: 3rd | Fold: 8 | Hits@1: 0.6454545454545455
Tarefa: collectionType | Estagio: 4th | Fold: 8 | Hits@1: 0.6666666666666666
Tarefa: collectionType | Estagio: 1st | Fold: 9 | Hits@1: 0.6929824561403509
Tarefa: collectionType | Estagio: 2nd | Fold: 9 | Hits@1: 0.6875
Tarefa: collectionType | Estagio: 3rd | Fold: 9 | Hits@1: 0.6944444444444444
Tarefa: collectionType | Estagio: 4th | Fold: 9 | Hits@1: 0.6851851851851852
Tarefa: collectionSite | Estagio: 1st | Fold: 0 | Hits@20: 0.6120689655172413
Tarefa: collectionSite | Estagio: 2nd | Fold: 0 | Hits@20: 0.5925925925925926
Tarefa: collectionSite | Estagio: 3rd | Fold: 0 | Hits@20: 0.6545454545454545
Tarefa: collectionSite | Estagio: 4th | Fold: 0 | Hits@20: 0.6666666666666666
Tarefa: collectionSite | Estagio: 1st | Fold: 1 | Hits@20: 0.5956521739130435
Tarefa: collectionSite | Estagio: 2nd | Fold: 1 | Hits@20: 0.5864197530864198
Tarefa: collectionSite | Estagio: 3rd | Fold: 1 | Hits@20: 0.6181818181818182
Tarefa: collectionSite | Estagio: 4th | Fold: 1 | Hits@20: 0.6111111111111112
Tarefa: collectionSite | Estagio: 1st | Fold: 2 | Hits@20: 0.6120689655172413
Tarefa: collectionSite | Estagio: 2nd | Fold: 2 | Hits@20: 0.6172839506172839
Tarefa: collectionSite | Estagio: 3rd | Fold: 2 | Hits@20: 0.6909090909090909
Tarefa: collectionSite | Estagio: 4th | Fold: 2 | Hits@20: 0.7777777777777778
Tarefa: collectionSite | Estagio: 1st | Fold: 3 | Hits@20: 0.6403508771929824
Tarefa: collectionSite | Estagio: 2nd | Fold: 3 | Hits@20: 0.6625
Tarefa: collectionSite | Estagio: 3rd | Fold: 3 | Hits@20: 0.6851851851851852
Tarefa: collectionSite | Estagio: 4th | Fold: 3 | Hits@20: 0.6851851851851852
Tarefa: collectionSite | Estagio: 1st | Fold: 4 | Hits@20: 0.5929203539823009
Tarefa: collectionSite | Estagio: 2nd | Fold: 4 | Hits@20: 0.6265822784810127
Tarefa: collectionSite | Estagio: 3rd | Fold: 4 | Hits@20: 0.6388888888888888
Tarefa: collectionSite | Estagio: 4th | Fold: 4 | Hits@20: 0.6851851851851852
Tarefa: collectionSite | Estagio: 1st | Fold: 5 | Hits@20: 0.6173913043478261
Tarefa: collectionSite | Estagio: 2nd | Fold: 5 | Hits@20: 0.6481481481481481
Tarefa: collectionSite | Estagio: 3rd | Fold: 5 | Hits@20: 0.6636363636363637
Tarefa: collectionSite | Estagio: 4th | Fold: 5 | Hits@20: 0.6481481481481481
Tarefa: collectionSite | Estagio: 1st | Fold: 6 | Hits@20: 0.625
Tarefa: collectionSite | Estagio: 2nd | Fold: 6 | Hits@20: 0.6025641025641025
Tarefa: collectionSite | Estagio: 3rd | Fold: 6 | Hits@20: 0.5471698113207547
Tarefa: collectionSite | Estagio: 4th | Fold: 6 | Hits@20: 0.5740740740740741
Tarefa: collectionSite | Estagio: 1st | Fold: 7 | Hits@20: 0.5964912280701754
Tarefa: collectionSite | Estagio: 2nd | Fold: 7 | Hits@20: 0.625
Tarefa: collectionSite | Estagio: 3rd | Fold: 7 | Hits@20: 0.7037037037037037
Tarefa: collectionSite | Estagio: 4th | Fold: 7 | Hits@20: 0.6666666666666666
Tarefa: collectionSite | Estagio: 1st | Fold: 8 | Hits@20: 0.6052631578947368
Tarefa: collectionSite | Estagio: 2nd | Fold: 8 | Hits@20: 0.675
Tarefa: collectionSite | Estagio: 3rd | Fold: 8 | Hits@20: 0.6481481481481481
Tarefa: collectionSite | Estagio: 4th | Fold: 8 | Hits@20: 0.5925925925925926
Tarefa: collectionSite | Estagio: 1st | Fold: 9 | Hits@20: 0.6140350877192983
Tarefa: collectionSite | Estagio: 2nd | Fold: 9 | Hits@20: 0.64375
Tarefa: collectionSite | Estagio: 3rd | Fold: 9 | Hits@20: 0.5925925925925926
Tarefa: collectionSite | Estagio: 4th | Fold: 9 | Hits@20: 0.7037037037037037
Tarefa: bioActivity | Estagio: 1st | Fold: 0 | Hits@5: 0.7190666666666666
Tarefa: bioActivity | Estagio: 2nd | Fold: 0 | Hits@5: 0.7678160919540231
Tarefa: bioActivity | Estagio: 3rd | Fold: 0 | Hits@5: 0.7824858757062146
Tarefa: bioActivity | Estagio: 4th | Fold: 0 | Hits@5: 0.7643678160919539
Tarefa: bioActivity | Estagio: 1st | Fold: 1 | Hits@5: 0.7084045584045583
Tarefa: bioActivity | Estagio: 2nd | Fold: 1 | Hits@5: 0.7439024390243902
Tarefa: bioActivity | Estagio: 3rd | Fold: 1 | Hits@5: 0.7857142857142857
Tarefa: bioActivity | Estagio: 4th | Fold: 1 | Hits@5: 0.7499999999999999
Tarefa: bioActivity | Estagio: 1st | Fold: 2 | Hits@5: 0.6990277777777777
Tarefa: bioActivity | Estagio: 2nd | Fold: 2 | Hits@5: 0.7351190476190477
Tarefa: bioActivity | Estagio: 3rd | Fold: 2 | Hits@5: 0.7236842105263159
Tarefa: bioActivity | Estagio: 4th | Fold: 2 | Hits@5: 0.6839080459770115
Tarefa: bioActivity | Estagio: 1st | Fold: 3 | Hits@5: 0.732361111111111
Tarefa: bioActivity | Estagio: 2nd | Fold: 3 | Hits@5: 0.7380952380952381
Tarefa: bioActivity | Estagio: 3rd | Fold: 3 | Hits@5: 0.7456140350877193
Tarefa: bioActivity | Estagio: 4th | Fold: 3 | Hits@5: 0.7931034482758621
Tarefa: bioActivity | Estagio: 1st | Fold: 4 | Hits@5: 0.7367486338797814
Tarefa: bioActivity | Estagio: 2nd | Fold: 4 | Hits@5: 0.7529411764705882
Tarefa: bioActivity | Estagio: 3rd | Fold: 4 | Hits@5: 0.8275862068965517
Tarefa: bioActivity | Estagio: 4th | Fold: 4 | Hits@5: 0.8103448275862069
Tarefa: bioActivity | Estagio: 1st | Fold: 5 | Hits@5: 0.7104336043360433
Tarefa: bioActivity | Estagio: 2nd | Fold: 5 | Hits@5: 0.747093023255814
Tarefa: bioActivity | Estagio: 3rd | Fold: 5 | Hits@5: 0.7413793103448276
Tarefa: bioActivity | Estagio: 4th | Fold: 5 | Hits@5: 0.7586206896551724
Tarefa: bioActivity | Estagio: 1st | Fold: 6 | Hits@5: 0.7203551912568306
Tarefa: bioActivity | Estagio: 2nd | Fold: 6 | Hits@5: 0.6676470588235294
Tarefa: bioActivity | Estagio: 3rd | Fold: 6 | Hits@5: 0.7327586206896551
Tarefa: bioActivity | Estagio: 4th | Fold: 6 | Hits@5: 0.6954022988505746
Tarefa: bioActivity | Estagio: 1st | Fold: 7 | Hits@5: 0.7108757062146892
Tarefa: bioActivity | Estagio: 2nd | Fold: 7 | Hits@5: 0.7570281124497992
Tarefa: bioActivity | Estagio: 3rd | Fold: 7 | Hits@5: 0.7410714285714286
Tarefa: bioActivity | Estagio: 4th | Fold: 7 | Hits@5: 0.7321428571428571
Tarefa: bioActivity | Estagio: 1st | Fold: 8 | Hits@5: 0.705890804597701
Tarefa: bioActivity | Estagio: 2nd | Fold: 8 | Hits@5: 0.7181069958847737
Tarefa: bioActivity | Estagio: 3rd | Fold: 8 | Hits@5: 0.7454545454545455
Tarefa: bioActivity | Estagio: 4th | Fold: 8 | Hits@5: 0.7037037037037037
Tarefa: bioActivity | Estagio: 1st | Fold: 9 | Hits@5: 0.7320621468926553
Tarefa: bioActivity | Estagio: 2nd | Fold: 9 | Hits@5: 0.7224899598393575
Tarefa: bioActivity | Estagio: 3rd | Fold: 9 | Hits@5: 0.6928571428571428
Tarefa: bioActivity | Estagio: 4th | Fold: 9 | Hits@5: 0.6964285714285714
Tarefa: collectionSpecie | Estagio: 1st | Fold: 0 | Hits@50: 0.8850574712643677
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 0 | Hits@50: 0.9012345679012346
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 0 | Hits@50: 0.8909090909090909
Tarefa: collectionSpecie | Estagio: 4th | Fold: 0 | Hits@50: 0.8518518518518519
Tarefa: collectionSpecie | Estagio: 1st | Fold: 1 | Hits@50: 0.8988603988603988
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 1 | Hits@50: 0.8922764227642275
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 1 | Hits@50: 0.8958333333333333
Tarefa: collectionSpecie | Estagio: 4th | Fold: 1 | Hits@50: 0.8928571428571429
Tarefa: collectionSpecie | Estagio: 1st | Fold: 2 | Hits@50: 0.8732193732193732
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 2 | Hits@50: 0.904471544715447
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 2 | Hits@50: 0.9136904761904762
Tarefa: collectionSpecie | Estagio: 4th | Fold: 2 | Hits@50: 0.9464285714285714
Tarefa: collectionSpecie | Estagio: 1st | Fold: 3 | Hits@50: 0.9152298850574712
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 3 | Hits@50: 0.9382716049382716
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 3 | Hits@50: 0.9454545454545454
Tarefa: collectionSpecie | Estagio: 4th | Fold: 3 | Hits@50: 0.9629629629629629
Tarefa: collectionSpecie | Estagio: 1st | Fold: 4 | Hits@50: 0.8988603988603988
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 4 | Hits@50: 0.904471544715447
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 4 | Hits@50: 0.8779761904761905
Tarefa: collectionSpecie | Estagio: 4th | Fold: 4 | Hits@50: 0.8392857142857143
Tarefa: collectionSpecie | Estagio: 1st | Fold: 5 | Hits@50: 0.9225146198830408
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 5 | Hits@50: 0.90625
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 5 | Hits@50: 0.9351851851851852
Tarefa: collectionSpecie | Estagio: 4th | Fold: 5 | Hits@50: 0.9259259259259259
Tarefa: collectionSpecie | Estagio: 1st | Fold: 6 | Hits@50: 0.8786549707602338
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 6 | Hits@50: 0.8770833333333332
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 6 | Hits@50: 0.8734567901234568
Tarefa: collectionSpecie | Estagio: 4th | Fold: 6 | Hits@50: 0.8765432098765431
Tarefa: collectionSpecie | Estagio: 1st | Fold: 7 | Hits@50: 0.9081920903954801
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 7 | Hits@50: 0.8815261044176705
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 7 | Hits@50: 0.9017857142857143
Tarefa: collectionSpecie | Estagio: 4th | Fold: 7 | Hits@50: 0.875
Tarefa: collectionSpecie | Estagio: 1st | Fold: 8 | Hits@50: 0.9144927536231883
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 8 | Hits@50: 0.9032921810699587
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 8 | Hits@50: 0.8818181818181818
Tarefa: collectionSpecie | Estagio: 4th | Fold: 8 | Hits@50: 0.8333333333333334
Tarefa: collectionSpecie | Estagio: 1st | Fold: 9 | Hits@50: 0.8988603988603988
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 9 | Hits@50: 0.926829268292683
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 9 | Hits@50: 0.9107142857142857
Tarefa: collectionSpecie | Estagio: 4th | Fold: 9 | Hits@50: 0.8928571428571429
Tarefa: name | Estagio: 1st | Fold: 0 | Hits@50: 0.8571891213112587
Tarefa: name | Estagio: 2nd | Fold: 0 | Hits@50: 0.861352657004831
Tarefa: name | Estagio: 3rd | Fold: 0 | Hits@50: 0.8558201058201059
Tarefa: name | Estagio: 4th | Fold: 0 | Hits@50: 0.8763440860215053
