Tarefa: collectionType | Estagio: 1st | Fold: 0 | Hits@1: 0.7913043478260869
Tarefa: collectionType | Estagio: 2nd | Fold: 0 | Hits@1: 0.8209876543209876
Tarefa: collectionType | Estagio: 3rd | Fold: 0 | Hits@1: 0.7909090909090909
Tarefa: collectionType | Estagio: 4th | Fold: 0 | Hits@1: 0.7407407407407407
Tarefa: collectionType | Estagio: 1st | Fold: 1 | Hits@1: 0.7719298245614035
Tarefa: collectionType | Estagio: 2nd | Fold: 1 | Hits@1: 0.76875
Tarefa: collectionType | Estagio: 3rd | Fold: 1 | Hits@1: 0.75
Tarefa: collectionType | Estagio: 4th | Fold: 1 | Hits@1: 0.7407407407407407
Tarefa: collectionType | Estagio: 1st | Fold: 2 | Hits@1: 0.7719298245614035
Tarefa: collectionType | Estagio: 2nd | Fold: 2 | Hits@1: 0.75
Tarefa: collectionType | Estagio: 3rd | Fold: 2 | Hits@1: 0.7962962962962963
Tarefa: collectionType | Estagio: 4th | Fold: 2 | Hits@1: 0.7407407407407407
Tarefa: collectionType | Estagio: 1st | Fold: 3 | Hits@1: 0.7920353982300885
Tarefa: collectionType | Estagio: 2nd | Fold: 3 | Hits@1: 0.8037974683544303
Tarefa: collectionType | Estagio: 3rd | Fold: 3 | Hits@1: 0.8240740740740741
Tarefa: collectionType | Estagio: 4th | Fold: 3 | Hits@1: 0.7962962962962963
Tarefa: collectionType | Estagio: 1st | Fold: 4 | Hits@1: 0.7787610619469026
Tarefa: collectionType | Estagio: 2nd | Fold: 4 | Hits@1: 0.8037974683544303
Tarefa: collectionType | Estagio: 3rd | Fold: 4 | Hits@1: 0.8240740740740741
Tarefa: collectionType | Estagio: 4th | Fold: 4 | Hits@1: 0.8333333333333334
Tarefa: collectionType | Estagio: 1st | Fold: 5 | Hits@1: 0.7920353982300885
Tarefa: collectionType | Estagio: 2nd | Fold: 5 | Hits@1: 0.8037974683544303
Tarefa: collectionType | Estagio: 3rd | Fold: 5 | Hits@1: 0.7685185185185185
Tarefa: collectionType | Estagio: 4th | Fold: 5 | Hits@1: 0.8518518518518519
Tarefa: collectionType | Estagio: 1st | Fold: 6 | Hits@1: 0.7675438596491229
Tarefa: collectionType | Estagio: 2nd | Fold: 6 | Hits@1: 0.775
Tarefa: collectionType | Estagio: 3rd | Fold: 6 | Hits@1: 0.7962962962962963
Tarefa: collectionType | Estagio: 4th | Fold: 6 | Hits@1: 0.7777777777777778
Tarefa: collectionType | Estagio: 1st | Fold: 7 | Hits@1: 0.793859649122807
Tarefa: collectionType | Estagio: 2nd | Fold: 7 | Hits@1: 0.78125
Tarefa: collectionType | Estagio: 3rd | Fold: 7 | Hits@1: 0.7777777777777778
Tarefa: collectionType | Estagio: 4th | Fold: 7 | Hits@1: 0.8148148148148148
Tarefa: collectionType | Estagio: 1st | Fold: 8 | Hits@1: 0.7608695652173914
Tarefa: collectionType | Estagio: 2nd | Fold: 8 | Hits@1: 0.7222222222222222
Tarefa: collectionType | Estagio: 3rd | Fold: 8 | Hits@1: 0.7363636363636363
Tarefa: collectionType | Estagio: 4th | Fold: 8 | Hits@1: 0.7037037037037037
Tarefa: collectionType | Estagio: 1st | Fold: 9 | Hits@1: 0.7587719298245614
Tarefa: collectionType | Estagio: 2nd | Fold: 9 | Hits@1: 0.7625
Tarefa: collectionType | Estagio: 3rd | Fold: 9 | Hits@1: 0.8425925925925926
Tarefa: collectionType | Estagio: 4th | Fold: 9 | Hits@1: 0.8703703703703703
