Tarefa: collectionType | Estagio: 1st | Fold: 0 | Hits@1: 0.2956521739130435
Tarefa: collectionType | Estagio: 2nd | Fold: 0 | Hits@1: 0.30864197530864196
Tarefa: collectionType | Estagio: 3rd | Fold: 0 | Hits@1: 0.2909090909090909
Tarefa: collectionType | Estagio: 4th | Fold: 0 | Hits@1: 0.2222222222222222
Tarefa: collectionType | Estagio: 1st | Fold: 1 | Hits@1: 0.30701754385964913
Tarefa: collectionType | Estagio: 2nd | Fold: 1 | Hits@1: 0.3
Tarefa: collectionType | Estagio: 3rd | Fold: 1 | Hits@1: 0.2777777777777778
Tarefa: collectionType | Estagio: 4th | Fold: 1 | Hits@1: 0.2222222222222222
Tarefa: collectionType | Estagio: 1st | Fold: 2 | Hits@1: 0.2894736842105263
Tarefa: collectionType | Estagio: 2nd | Fold: 2 | Hits@1: 0.2875
Tarefa: collectionType | Estagio: 3rd | Fold: 2 | Hits@1: 0.3333333333333333
Tarefa: collectionType | Estagio: 4th | Fold: 2 | Hits@1: 0.37037037037037035
Tarefa: collectionType | Estagio: 1st | Fold: 3 | Hits@1: 0.3008849557522124
Tarefa: collectionType | Estagio: 2nd | Fold: 3 | Hits@1: 0.34177215189873417
Tarefa: collectionType | Estagio: 3rd | Fold: 3 | Hits@1: 0.35185185185185186
Tarefa: collectionType | Estagio: 4th | Fold: 3 | Hits@1: 0.37037037037037035
Tarefa: collectionType | Estagio: 1st | Fold: 4 | Hits@1: 0.3008849557522124
Tarefa: collectionType | Estagio: 2nd | Fold: 4 | Hits@1: 0.35443037974683544
Tarefa: collectionType | Estagio: 3rd | Fold: 4 | Hits@1: 0.3148148148148148
Tarefa: collectionType | Estagio: 4th | Fold: 4 | Hits@1: 0.3333333333333333
Tarefa: collectionType | Estagio: 1st | Fold: 5 | Hits@1: 0.3008849557522124
Tarefa: collectionType | Estagio: 2nd | Fold: 5 | Hits@1: 0.3291139240506329
Tarefa: collectionType | Estagio: 3rd | Fold: 5 | Hits@1: 0.35185185185185186
Tarefa: collectionType | Estagio: 4th | Fold: 5 | Hits@1: 0.3333333333333333
Tarefa: collectionType | Estagio: 1st | Fold: 6 | Hits@1: 0.2807017543859649
Tarefa: collectionType | Estagio: 2nd | Fold: 6 | Hits@1: 0.275
Tarefa: collectionType | Estagio: 3rd | Fold: 6 | Hits@1: 0.2777777777777778
Tarefa: collectionType | Estagio: 4th | Fold: 6 | Hits@1: 0.2962962962962963
Tarefa: collectionType | Estagio: 1st | Fold: 7 | Hits@1: 0.2894736842105263
Tarefa: collectionType | Estagio: 2nd | Fold: 7 | Hits@1: 0.2875
Tarefa: collectionType | Estagio: 3rd | Fold: 7 | Hits@1: 0.3148148148148148
Tarefa: collectionType | Estagio: 4th | Fold: 7 | Hits@1: 0.3333333333333333
Tarefa: collectionType | Estagio: 1st | Fold: 8 | Hits@1: 0.2608695652173913
Tarefa: collectionType | Estagio: 2nd | Fold: 8 | Hits@1: 0.2345679012345679
Tarefa: collectionType | Estagio: 3rd | Fold: 8 | Hits@1: 0.3090909090909091
Tarefa: collectionType | Estagio: 4th | Fold: 8 | Hits@1: 0.4444444444444444
Tarefa: collectionType | Estagio: 1st | Fold: 9 | Hits@1: 0.2894736842105263
Tarefa: collectionType | Estagio: 2nd | Fold: 9 | Hits@1: 0.2625
Tarefa: collectionType | Estagio: 3rd | Fold: 9 | Hits@1: 0.25925925925925924
