Tarefa: collectionType | Estagio: 1st | Fold: 0 | Hits@1: 0.49130434782608695
Tarefa: collectionType | Estagio: 2nd | Fold: 0 | Hits@1: 0.5246913580246914
Tarefa: collectionType | Estagio: 3rd | Fold: 0 | Hits@1: 0.5727272727272728
Tarefa: collectionType | Estagio: 4th | Fold: 0 | Hits@1: 0.6666666666666666
Tarefa: collectionType | Estagio: 1st | Fold: 1 | Hits@1: 0.5087719298245614
Tarefa: collectionType | Estagio: 2nd | Fold: 1 | Hits@1: 0.5125
Tarefa: collectionType | Estagio: 3rd | Fold: 1 | Hits@1: 0.5462962962962963
Tarefa: collectionType | Estagio: 4th | Fold: 1 | Hits@1: 0.5925925925925926
Tarefa: collectionType | Estagio: 1st | Fold: 2 | Hits@1: 0.4692982456140351
Tarefa: collectionType | Estagio: 2nd | Fold: 2 | Hits@1: 0.50625
Tarefa: collectionType | Estagio: 3rd | Fold: 2 | Hits@1: 0.5648148148148148
Tarefa: collectionType | Estagio: 4th | Fold: 2 | Hits@1: 0.7222222222222222
Tarefa: collectionType | Estagio: 1st | Fold: 3 | Hits@1: 0.5
Tarefa: collectionType | Estagio: 2nd | Fold: 3 | Hits@1: 0.4873417721518987
Tarefa: collectionType | Estagio: 3rd | Fold: 3 | Hits@1: 0.5277777777777778
Tarefa: collectionType | Estagio: 4th | Fold: 3 | Hits@1: 0.6111111111111112
Tarefa: collectionType | Estagio: 1st | Fold: 4 | Hits@1: 0.4646017699115044
Tarefa: collectionType | Estagio: 2nd | Fold: 4 | Hits@1: 0.43670886075949367
Tarefa: collectionType | Estagio: 3rd | Fold: 4 | Hits@1: 0.4166666666666667
Tarefa: collectionType | Estagio: 4th | Fold: 4 | Hits@1: 0.3888888888888889
Tarefa: collectionType | Estagio: 1st | Fold: 5 | Hits@1: 0.4690265486725664
Tarefa: collectionType | Estagio: 2nd | Fold: 5 | Hits@1: 0.5063291139240507
Tarefa: collectionType | Estagio: 3rd | Fold: 5 | Hits@1: 0.5185185185185185
Tarefa: collectionType | Estagio: 4th | Fold: 5 | Hits@1: 0.4444444444444444
Tarefa: collectionType | Estagio: 1st | Fold: 6 | Hits@1: 0.4473684210526316
Tarefa: collectionType | Estagio: 2nd | Fold: 6 | Hits@1: 0.475
Tarefa: collectionType | Estagio: 3rd | Fold: 6 | Hits@1: 0.4351851851851852
Tarefa: collectionType | Estagio: 4th | Fold: 6 | Hits@1: 0.4074074074074074
Tarefa: collectionType | Estagio: 1st | Fold: 7 | Hits@1: 0.45614035087719296
Tarefa: collectionType | Estagio: 2nd | Fold: 7 | Hits@1: 0.49375
Tarefa: collectionType | Estagio: 3rd | Fold: 7 | Hits@1: 0.5462962962962963
Tarefa: collectionType | Estagio: 4th | Fold: 7 | Hits@1: 0.4444444444444444
Tarefa: collectionType | Estagio: 1st | Fold: 8 | Hits@1: 0.4956521739130435
Tarefa: collectionType | Estagio: 2nd | Fold: 8 | Hits@1: 0.49382716049382713
Tarefa: collectionType | Estagio: 3rd | Fold: 8 | Hits@1: 0.5818181818181818
Tarefa: collectionType | Estagio: 4th | Fold: 8 | Hits@1: 0.6296296296296297
Tarefa: collectionType | Estagio: 1st | Fold: 9 | Hits@1: 0.543859649122807
Tarefa: collectionType | Estagio: 2nd | Fold: 9 | Hits@1: 0.50625
Tarefa: collectionType | Estagio: 3rd | Fold: 9 | Hits@1: 0.4722222222222222
Tarefa: collectionType | Estagio: 4th | Fold: 9 | Hits@1: 0.5
Tarefa: collectionSite | Estagio: 1st | Fold: 0 | Hits@20: 0.6120689655172413
Tarefa: collectionSite | Estagio: 2nd | Fold: 0 | Hits@20: 0.5740740740740741
Tarefa: collectionSite | Estagio: 3rd | Fold: 0 | Hits@20: 0.6272727272727273
Tarefa: collectionSite | Estagio: 4th | Fold: 0 | Hits@20: 0.6296296296296297
Tarefa: collectionSite | Estagio: 1st | Fold: 1 | Hits@20: 0.591304347826087
Tarefa: collectionSite | Estagio: 2nd | Fold: 1 | Hits@20: 0.5802469135802469
Tarefa: collectionSite | Estagio: 3rd | Fold: 1 | Hits@20: 0.5909090909090909
Tarefa: collectionSite | Estagio: 4th | Fold: 1 | Hits@20: 0.5925925925925926
Tarefa: collectionSite | Estagio: 1st | Fold: 2 | Hits@20: 0.603448275862069
Tarefa: collectionSite | Estagio: 2nd | Fold: 2 | Hits@20: 0.5864197530864198
Tarefa: collectionSite | Estagio: 3rd | Fold: 2 | Hits@20: 0.6636363636363637
Tarefa: collectionSite | Estagio: 4th | Fold: 2 | Hits@20: 0.7777777777777778
Tarefa: collectionSite | Estagio: 1st | Fold: 3 | Hits@20: 0.6491228070175439
Tarefa: collectionSite | Estagio: 2nd | Fold: 3 | Hits@20: 0.6625
Tarefa: collectionSite | Estagio: 3rd | Fold: 3 | Hits@20: 0.6944444444444444
Tarefa: collectionSite | Estagio: 4th | Fold: 3 | Hits@20: 0.6481481481481481
Tarefa: collectionSite | Estagio: 1st | Fold: 4 | Hits@20: 0.6106194690265486
Tarefa: collectionSite | Estagio: 2nd | Fold: 4 | Hits@20: 0.6265822784810127
Tarefa: collectionSite | Estagio: 3rd | Fold: 4 | Hits@20: 0.6203703703703703
Tarefa: collectionSite | Estagio: 4th | Fold: 4 | Hits@20: 0.6111111111111112
Tarefa: collectionSite | Estagio: 1st | Fold: 5 | Hits@20: 0.6086956521739131
Tarefa: collectionSite | Estagio: 2nd | Fold: 5 | Hits@20: 0.6358024691358025
Tarefa: collectionSite | Estagio: 3rd | Fold: 5 | Hits@20: 0.6636363636363637
Tarefa: collectionSite | Estagio: 4th | Fold: 5 | Hits@20: 0.6481481481481481
Tarefa: collectionSite | Estagio: 1st | Fold: 6 | Hits@20: 0.6339285714285714
Tarefa: collectionSite | Estagio: 2nd | Fold: 6 | Hits@20: 0.6217948717948718
Tarefa: collectionSite | Estagio: 3rd | Fold: 6 | Hits@20: 0.5566037735849056
Tarefa: collectionSite | Estagio: 4th | Fold: 6 | Hits@20: 0.6111111111111112
Tarefa: collectionSite | Estagio: 1st | Fold: 7 | Hits@20: 0.6052631578947368
Tarefa: collectionSite | Estagio: 2nd | Fold: 7 | Hits@20: 0.6125
Tarefa: collectionSite | Estagio: 3rd | Fold: 7 | Hits@20: 0.6759259259259259
Tarefa: collectionSite | Estagio: 4th | Fold: 7 | Hits@20: 0.6851851851851852
Tarefa: collectionSite | Estagio: 1st | Fold: 8 | Hits@20: 0.631578947368421
Tarefa: collectionSite | Estagio: 2nd | Fold: 8 | Hits@20: 0.71875
Tarefa: collectionSite | Estagio: 3rd | Fold: 8 | Hits@20: 0.6944444444444444
Tarefa: collectionSite | Estagio: 4th | Fold: 8 | Hits@20: 0.6851851851851852
Tarefa: collectionSite | Estagio: 1st | Fold: 9 | Hits@20: 0.6140350877192983
Tarefa: collectionSite | Estagio: 2nd | Fold: 9 | Hits@20: 0.64375
Tarefa: collectionSite | Estagio: 3rd | Fold: 9 | Hits@20: 0.6296296296296297
Tarefa: collectionSite | Estagio: 4th | Fold: 9 | Hits@20: 0.7037037037037037
Tarefa: bioActivity | Estagio: 1st | Fold: 0 | Hits@5: 0.7297333333333333
Tarefa: bioActivity | Estagio: 2nd | Fold: 0 | Hits@5: 0.7659003831417623
Tarefa: bioActivity | Estagio: 3rd | Fold: 0 | Hits@5: 0.7655367231638418
Tarefa: bioActivity | Estagio: 4th | Fold: 0 | Hits@5: 0.7471264367816091
Tarefa: bioActivity | Estagio: 1st | Fold: 1 | Hits@5: 0.7283475783475784
Tarefa: bioActivity | Estagio: 2nd | Fold: 1 | Hits@5: 0.7784552845528455
Tarefa: bioActivity | Estagio: 3rd | Fold: 1 | Hits@5: 0.7827380952380951
Tarefa: bioActivity | Estagio: 4th | Fold: 1 | Hits@5: 0.7619047619047619
Tarefa: bioActivity | Estagio: 1st | Fold: 2 | Hits@5: 0.7268055555555556
Tarefa: bioActivity | Estagio: 2nd | Fold: 2 | Hits@5: 0.7926587301587302
Tarefa: bioActivity | Estagio: 3rd | Fold: 2 | Hits@5: 0.7997076023391814
Tarefa: bioActivity | Estagio: 4th | Fold: 2 | Hits@5: 0.764367816091954
Tarefa: bioActivity | Estagio: 1st | Fold: 3 | Hits@5: 0.7351388888888889
Tarefa: bioActivity | Estagio: 2nd | Fold: 3 | Hits@5: 0.7242063492063492
Tarefa: bioActivity | Estagio: 3rd | Fold: 3 | Hits@5: 0.7456140350877193
Tarefa: bioActivity | Estagio: 4th | Fold: 3 | Hits@5: 0.7758620689655172
Tarefa: bioActivity | Estagio: 1st | Fold: 4 | Hits@5: 0.7476775956284153
Tarefa: bioActivity | Estagio: 2nd | Fold: 4 | Hits@5: 0.7588235294117647
Tarefa: bioActivity | Estagio: 3rd | Fold: 4 | Hits@5: 0.8103448275862069
Tarefa: bioActivity | Estagio: 4th | Fold: 4 | Hits@5: 0.7758620689655172
Tarefa: bioActivity | Estagio: 1st | Fold: 5 | Hits@5: 0.7294037940379404
Tarefa: bioActivity | Estagio: 2nd | Fold: 5 | Hits@5: 0.752906976744186
Tarefa: bioActivity | Estagio: 3rd | Fold: 5 | Hits@5: 0.75
Tarefa: bioActivity | Estagio: 4th | Fold: 5 | Hits@5: 0.7586206896551724
Tarefa: bioActivity | Estagio: 1st | Fold: 6 | Hits@5: 0.7476775956284153
Tarefa: bioActivity | Estagio: 2nd | Fold: 6 | Hits@5: 0.7303921568627451
Tarefa: bioActivity | Estagio: 3rd | Fold: 6 | Hits@5: 0.7643678160919539
