Tarefa: collectionType | Estagio: 1st | Fold: 0 | Hits@1: 0.7869565217391304
Tarefa: collectionType | Estagio: 2nd | Fold: 0 | Hits@1: 0.7839506172839507
Tarefa: collectionType | Estagio: 3rd | Fold: 0 | Hits@1: 0.7727272727272727
Tarefa: collectionType | Estagio: 4th | Fold: 0 | Hits@1: 0.9259259259259259
Tarefa: collectionType | Estagio: 1st | Fold: 1 | Hits@1: 0.7982456140350878
Tarefa: collectionType | Estagio: 2nd | Fold: 1 | Hits@1: 0.8
Tarefa: collectionType | Estagio: 3rd | Fold: 1 | Hits@1: 0.8055555555555556
Tarefa: collectionType | Estagio: 4th | Fold: 1 | Hits@1: 0.7777777777777778
Tarefa: collectionType | Estagio: 1st | Fold: 2 | Hits@1: 0.8070175438596491
Tarefa: collectionType | Estagio: 2nd | Fold: 2 | Hits@1: 0.81875
Tarefa: collectionType | Estagio: 3rd | Fold: 2 | Hits@1: 0.8425925925925926
Tarefa: collectionType | Estagio: 4th | Fold: 2 | Hits@1: 0.9074074074074074
Tarefa: collectionType | Estagio: 1st | Fold: 3 | Hits@1: 0.7787610619469026
Tarefa: collectionType | Estagio: 2nd | Fold: 3 | Hits@1: 0.7531645569620253
Tarefa: collectionType | Estagio: 3rd | Fold: 3 | Hits@1: 0.7129629629629629
Tarefa: collectionType | Estagio: 4th | Fold: 3 | Hits@1: 0.7962962962962963
Tarefa: collectionType | Estagio: 1st | Fold: 4 | Hits@1: 0.7876106194690266
Tarefa: collectionType | Estagio: 2nd | Fold: 4 | Hits@1: 0.8354430379746836
Tarefa: collectionType | Estagio: 3rd | Fold: 4 | Hits@1: 0.8333333333333334
Tarefa: collectionType | Estagio: 4th | Fold: 4 | Hits@1: 0.8518518518518519
Tarefa: collectionType | Estagio: 1st | Fold: 5 | Hits@1: 0.8097345132743363
Tarefa: collectionType | Estagio: 2nd | Fold: 5 | Hits@1: 0.8544303797468354
Tarefa: collectionType | Estagio: 3rd | Fold: 5 | Hits@1: 0.8425925925925926
Tarefa: collectionType | Estagio: 4th | Fold: 5 | Hits@1: 0.8518518518518519
Tarefa: collectionType | Estagio: 1st | Fold: 6 | Hits@1: 0.7850877192982456
Tarefa: collectionType | Estagio: 2nd | Fold: 6 | Hits@1: 0.81875
Tarefa: collectionType | Estagio: 3rd | Fold: 6 | Hits@1: 0.8055555555555556
Tarefa: collectionType | Estagio: 4th | Fold: 6 | Hits@1: 0.7777777777777778
Tarefa: collectionType | Estagio: 1st | Fold: 7 | Hits@1: 0.7850877192982456
Tarefa: collectionType | Estagio: 2nd | Fold: 7 | Hits@1: 0.775
Tarefa: collectionType | Estagio: 3rd | Fold: 7 | Hits@1: 0.8148148148148148
Tarefa: collectionType | Estagio: 4th | Fold: 7 | Hits@1: 0.8148148148148148
Tarefa: collectionType | Estagio: 1st | Fold: 8 | Hits@1: 0.8043478260869565
Tarefa: collectionType | Estagio: 2nd | Fold: 8 | Hits@1: 0.7962962962962963
Tarefa: collectionType | Estagio: 3rd | Fold: 8 | Hits@1: 0.8363636363636363
Tarefa: collectionType | Estagio: 4th | Fold: 8 | Hits@1: 0.8518518518518519
Tarefa: collectionType | Estagio: 1st | Fold: 9 | Hits@1: 0.793859649122807
Tarefa: collectionType | Estagio: 2nd | Fold: 9 | Hits@1: 0.7875
Tarefa: collectionType | Estagio: 3rd | Fold: 9 | Hits@1: 0.8333333333333334
Tarefa: collectionType | Estagio: 4th | Fold: 9 | Hits@1: 0.8888888888888888
Tarefa: collectionSite | Estagio: 1st | Fold: 0 | Hits@20: 0.5948275862068966
Tarefa: collectionSite | Estagio: 2nd | Fold: 0 | Hits@20: 0.5617283950617284
Tarefa: collectionSite | Estagio: 3rd | Fold: 0 | Hits@20: 0.5727272727272728
Tarefa: collectionSite | Estagio: 4th | Fold: 0 | Hits@20: 0.5555555555555556
Tarefa: collectionSite | Estagio: 1st | Fold: 1 | Hits@20: 0.5826086956521739
Tarefa: collectionSite | Estagio: 2nd | Fold: 1 | Hits@20: 0.6049382716049383
Tarefa: collectionSite | Estagio: 3rd | Fold: 1 | Hits@20: 0.6454545454545455
Tarefa: collectionSite | Estagio: 4th | Fold: 1 | Hits@20: 0.6296296296296297
Tarefa: collectionSite | Estagio: 1st | Fold: 2 | Hits@20: 0.5948275862068966
Tarefa: collectionSite | Estagio: 2nd | Fold: 2 | Hits@20: 0.5864197530864198
Tarefa: collectionSite | Estagio: 3rd | Fold: 2 | Hits@20: 0.6636363636363637
Tarefa: collectionSite | Estagio: 4th | Fold: 2 | Hits@20: 0.7777777777777778
Tarefa: collectionSite | Estagio: 1st | Fold: 3 | Hits@20: 0.631578947368421
Tarefa: collectionSite | Estagio: 2nd | Fold: 3 | Hits@20: 0.65
Tarefa: collectionSite | Estagio: 3rd | Fold: 3 | Hits@20: 0.6759259259259259
Tarefa: collectionSite | Estagio: 4th | Fold: 3 | Hits@20: 0.6481481481481481
Tarefa: collectionSite | Estagio: 1st | Fold: 4 | Hits@20: 0.6106194690265486
Tarefa: collectionSite | Estagio: 2nd | Fold: 4 | Hits@20: 0.6265822784810127
Tarefa: collectionSite | Estagio: 3rd | Fold: 4 | Hits@20: 0.6388888888888888
Tarefa: collectionSite | Estagio: 4th | Fold: 4 | Hits@20: 0.6481481481481481
Tarefa: collectionSite | Estagio: 1st | Fold: 5 | Hits@20: 0.591304347826087
Tarefa: collectionSite | Estagio: 2nd | Fold: 5 | Hits@20: 0.6234567901234568
Tarefa: collectionSite | Estagio: 3rd | Fold: 5 | Hits@20: 0.6636363636363637
Tarefa: collectionSite | Estagio: 4th | Fold: 5 | Hits@20: 0.6481481481481481
Tarefa: collectionSite | Estagio: 1st | Fold: 6 | Hits@20: 0.6160714285714286
Tarefa: collectionSite | Estagio: 2nd | Fold: 6 | Hits@20: 0.5961538461538461
Tarefa: collectionSite | Estagio: 3rd | Fold: 6 | Hits@20: 0.5566037735849056
Tarefa: collectionSite | Estagio: 4th | Fold: 6 | Hits@20: 0.6481481481481481
Tarefa: collectionSite | Estagio: 1st | Fold: 7 | Hits@20: 0.6140350877192983
Tarefa: collectionSite | Estagio: 2nd | Fold: 7 | Hits@20: 0.6375
Tarefa: collectionSite | Estagio: 3rd | Fold: 7 | Hits@20: 0.6574074074074074
Tarefa: collectionSite | Estagio: 4th | Fold: 7 | Hits@20: 0.6851851851851852
Tarefa: collectionSite | Estagio: 1st | Fold: 8 | Hits@20: 0.631578947368421
Tarefa: collectionSite | Estagio: 2nd | Fold: 8 | Hits@20: 0.69375
Tarefa: collectionSite | Estagio: 3rd | Fold: 8 | Hits@20: 0.6759259259259259
Tarefa: collectionSite | Estagio: 4th | Fold: 8 | Hits@20: 0.6851851851851852
Tarefa: collectionSite | Estagio: 1st | Fold: 9 | Hits@20: 0.5964912280701754
Tarefa: collectionSite | Estagio: 2nd | Fold: 9 | Hits@20: 0.61875
Tarefa: collectionSite | Estagio: 3rd | Fold: 9 | Hits@20: 0.6296296296296297
Tarefa: collectionSite | Estagio: 4th | Fold: 9 | Hits@20: 0.6296296296296297
Tarefa: bioActivity | Estagio: 1st | Fold: 0 | Hits@5: 0.7034666666666667
Tarefa: bioActivity | Estagio: 2nd | Fold: 0 | Hits@5: 0.7329501915708813
Tarefa: bioActivity | Estagio: 3rd | Fold: 0 | Hits@5: 0.711864406779661
Tarefa: bioActivity | Estagio: 4th | Fold: 0 | Hits@5: 0.7643678160919539
Tarefa: bioActivity | Estagio: 1st | Fold: 1 | Hits@5: 0.7002849002849003
Tarefa: bioActivity | Estagio: 2nd | Fold: 1 | Hits@5: 0.7296747967479674
Tarefa: bioActivity | Estagio: 3rd | Fold: 1 | Hits@5: 0.7827380952380951
Tarefa: bioActivity | Estagio: 4th | Fold: 1 | Hits@5: 0.7619047619047619
Tarefa: bioActivity | Estagio: 1st | Fold: 2 | Hits@5: 0.7161111111111111
Tarefa: bioActivity | Estagio: 2nd | Fold: 2 | Hits@5: 0.7638888888888887
Tarefa: bioActivity | Estagio: 3rd | Fold: 2 | Hits@5: 0.7777777777777778
Tarefa: bioActivity | Estagio: 4th | Fold: 2 | Hits@5: 0.7126436781609196
