Tarefa: collectionType | Estagio: 1st | Fold: 0 | Hits@1: 0.7478260869565218
Tarefa: collectionType | Estagio: 2nd | Fold: 0 | Hits@1: 0.7716049382716049
Tarefa: collectionType | Estagio: 3rd | Fold: 0 | Hits@1: 0.7727272727272727
Tarefa: collectionType | Estagio: 4th | Fold: 0 | Hits@1: 0.7407407407407407
Tarefa: collectionType | Estagio: 1st | Fold: 1 | Hits@1: 0.7280701754385965
Tarefa: collectionType | Estagio: 2nd | Fold: 1 | Hits@1: 0.68125
Tarefa: collectionType | Estagio: 3rd | Fold: 1 | Hits@1: 0.6574074074074074
Tarefa: collectionType | Estagio: 4th | Fold: 1 | Hits@1: 0.5555555555555556
Tarefa: collectionType | Estagio: 1st | Fold: 2 | Hits@1: 0.7105263157894737
Tarefa: collectionType | Estagio: 2nd | Fold: 2 | Hits@1: 0.75
Tarefa: collectionType | Estagio: 3rd | Fold: 2 | Hits@1: 0.7777777777777778
Tarefa: collectionType | Estagio: 4th | Fold: 2 | Hits@1: 0.7777777777777778
Tarefa: collectionType | Estagio: 1st | Fold: 3 | Hits@1: 0.7212389380530974
Tarefa: collectionType | Estagio: 2nd | Fold: 3 | Hits@1: 0.7278481012658228
Tarefa: collectionType | Estagio: 3rd | Fold: 3 | Hits@1: 0.7129629629629629
Tarefa: collectionType | Estagio: 4th | Fold: 3 | Hits@1: 0.7222222222222222
Tarefa: collectionType | Estagio: 1st | Fold: 4 | Hits@1: 0.7079646017699115
Tarefa: collectionType | Estagio: 2nd | Fold: 4 | Hits@1: 0.689873417721519
Tarefa: collectionType | Estagio: 3rd | Fold: 4 | Hits@1: 0.7129629629629629
Tarefa: collectionType | Estagio: 4th | Fold: 4 | Hits@1: 0.7222222222222222
Tarefa: collectionType | Estagio: 1st | Fold: 5 | Hits@1: 0.7389380530973452
Tarefa: collectionType | Estagio: 2nd | Fold: 5 | Hits@1: 0.7658227848101266
Tarefa: collectionType | Estagio: 3rd | Fold: 5 | Hits@1: 0.7314814814814815
Tarefa: collectionType | Estagio: 4th | Fold: 5 | Hits@1: 0.7777777777777778
Tarefa: collectionType | Estagio: 1st | Fold: 6 | Hits@1: 0.6973684210526315
Tarefa: collectionType | Estagio: 2nd | Fold: 6 | Hits@1: 0.7
Tarefa: collectionType | Estagio: 3rd | Fold: 6 | Hits@1: 0.7407407407407407
Tarefa: collectionType | Estagio: 4th | Fold: 6 | Hits@1: 0.7407407407407407
Tarefa: collectionType | Estagio: 1st | Fold: 7 | Hits@1: 0.7324561403508771
Tarefa: collectionType | Estagio: 2nd | Fold: 7 | Hits@1: 0.74375
Tarefa: collectionType | Estagio: 3rd | Fold: 7 | Hits@1: 0.7222222222222222
Tarefa: collectionType | Estagio: 4th | Fold: 7 | Hits@1: 0.8888888888888888
Tarefa: collectionType | Estagio: 1st | Fold: 8 | Hits@1: 0.7086956521739131
Tarefa: collectionType | Estagio: 2nd | Fold: 8 | Hits@1: 0.6851851851851852
Tarefa: collectionType | Estagio: 3rd | Fold: 8 | Hits@1: 0.7
Tarefa: collectionType | Estagio: 4th | Fold: 8 | Hits@1: 0.7407407407407407
Tarefa: collectionType | Estagio: 1st | Fold: 9 | Hits@1: 0.6710526315789473
Tarefa: collectionType | Estagio: 2nd | Fold: 9 | Hits@1: 0.6875
Tarefa: collectionType | Estagio: 3rd | Fold: 9 | Hits@1: 0.7870370370370371
Tarefa: collectionType | Estagio: 4th | Fold: 9 | Hits@1: 0.7962962962962963
Tarefa: collectionSite | Estagio: 1st | Fold: 0 | Hits@20: 0.2011494252873563
Tarefa: collectionSite | Estagio: 2nd | Fold: 0 | Hits@20: 0.15843621399176952
Tarefa: collectionSite | Estagio: 3rd | Fold: 0 | Hits@20: 0.19696969696969696
Tarefa: collectionSite | Estagio: 4th | Fold: 0 | Hits@20: 0.18518518518518517
Tarefa: collectionSite | Estagio: 1st | Fold: 1 | Hits@20: 0.2028985507246377
Tarefa: collectionSite | Estagio: 2nd | Fold: 1 | Hits@20: 0.2037037037037037
Tarefa: collectionSite | Estagio: 3rd | Fold: 1 | Hits@20: 0.22727272727272727
Tarefa: collectionSite | Estagio: 4th | Fold: 1 | Hits@20: 0.2777777777777778
Tarefa: collectionSite | Estagio: 1st | Fold: 2 | Hits@20: 0.2011494252873563
Tarefa: collectionSite | Estagio: 2nd | Fold: 2 | Hits@20: 0.1728395061728395
Tarefa: collectionSite | Estagio: 3rd | Fold: 2 | Hits@20: 0.18181818181818182
Tarefa: collectionSite | Estagio: 4th | Fold: 2 | Hits@20: 0.2962962962962963
Tarefa: collectionSite | Estagio: 1st | Fold: 3 | Hits@20: 0.24853801169590642
Tarefa: collectionSite | Estagio: 2nd | Fold: 3 | Hits@20: 0.29375
Tarefa: collectionSite | Estagio: 3rd | Fold: 3 | Hits@20: 0.2962962962962963
Tarefa: collectionSite | Estagio: 4th | Fold: 3 | Hits@20: 0.2962962962962963
Tarefa: collectionSite | Estagio: 1st | Fold: 4 | Hits@20: 0.1710914454277286
