Tarefa: collectionType | Estagio: 1st | Fold: 0 | Hits@1: 0.717391304347826
Tarefa: collectionType | Estagio: 2nd | Fold: 0 | Hits@1: 0.7222222222222222
Tarefa: collectionType | Estagio: 3rd | Fold: 0 | Hits@1: 0.7363636363636363
Tarefa: collectionType | Estagio: 4th | Fold: 0 | Hits@1: 0.6666666666666666
Tarefa: collectionType | Estagio: 1st | Fold: 1 | Hits@1: 0.7149122807017544
Tarefa: collectionType | Estagio: 2nd | Fold: 1 | Hits@1: 0.6625
Tarefa: collectionType | Estagio: 3rd | Fold: 1 | Hits@1: 0.6203703703703703
Tarefa: collectionType | Estagio: 4th | Fold: 1 | Hits@1: 0.6666666666666666
Tarefa: collectionType | Estagio: 1st | Fold: 2 | Hits@1: 0.7017543859649122
Tarefa: collectionType | Estagio: 2nd | Fold: 2 | Hits@1: 0.70625
Tarefa: collectionType | Estagio: 3rd | Fold: 2 | Hits@1: 0.7685185185185185
Tarefa: collectionType | Estagio: 4th | Fold: 2 | Hits@1: 0.7222222222222222
Tarefa: collectionType | Estagio: 1st | Fold: 3 | Hits@1: 0.6902654867256637
Tarefa: collectionType | Estagio: 2nd | Fold: 3 | Hits@1: 0.6518987341772152
Tarefa: collectionType | Estagio: 3rd | Fold: 3 | Hits@1: 0.6759259259259259
Tarefa: collectionType | Estagio: 4th | Fold: 3 | Hits@1: 0.7592592592592593
Tarefa: collectionType | Estagio: 1st | Fold: 4 | Hits@1: 0.7079646017699115
Tarefa: collectionType | Estagio: 2nd | Fold: 4 | Hits@1: 0.6835443037974683
Tarefa: collectionType | Estagio: 3rd | Fold: 4 | Hits@1: 0.6851851851851852
Tarefa: collectionType | Estagio: 4th | Fold: 4 | Hits@1: 0.5925925925925926
Tarefa: collectionType | Estagio: 1st | Fold: 5 | Hits@1: 0.7035398230088495
Tarefa: collectionType | Estagio: 2nd | Fold: 5 | Hits@1: 0.7088607594936709
Tarefa: collectionType | Estagio: 3rd | Fold: 5 | Hits@1: 0.6666666666666666
Tarefa: collectionType | Estagio: 4th | Fold: 5 | Hits@1: 0.7777777777777778
Tarefa: collectionType | Estagio: 1st | Fold: 6 | Hits@1: 0.6798245614035088
Tarefa: collectionType | Estagio: 2nd | Fold: 6 | Hits@1: 0.6625
Tarefa: collectionType | Estagio: 3rd | Fold: 6 | Hits@1: 0.6574074074074074
Tarefa: collectionType | Estagio: 4th | Fold: 6 | Hits@1: 0.6666666666666666
Tarefa: collectionType | Estagio: 1st | Fold: 7 | Hits@1: 0.7236842105263158
Tarefa: collectionType | Estagio: 2nd | Fold: 7 | Hits@1: 0.675
Tarefa: collectionType | Estagio: 3rd | Fold: 7 | Hits@1: 0.6944444444444444
Tarefa: collectionType | Estagio: 4th | Fold: 7 | Hits@1: 0.7777777777777778
Tarefa: collectionType | Estagio: 1st | Fold: 8 | Hits@1: 0.7086956521739131
Tarefa: collectionType | Estagio: 2nd | Fold: 8 | Hits@1: 0.6728395061728395
Tarefa: collectionType | Estagio: 3rd | Fold: 8 | Hits@1: 0.7363636363636363
Tarefa: collectionType | Estagio: 4th | Fold: 8 | Hits@1: 0.7777777777777778
Tarefa: collectionType | Estagio: 1st | Fold: 9 | Hits@1: 0.6973684210526315
Tarefa: collectionType | Estagio: 2nd | Fold: 9 | Hits@1: 0.725
Tarefa: collectionType | Estagio: 3rd | Fold: 9 | Hits@1: 0.7777777777777778
Tarefa: collectionType | Estagio: 4th | Fold: 9 | Hits@1: 0.8148148148148148
Tarefa: collectionSite | Estagio: 1st | Fold: 0 | Hits@20: 0.264367816091954
Tarefa: collectionSite | Estagio: 2nd | Fold: 0 | Hits@20: 0.23045267489711932
Tarefa: collectionSite | Estagio: 3rd | Fold: 0 | Hits@20: 0.2121212121212121
Tarefa: collectionSite | Estagio: 4th | Fold: 0 | Hits@20: 0.25925925925925924
Tarefa: collectionSite | Estagio: 1st | Fold: 1 | Hits@20: 0.24927536231884057
Tarefa: collectionSite | Estagio: 2nd | Fold: 1 | Hits@20: 0.21604938271604937
Tarefa: collectionSite | Estagio: 3rd | Fold: 1 | Hits@20: 0.23636363636363636
Tarefa: collectionSite | Estagio: 4th | Fold: 1 | Hits@20: 0.2037037037037037
Tarefa: collectionSite | Estagio: 1st | Fold: 2 | Hits@20: 0.2557471264367816
Tarefa: collectionSite | Estagio: 2nd | Fold: 2 | Hits@20: 0.22839506172839505
Tarefa: collectionSite | Estagio: 3rd | Fold: 2 | Hits@20: 0.20909090909090908
Tarefa: collectionSite | Estagio: 4th | Fold: 2 | Hits@20: 0.2962962962962963
Tarefa: collectionSite | Estagio: 1st | Fold: 3 | Hits@20: 0.26900584795321636
Tarefa: collectionSite | Estagio: 2nd | Fold: 3 | Hits@20: 0.30625
Tarefa: collectionSite | Estagio: 3rd | Fold: 3 | Hits@20: 0.32407407407407407
Tarefa: collectionSite | Estagio: 4th | Fold: 3 | Hits@20: 0.42592592592592593
Tarefa: collectionSite | Estagio: 1st | Fold: 4 | Hits@20: 0.26253687315634217
Tarefa: collectionSite | Estagio: 2nd | Fold: 4 | Hits@20: 0.26160337552742613
