Tarefa: collectionType | Estagio: 1st | Fold: 0 | Hits@1: 0.7739130434782608
Tarefa: collectionType | Estagio: 2nd | Fold: 0 | Hits@1: 0.7901234567901234
Tarefa: collectionType | Estagio: 3rd | Fold: 0 | Hits@1: 0.7727272727272727
Tarefa: collectionType | Estagio: 4th | Fold: 0 | Hits@1: 0.7777777777777778
Tarefa: collectionType | Estagio: 1st | Fold: 1 | Hits@1: 0.7587719298245614
Tarefa: collectionType | Estagio: 2nd | Fold: 1 | Hits@1: 0.7125
Tarefa: collectionType | Estagio: 3rd | Fold: 1 | Hits@1: 0.7129629629629629
Tarefa: collectionType | Estagio: 4th | Fold: 1 | Hits@1: 0.6296296296296297
Tarefa: collectionType | Estagio: 1st | Fold: 2 | Hits@1: 0.7456140350877193
Tarefa: collectionType | Estagio: 2nd | Fold: 2 | Hits@1: 0.74375
Tarefa: collectionType | Estagio: 3rd | Fold: 2 | Hits@1: 0.8240740740740741
Tarefa: collectionType | Estagio: 4th | Fold: 2 | Hits@1: 0.7962962962962963
Tarefa: collectionType | Estagio: 1st | Fold: 3 | Hits@1: 0.7610619469026548
Tarefa: collectionType | Estagio: 2nd | Fold: 3 | Hits@1: 0.759493670886076
Tarefa: collectionType | Estagio: 3rd | Fold: 3 | Hits@1: 0.7407407407407407
Tarefa: collectionType | Estagio: 4th | Fold: 3 | Hits@1: 0.7592592592592593
Tarefa: collectionType | Estagio: 1st | Fold: 4 | Hits@1: 0.7610619469026548
Tarefa: collectionType | Estagio: 2nd | Fold: 4 | Hits@1: 0.7721518987341772
Tarefa: collectionType | Estagio: 3rd | Fold: 4 | Hits@1: 0.7962962962962963
Tarefa: collectionType | Estagio: 4th | Fold: 4 | Hits@1: 0.8148148148148148
Tarefa: collectionType | Estagio: 1st | Fold: 5 | Hits@1: 0.7920353982300885
Tarefa: collectionType | Estagio: 2nd | Fold: 5 | Hits@1: 0.7974683544303798
Tarefa: collectionType | Estagio: 3rd | Fold: 5 | Hits@1: 0.7407407407407407
Tarefa: collectionType | Estagio: 4th | Fold: 5 | Hits@1: 0.8518518518518519
Tarefa: collectionType | Estagio: 1st | Fold: 6 | Hits@1: 0.75
Tarefa: collectionType | Estagio: 2nd | Fold: 6 | Hits@1: 0.75
Tarefa: collectionType | Estagio: 3rd | Fold: 6 | Hits@1: 0.7870370370370371
Tarefa: collectionType | Estagio: 4th | Fold: 6 | Hits@1: 0.7407407407407407
Tarefa: collectionType | Estagio: 1st | Fold: 7 | Hits@1: 0.793859649122807
Tarefa: collectionType | Estagio: 2nd | Fold: 7 | Hits@1: 0.7625
Tarefa: collectionType | Estagio: 3rd | Fold: 7 | Hits@1: 0.7962962962962963
Tarefa: collectionType | Estagio: 4th | Fold: 7 | Hits@1: 0.8888888888888888
Tarefa: collectionType | Estagio: 1st | Fold: 8 | Hits@1: 0.7608695652173914
Tarefa: collectionType | Estagio: 2nd | Fold: 8 | Hits@1: 0.7222222222222222
Tarefa: collectionType | Estagio: 3rd | Fold: 8 | Hits@1: 0.7272727272727273
Tarefa: collectionType | Estagio: 4th | Fold: 8 | Hits@1: 0.6666666666666666
Tarefa: collectionType | Estagio: 1st | Fold: 9 | Hits@1: 0.7324561403508771
Tarefa: collectionType | Estagio: 2nd | Fold: 9 | Hits@1: 0.75625
Tarefa: collectionType | Estagio: 3rd | Fold: 9 | Hits@1: 0.8240740740740741
Tarefa: collectionType | Estagio: 4th | Fold: 9 | Hits@1: 0.8703703703703703
Tarefa: collectionSite | Estagio: 1st | Fold: 0 | Hits@20: 0.28160919540229884
Tarefa: collectionSite | Estagio: 2nd | Fold: 0 | Hits@20: 0.23045267489711932
Tarefa: collectionSite | Estagio: 3rd | Fold: 0 | Hits@20: 0.2121212121212121
Tarefa: collectionSite | Estagio: 4th | Fold: 0 | Hits@20: 0.3333333333333333
Tarefa: collectionSite | Estagio: 1st | Fold: 1 | Hits@20: 0.28405797101449276
Tarefa: collectionSite | Estagio: 2nd | Fold: 1 | Hits@20: 0.2654320987654321
Tarefa: collectionSite | Estagio: 3rd | Fold: 1 | Hits@20: 0.2727272727272727
Tarefa: collectionSite | Estagio: 4th | Fold: 1 | Hits@20: 0.35185185185185186
Tarefa: collectionSite | Estagio: 1st | Fold: 2 | Hits@20: 0.29022988505747127
Tarefa: collectionSite | Estagio: 2nd | Fold: 2 | Hits@20: 0.2777777777777778
Tarefa: collectionSite | Estagio: 3rd | Fold: 2 | Hits@20: 0.2818181818181818
Tarefa: collectionSite | Estagio: 4th | Fold: 2 | Hits@20: 0.4074074074074074
Tarefa: collectionSite | Estagio: 1st | Fold: 3 | Hits@20: 0.31286549707602335
Tarefa: collectionSite | Estagio: 2nd | Fold: 3 | Hits@20: 0.35625
Tarefa: collectionSite | Estagio: 3rd | Fold: 3 | Hits@20: 0.39814814814814814
Tarefa: collectionSite | Estagio: 4th | Fold: 3 | Hits@20: 0.5
Tarefa: collectionSite | Estagio: 1st | Fold: 4 | Hits@20: 0.29793510324483774
Tarefa: collectionSite | Estagio: 2nd | Fold: 4 | Hits@20: 0.3122362869198312
Tarefa: collectionSite | Estagio: 3rd | Fold: 4 | Hits@20: 0.28086419753086417
Tarefa: collectionSite | Estagio: 4th | Fold: 4 | Hits@20: 0.3148148148148148
Tarefa: collectionSite | Estagio: 1st | Fold: 5 | Hits@20: 0.29275362318840575
Tarefa: collectionSite | Estagio: 2nd | Fold: 5 | Hits@20: 0.3353909465020576
Tarefa: collectionSite | Estagio: 3rd | Fold: 5 | Hits@20: 0.35454545454545455
Tarefa: collectionSite | Estagio: 4th | Fold: 5 | Hits@20: 0.35185185185185186
Tarefa: collectionSite | Estagio: 1st | Fold: 6 | Hits@20: 0.29166666666666663
Tarefa: collectionSite | Estagio: 2nd | Fold: 6 | Hits@20: 0.25213675213675213
Tarefa: collectionSite | Estagio: 3rd | Fold: 6 | Hits@20: 0.2358490566037736
Tarefa: collectionSite | Estagio: 4th | Fold: 6 | Hits@20: 0.2777777777777778
Tarefa: collectionSite | Estagio: 1st | Fold: 7 | Hits@20: 0.3216374269005848
Tarefa: collectionSite | Estagio: 2nd | Fold: 7 | Hits@20: 0.3083333333333333
Tarefa: collectionSite | Estagio: 3rd | Fold: 7 | Hits@20: 0.3641975308641975
Tarefa: collectionSite | Estagio: 4th | Fold: 7 | Hits@20: 0.35802469135802467
Tarefa: collectionSite | Estagio: 1st | Fold: 8 | Hits@20: 0.33040935672514615
Tarefa: collectionSite | Estagio: 2nd | Fold: 8 | Hits@20: 0.35625
Tarefa: collectionSite | Estagio: 3rd | Fold: 8 | Hits@20: 0.3888888888888889
Tarefa: collectionSite | Estagio: 4th | Fold: 8 | Hits@20: 0.48148148148148145
Tarefa: collectionSite | Estagio: 1st | Fold: 9 | Hits@20: 0.31286549707602335
Tarefa: collectionSite | Estagio: 2nd | Fold: 9 | Hits@20: 0.3395833333333333
Tarefa: collectionSite | Estagio: 3rd | Fold: 9 | Hits@20: 0.3148148148148148
Tarefa: collectionSite | Estagio: 4th | Fold: 9 | Hits@20: 0.37037037037037035
Tarefa: bioActivity | Estagio: 1st | Fold: 0 | Hits@5: 0.7058666666666665
Tarefa: bioActivity | Estagio: 2nd | Fold: 0 | Hits@5: 0.724904214559387
Tarefa: bioActivity | Estagio: 3rd | Fold: 0 | Hits@5: 0.6949152542372882
Tarefa: bioActivity | Estagio: 4th | Fold: 0 | Hits@5: 0.7471264367816091
Tarefa: bioActivity | Estagio: 1st | Fold: 1 | Hits@5: 0.6857549857549857
Tarefa: bioActivity | Estagio: 2nd | Fold: 1 | Hits@5: 0.7052845528455284
Tarefa: bioActivity | Estagio: 3rd | Fold: 1 | Hits@5: 0.7827380952380951
Tarefa: bioActivity | Estagio: 4th | Fold: 1 | Hits@5: 0.7619047619047619
Tarefa: bioActivity | Estagio: 1st | Fold: 2 | Hits@5: 0.7144444444444444
Tarefa: bioActivity | Estagio: 2nd | Fold: 2 | Hits@5: 0.746031746031746
Tarefa: bioActivity | Estagio: 3rd | Fold: 2 | Hits@5: 0.7514619883040936
