true,restored,edge_type
"['10.1002/jobm.200800093', 'Cytotoxic']","['10.1002/jobm.200800093', ['Weak cytotoxic activity against tumor cell lines', 'Moderate cytotoxic activity against tumor cell lines when combined with Compound 5', 'Weak cytotoxic activity, potential synergy with Compound 4', 'Remarkable cytotoxic activity against tumor cell lines', 'Not mentioned', 'Cytotoxic activity not mentioned']]",doi_bioActivity
"['10.1007/s10295-012-1165-2', 'Cytotoxic']","['10.1007/s10295-012-1165-2', ['Cytotoxic; anti-inflammatory; antifeedant activities.', 'Cytotoxic; similar activity against HL-60 cells as Tagitinin C.']]",doi_bioActivity
"['10.1016/0031-9422(90)80024-B', 'Molluscicidal']","['10.1016/0031-9422(90)80024-B', ['Inhibition of lettuce root and shoot growth at 500 ppm concentration. No molluscicidal activity.', 'Inhibition of lettuce root and shoot growth at 500 ppm concentration; Molluscicidal activity at 20 ppm against Biomphalaria glabrata.', 'Inhibition of lettuce root and shoot growth at 500 ppm concentration; Molluscicidal activity at 10 ppm against Biomphalaria glabrata.', 'Inhibition of lettuce root and shoot growth at 500 ppm concentration; Molluscicidal activity at 5 ppm against Biomphalaria glabrata.']]",doi_bioActivity
"['10.1016/S0031-9422(00)00323-X', 'Antifungal']","['10.1016/S0031-9422(00)00323-X', ['Antifungal activity against Leucoagaricus gongilophorus', 'Antifungal activity against Leucoagaricus gongilophorus', 'Antifungal activity against Leucoagaricus gongilophorus, more active than sesamin', 'Antifungal activity against Leucoagaricus gongilophorus, more active than sesamin']]",doi_bioActivity
"['10.1016/S0031-9422(97)00598-0', 'Antitrypanosomal']","['10.1016/S0031-9422(97)00598-0', []]",doi_bioActivity
"['10.1016/S0031-9422(98)00069-7', 'Inhibition of Glycosidase']","['10.1016/S0031-9422(98)00069-7', []]",doi_bioActivity
"['10.1016/j.jphotobiol.2013.01.006', 'Inhibition of phosphorylating electron transport']","['10.1016/j.jphotobiol.2013.01.006', ['Inhibition of ATP synthesis and electron transport in spinach chloroplasts. Interaction site at the acceptor and donor side of PS II.', 'Inhibition of ATP synthesis and electron transport in spinach chloroplasts. Interaction site at the acceptor side of PS II.', 'Not active in inhibiting ATP synthesis and electron transport in spinach chloroplasts.', 'Inhibition of ATP synthesis and electron transport in spinach chloroplasts. Interaction site at the acceptor side of PS II.', 'Inhibition of ATP synthesis and electron transport in spinach chloroplasts. Interaction site at the acceptor side of PS II.']]",doi_bioActivity
"['10.1016/j.jphotobiol.2013.01.006', 'Inhibition of uncoupled electron transport']","['10.1016/j.jphotobiol.2013.01.006', ['Inhibition of ATP synthesis and electron transport in spinach chloroplasts. Interaction site at the acceptor and donor side of PS II.', 'Inhibition of ATP synthesis and electron transport in spinach chloroplasts. Interaction site at the acceptor side of PS II.', 'Not active in inhibiting ATP synthesis and electron transport in spinach chloroplasts.', 'Inhibition of ATP synthesis and electron transport in spinach chloroplasts. Interaction site at the acceptor side of PS II.', 'Inhibition of ATP synthesis and electron transport in spinach chloroplasts. Interaction site at the acceptor side of PS II.']]",doi_bioActivity
"['10.1016/j.phytochem.2005.06.019', 'Antioxidant']","['10.1016/j.phytochem.2005.06.019', ['Inactive in DPPH free radical scavenging activity', 'Weak free radical scavenging activity towards DPPH', 'Strong antioxidant activity, comparable with that of caffeic acid', 'Strong antioxidant activity, comparable with that of caffeic acid', 'Weak free radical scavenging activities towards DPPH']]",doi_bioActivity
"['10.1021/np030530j', 'Antifungal']","['10.1021/np030530j', ['Antifungal activity against Cladosporium cladosporioides and C. sphaerospermum with high potential as antifungal compounds', 'Antifungal activity against Cladosporium cladosporioides and C. sphaerospermum', 'Antifungal activity against Cladosporium cladosporioides and C. sphaerospermum', 'Antifungal activity against Cladosporium cladosporioides and C. sphaerospermum']]",doi_bioActivity
