"true","restored","edge_type"
"['10.1002/cbdv.200590016', 'Sao Carlos/SP']","['10.1002/cbdv.200590016', []]","doi_collectionSite"
"['10.1002/ps.478', 'Rio Claro/SP']","['10.1002/ps.478', ['Rio Claro ,SP']]","doi_collectionSite"
"['10.1007/s10295-012-1165-2', 'N/A/MS']","['10.1007/s10295-012-1165-2', ['Ribeirao Preto ,SP', 'Mato Grosso ,PB']]","doi_collectionSite"
"['10.1016/0031-9422(81)80027-1', 'Rio De Janeiro/RJ']","['10.1016/0031-9422(81)80027-1', ['Rio De Janeiro ,RJ']]","doi_collectionSite"
"['10.1016/0040-4020(95)00254-6', 'Sao Paulo/SP']","['10.1016/0040-4020(95)00254-6', ['Sao Paulo ,SP']]","doi_collectionSite"
"['10.1016/S0031-9422(00)00248-X', 'N/A/ES']","['10.1016/S0031-9422(00)00248-X', ['Espirito Santo ,RN']]","doi_collectionSite"
"['10.1016/S0031-9422(00)00323-X', 'Ibirama/SC']","['10.1016/S0031-9422(00)00323-X', ['Costa Rica ,MS']]","doi_collectionSite"
"['10.1016/S0031-9422(97)00238-0', 'Mogi Guacu/SP']","['10.1016/S0031-9422(97)00238-0', ['Mogi Guacu ,SP']]","doi_collectionSite"
"['10.1016/j.bmc.2010.12.056', 'Campinas/SP']","['10.1016/j.bmc.2010.12.056', []]","doi_collectionSite"
"['10.1016/j.bse.2006.06.007', 'N/A/SP']","['10.1016/j.bse.2006.06.007', ['Araraquara ,SP']]","doi_collectionSite"
"['10.1016/j.cbi.2010.08.008', 'Sao Miguel Arcanjo/SP']","['10.1016/j.cbi.2010.08.008', ['Sao Miguel Arcanjo ,SP']]","doi_collectionSite"
"['10.1016/j.chroma.2009.02.009', 'Itacoatiara/AM']","['10.1016/j.chroma.2009.02.009', ['Floresta Do Araguaia ,PA']]","doi_collectionSite"
"['10.1016/j.jep.2007.09.020', 'Pocos De Caldas/MG']","['10.1016/j.jep.2007.09.020', ['Pocos De Caldas ,MG']]","doi_collectionSite"
"['10.1016/j.jphotobiol.2013.01.006', 'Sao Paulo/SP']","['10.1016/j.jphotobiol.2013.01.006', ['Brasilandia Do Sul ,PR']]","doi_collectionSite"
"['10.1016/j.phytochem.2005.04.043', 'Araraquara/SP']","['10.1016/j.phytochem.2005.04.043', ['Carmo Do Cajuru ,MG']]","doi_collectionSite"
"['10.1016/j.phytochem.2006.09.005', 'Araraquara/SP']","['10.1016/j.phytochem.2006.09.005', ['Guaracai ,SP']]","doi_collectionSite"
"['10.1016/j.phytochem.2009.08.013', 'Sao Sebastiao Do Passe/BA']","['10.1016/j.phytochem.2009.08.013', ['Sao Sebastiao Do Passe ,BA']]","doi_collectionSite"
"['10.1021/jf00030a035', 'N/A/CE']","['10.1021/jf00030a035', ['Sao Carlos ,SP']]","doi_collectionSite"
"['10.1021/jf063451x', 'Belem/PA']","['10.1021/jf063451x', ['Reserva Do Cabacal ,MT']]","doi_collectionSite"
"['10.1021/np030100t', 'Mogi Guacu/SP']","['10.1021/np030100t', ['Campestre ,MG']]","doi_collectionSite"
"['10.1021/np060254j', 'Rifaina/SP']","['10.1021/np060254j', ['Rifaina ,SP']]","doi_collectionSite"
"['10.1021/np070312g', 'Araraquara/SP']","['10.1021/np070312g', ['Araraquara ,SP']]","doi_collectionSite"
"['10.1021/np1007476', 'Belem/PA']","['10.1021/np1007476', ['Bela Vista Do Paraiso ,PR']]","doi_collectionSite"
"['10.1021/np500453x', 'Campinas/SP']","['10.1021/np500453x', ['Campinas ,SP']]","doi_collectionSite"
"['10.1021/np50086a012', 'N/A/MG']","['10.1021/np50086a012', ['Brasilandia De Minas ,MG']]","doi_collectionSite"
"['10.1021/np800612x', 'Sao Paulo/SP']","['10.1021/np800612x', ['Jardinopolis ,SP']]","doi_collectionSite"
"['10.1021/np9004079', 'Campinas/SP']","['10.1021/np9004079', ['Campinas ,SP']]","doi_collectionSite"
"['10.1021/np9703656', 'Teodoro Sampaio/SP']","['10.1021/np9703656', ['Teodoro Sampaio ,SP']]","doi_collectionSite"
"['10.1055/s-0028-1088323', 'Sao Carlos/SP']","['10.1055/s-0028-1088323', ['Sao Carlos ,SP']]","doi_collectionSite"
"['10.1055/s-0029-1185364', 'Pocos De Caldas/MG']","['10.1055/s-0029-1185364', ['Pocos De Caldas ,MG']]","doi_collectionSite"
"['10.1055/s-2002-36346', 'Recife/PE']","['10.1055/s-2002-36346', ['Araraquara ,SP']]","doi_collectionSite"
"['10.1080/14786410412331271979', 'Mogi Guacu/SP']","['10.1080/14786410412331271979', ['Campestre ,MG']]","doi_collectionSite"
"['10.1107/S1600536803019913', 'Manaus/AM']","['10.1107/S1600536803019913', ['Manaus ,AM']]","doi_collectionSite"
"['10.1248/cpb.56.407', 'Araraquara/SP']","['10.1248/cpb.56.407', ['Brasilandia Do Sul ,PR']]","doi_collectionSite"
