true,restored,edge_type
"['10.1002/hlca.200890147', 'Alibertia edulis (Rubiaceae)']","['10.1002/hlca.200890147', ['Alibertia edulis (Rubiaceae)', 'Alibertia edulis (Rubiaceae)', 'Alibertia edulis (Rubiaceae)', 'Alibertia edulis (Rubiaceae)', 'Alibertia edulis (Rubiaceae)']]",doi_collectionSpecie
"['10.1016/S0031-9422(00)00248-X', 'Neoraputia magnifica (Rutaceae)']","['10.1016/S0031-9422(00)00248-X', ['Neoraputia magnifica', 'Neoraputia magniﬁca var. magniﬁca', 'Neoraputia magniﬁca var. magniﬁca', 'Neoraputia magniﬁca var. magniﬁca', 'Neoraputia magniﬁca var. magniﬁca', 'Neoraputia magniﬁca var. magniﬁca', 'Neoraputia magniﬁca var. magniﬁca']]",doi_collectionSpecie
"['10.1016/S0031-9422(00)00323-X', 'Picramnia teapensis']","['10.1016/S0031-9422(00)00323-X', ['Picramnia teapensis', 'Picramnia teapensis', 'Picramnia teapensis', 'Picramnia teapensis']]",doi_collectionSpecie
"['10.1016/S0031-9422(01)00079-6', 'Petiveria alliacea (Phytolaccaceae)']","['10.1016/S0031-9422(01)00079-6', ['Petiveria alliacea L. (Phytolacaceae)', 'Petiveria alliacea L. (Phytolacaceae)', 'Petiveria alliacea L. (Phytolacaceae)', 'Petiveria alliacea L. (Phytolacaceae)', 'Petiveria alliacea L. (Phytolacaceae)', 'Petiveria alliacea L. (Phytolacaceae)', 'Petiveria alliacea L. (Phytolacaceae)']]",doi_collectionSpecie
"['10.1016/S0031-9422(03)00153-5', 'Calycophyllum spruceanum (Rubiaceae)']","['10.1016/S0031-9422(03)00153-5', ['Calycophyllum spruceanum (Rubiaceae)', 'Calycophyllum spruceanum (Rubiaceae)', 'Calycophyllum spruceanum (Rubiaceae)']]",doi_collectionSpecie
"['10.1016/S0031-9422(97)00598-0', 'Murraya paniculata']","['10.1016/S0031-9422(97)00598-0', ['Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata']]",doi_collectionSpecie
"['10.1016/j.cbi.2010.08.008', 'Casearia sylvestris (Flacourtiaceae)']","['10.1016/j.cbi.2010.08.008', ['Casearia sylvestris', 'Casearia sylvestris', 'Casearia sylvestris', 'Casearia sylvestris']]",doi_collectionSpecie
"['10.1016/j.phytochem.2008.01.006', 'Pterogyne nitens (Fabaceae)']","['10.1016/j.phytochem.2008.01.006', ['Pterogyne nitens (Fabaceae)', 'Pterogyne nitens (Fabaceae)', 'Pterogyne nitens (Fabaceae)', 'Pterogyne nitens (Fabaceae)', 'Pterogyne nitens (Fabaceae)', 'Pterogyne nitens (Fabaceae)', 'Pterogyne nitens (Fabaceae)']]",doi_collectionSpecie
"['10.1016/j.phytol.2010.11.003', 'Xylaria sp. (Xylariaceae)']","['10.1016/j.phytol.2010.11.003', ['Xylaria sp.', 'Penicillium sp.', 'Penicillium sp.']]",doi_collectionSpecie
"['10.1021/jf60217a066', 'Croton zehntneri (Euphorbiaceae)']","['10.1021/jf60217a066', ['Croton aff. zehntneri (Euphorbiaceae)', 'Croton aff. zehntneri (Euphorbiaceae)', 'Croton aff. zehntneri (Euphorbiaceae)', 'Croton aff. zehntneri (Euphorbiaceae)', 'Croton aff. zehntneri (Euphorbiaceae)']]",doi_collectionSpecie
"['10.1021/np0303963', 'Cassia spectabilis (Fabaceae)']","['10.1021/np0303963', ['Cassia spectabilis', 'Cassia spectabilis', 'Cassia spectabilis', 'Cassia spectabilis']]",doi_collectionSpecie
"['10.1021/np50086a012', 'Angostura paniculata (Rutaceae)']","['10.1021/np50086a012', ['Angostura paniculata (Rutaceae)', 'Angostura paniculata (Rutaceae)']]",doi_collectionSpecie
"['10.1021/np9004079', 'Casearia obliqua (Flacourtiaceae)']","['10.1021/np9004079', ['Casearia obliqua', 'Casearia obliqua', 'Casearia obliqua', 'Casearia obliqua', 'Casearia obliqua']]",doi_collectionSpecie
"['10.1055/s-0029-1185364', 'Peperomia obtusifolia (Piperaceae)']","['10.1055/s-0029-1185364', ['Peperomia obtusifolia', 'Peperomia obtusifolia', 'Peperomia obtusifolia', 'Peperomia obtusifolia', 'Peperomia obtusifolia', 'Peperomia obtusifolia', 'Peperomia obtusifolia']]",doi_collectionSpecie
"['10.1055/s-0034-1368301', 'Nigrospora sphaerica']","['10.1055/s-0034-1368301', ['Papulaspora immersa (Chaetomiaceae)', 'Nigrospora sphaerica (Trichosphaeriaceae)']]",doi_collectionSpecie
"['10.1080/14786410412331271979', 'Styrax camporum (Styracaceae)']","['10.1080/14786410412331271979', ['Styrax camporum (Styracaceae)', 'Styrax camporum (Styracaceae)', 'Styrax camporum (Styracaceae)']]",doi_collectionSpecie
"['10.1093/mutage/gep034', 'Casearia sylvestris (Flacourtiaceae)']","['10.1093/mutage/gep034', ['Casearia sylvestris Swartz (Salicaceae)', 'Casearia sylvestris Swartz (Salicaceae)']]",doi_collectionSpecie
"['10.1248/bpb.31.538', 'Piper aduncum (Piperaceae)']","['10.1248/bpb.31.538', ['Piper gaudichaudianum', 'Piper aduncum', 'Piper aduncum', 'Piper aduncum', 'Piper aduncum']]",doi_collectionSpecie
"['10.1515/znc-2002-5-602', 'Tephrosia candida']","['10.1515/znc-2002-5-602', ['Tephrosia candida', 'Tephrosia candida', 'Tephrosia candida']]",doi_collectionSpecie
"['10.1515/znc-2011-5-607', 'Carapa guianensis']","['10.1515/znc-2011-5-607', ['Cabralea canjerana (Meliaceae)', 'Cabralea canjerana (Meliaceae)', 'Cabralea canjerana (Meliaceae)', 'Cabralea canjerana (Meliaceae)', 'Carapa guianensis (Meliaceae)', 'Carapa guianensis (Meliaceae)']]",doi_collectionSpecie
"['10.1590/S0100-40422006000300016', 'Chrysophyllum marginatum (Sapotaceae)']","['10.1590/S0100-40422006000300016', ['Chrysophyllum marginatum (Sapotaceae)', 'Chrysophyllum marginatum (Sapotaceae)', 'Chrysophyllum marginatum (Sapotaceae)', 'Chrysophyllum marginatum (Sapotaceae)', 'Chrysophyllum marginatum (Sapotaceae)', 'Chrysophyllum marginatum (Sapotaceae)']]",doi_collectionSpecie
"['10.1590/S0100-40422008000400018', 'Pterogyne nitens (Fabaceae)']","['10.1590/S0100-40422008000400018', ['Pterogyne nitens', 'Pterogyne nitens', 'Pterogyne nitens', 'Pterogyne nitens', 'Pterogyne nitens', 'Pterogyne nitens', 'Pterogyne nitens', 'Pterogyne nitens', 'Pterogyne nitens', 'Pterogyne nitens', 'Pterogyne nitens']]",doi_collectionSpecie
"['10.1590/S0100-46702007000300002', 'Michelia champaca (Magnoliaceae)']","['10.1590/S0100-46702007000300002', ['Michelia champaca L. (Magnoliaceae)', 'Michelia champaca L. (Magnoliaceae)', 'Michelia champaca L. (Magnoliaceae)', 'Michelia champaca L. (Magnoliaceae)', 'Michelia champaca L. (Magnoliaceae)']]",doi_collectionSpecie
"['10.1590/S0102-695X2009000100002', 'Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)']","['10.1590/S0102-695X2009000100002', ['Cipadessa fruticosa', 'Cipadessa fruticosa', 'Cipadessa fruticosa']]",doi_collectionSpecie
"['10.1590/S0103-50532005000400005', 'Nectandra grandiflora (Lauraceae)']","['10.1590/S0103-50532005000400005', ['Nectandra grandiflora', 'Nectandra grandiflora', 'Nectandra grandiflora', 'Nectandra grandiflora', 'Nectandra grandiflora', 'Nectandra grandiflora']]",doi_collectionSpecie
