true,restored,edge_type
"['10.1002/jobm.200800093', 'Nigrospora sphaerica']","['10.1002/jobm.200800093', ['Nigrospora sphaerica', 'Phoma betae', 'Phoma betae', 'Nigrospora sphaerica', 'Phoma betae', 'Nigrospora sphaerica and Phoma betae']]",doi_collectionSpecie
"['10.1002/jobm.200800093', 'Phoma betae']","['10.1002/jobm.200800093', ['Nigrospora sphaerica', 'Phoma betae', 'Phoma betae', 'Nigrospora sphaerica', 'Phoma betae', 'Nigrospora sphaerica and Phoma betae']]",doi_collectionSpecie
"['10.1002/ptr.1249', 'Maytenus aquifolium (Celastraceae)']","['10.1002/ptr.1249', ['Maytenus aquifolium (Celastraceae)', 'Maytenus aquifolium (Celastraceae)', 'Maytenus aquifolium (Celastraceae)', 'Maytenus aquifolium (Celastraceae)', 'Maytenus aquifolium (Celastraceae)']]",doi_collectionSpecie
"['10.1007/s10295-012-1165-2', 'Aspergillus terreus']","['10.1007/s10295-012-1165-2', ['Tithonia diversifolia Hemsl. A. Gray (Asteraceae)', 'Microbial transformation product by Aspergillus terreus']]",doi_collectionSpecie
"['10.1007/s10295-012-1165-2', 'Tithonia diversifolia']","['10.1007/s10295-012-1165-2', ['Tithonia diversifolia Hemsl. A. Gray (Asteraceae)', 'Microbial transformation product by Aspergillus terreus']]",doi_collectionSpecie
"['10.1016/0031-9422(73)85048-4', 'Dalbergia riparia']","['10.1016/0031-9422(73)85048-4', ['Dalbergia riparia', 'Dalbergia riparia', 'Dalbergia riparia', 'Dalbergia riparia', 'Dalbergia riparia', 'Dalbergia riparia', 'Dalbergia riparia', 'Dalbergia riparia', 'Dalbergia riparia']]",doi_collectionSpecie
"['10.1016/0031-9422(90)80024-B', 'Galipea bracteata (Rutaceae)']","['10.1016/0031-9422(90)80024-B', ['Galipea bracteata', 'Galipea bracteata', 'Galipea bracteata', 'Galipea bracteata']]",doi_collectionSpecie
"['10.1016/0031-9422(91)85077-D', 'Alibertia macrophylla (Rubiaceae)']","['10.1016/0031-9422(91)85077-D', ['Alibertia macrophylla (Rubiaceae)', 'Alibertia macrophylla (Rubiaceae)', 'Alibertia macrophylla (Rubiaceae)']]",doi_collectionSpecie
"['10.1016/0040-4020(95)00254-6', 'Cassia leptophylla (Fabaceae)']","['10.1016/0040-4020(95)00254-6', ['Cassia leptophylla', 'Cassia leptophylla', 'Cassia leptophylla', 'Cassia leptophylla', 'Cassia leptophylla', 'Cassia leptophylla', 'Cassia leptophylla']]",doi_collectionSpecie
"['10.1016/S0031-9422(00)00225-9', 'Styrax ferrugineus (Styracaceae)']","['10.1016/S0031-9422(00)00225-9', ['Styrax ferrugineus Ness et Mart.', 'Styrax ferrugineus Ness et Mart.', 'Styrax ferrugineus Ness et Mart.', 'Styrax ferrugineus Ness et Mart.', 'Styrax ferrugineus Ness et Mart.']]",doi_collectionSpecie
"['10.1016/S0031-9422(00)00226-0', 'Piper hispidum (Piperaceae)']","['10.1016/S0031-9422(00)00226-0', ['Piper hispidum', 'Piper tuberculatum']]",doi_collectionSpecie
"['10.1016/S0031-9422(00)00226-0', 'Piper tuberculatum (Piperaceae)']","['10.1016/S0031-9422(00)00226-0', ['Piper hispidum', 'Piper tuberculatum']]",doi_collectionSpecie
"['10.1016/S0031-9422(01)00079-6', 'Petiveria alliacea (Phytolaccaceae)']","['10.1016/S0031-9422(01)00079-6', ['Petiveria alliacea L. (Phytolacaceae)', 'Petiveria alliacea L. (Phytolacaceae)', 'Petiveria alliacea L. (Phytolacaceae)', 'Petiveria alliacea L. (Phytolacaceae)', 'Petiveria alliacea L. (Phytolacaceae)', 'Petiveria alliacea L. (Phytolacaceae)', 'Petiveria alliacea L. (Phytolacaceae)']]",doi_collectionSpecie
"['10.1016/S0031-9422(01)00431-9', 'Piper arboreum (Piperaceae)']","['10.1016/S0031-9422(01)00431-9', ['Piper arboreum', 'Piper arboreum', 'Piper arboreum; Piper tuberculatum', 'Piper arboreum; Piper tuberculatum', 'Piper arboreum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum']]",doi_collectionSpecie
"['10.1016/S0031-9422(01)00431-9', 'Piper tuberculatum (Piperaceae)']","['10.1016/S0031-9422(01)00431-9', ['Piper arboreum', 'Piper arboreum', 'Piper arboreum; Piper tuberculatum', 'Piper arboreum; Piper tuberculatum', 'Piper arboreum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum']]",doi_collectionSpecie
"['10.1016/S0031-9422(97)00238-0', 'Tocoyena formosa (Rubiaceae)']","['10.1016/S0031-9422(97)00238-0', ['Tocoyena formosa', 'Tocoyena formosa', 'Tocoyena formosa', 'Tocoyena formosa', 'Tocoyena formosa']]",doi_collectionSpecie
"['10.1016/S0031-9422(97)00598-0', 'Murraya paniculata']","['10.1016/S0031-9422(97)00598-0', ['Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata']]",doi_collectionSpecie
"['10.1016/S0031-9422(98)00249-0', 'Casearia sylvestris (Flacourtiaceae)']","['10.1016/S0031-9422(98)00249-0', ['Casearia sylvestris', 'Casearia sylvestris', 'Casearia sylvestris']]",doi_collectionSpecie
"['10.1016/S0031-9422(99)00132-6', 'Piper aduncum (Piperaceae)']","['10.1016/S0031-9422(99)00132-6', ['Piper aduncum (Piperaceae)', 'Piper aduncum (Piperaceae)']]",doi_collectionSpecie
"['10.1016/j.biortech.2010.01.041', 'Piper crassinervium (Piperaceae)']","['10.1016/j.biortech.2010.01.041', ['Piper crassinervium (Piperaceae)', 'Piper crassinervium (Piperaceae)', 'Piper crassinervium (Piperaceae)']]",doi_collectionSpecie
"['10.1016/j.jep.2007.09.020', 'Vitex polygama (Verbenaceae)']","['10.1016/j.jep.2007.09.020', ['Vitex polygama Cham. (Lamiaceae)', 'Vitex polygama Cham. (Lamiaceae)', 'Vitex polygama Cham. (Lamiaceae)', 'Vitex polygama Cham. (Lamiaceae)', 'Vitex polygama Cham. (Lamiaceae)', 'Vitex polygama Cham. (Lamiaceae)', 'Vitex polygama Cham. (Lamiaceae)', 'Vitex polygama Cham. (Lamiaceae)', 'Vitex polygama Cham. (Lamiaceae)']]",doi_collectionSpecie
"['10.1016/j.jfca.2003.09.013', 'Citrus sp. (Rutaceae)']","['10.1016/j.jfca.2003.09.013', ['Citrus species', 'Citrus species', 'Citrus species', 'Citrus species', 'Citrus species', 'Citrus species']]",doi_collectionSpecie
"['10.1016/j.phytochem.2005.04.043', 'Curvularia sp. (Pleosporaceae)']","['10.1016/j.phytochem.2005.04.043', ['Curvularia sp.', 'Curvularia sp.', 'Curvularia sp.', 'Curvularia sp.']]",doi_collectionSpecie
"['10.1016/j.phytochem.2008.01.006', 'Pterogyne nitens (Fabaceae)']","['10.1016/j.phytochem.2008.01.006', ['Pterogyne nitens (Fabaceae)', 'Pterogyne nitens (Fabaceae)', 'Pterogyne nitens (Fabaceae)', 'Pterogyne nitens (Fabaceae)', 'Pterogyne nitens (Fabaceae)', 'Pterogyne nitens (Fabaceae)', 'Pterogyne nitens (Fabaceae)']]",doi_collectionSpecie
"['10.1016/j.phytochem.2009.08.013', 'Khaya ivorensis']","['10.1016/j.phytochem.2009.08.013', ['Khaya ivorensis (Meliaceae)']]",doi_collectionSpecie
"['10.1016/j.phytol.2010.11.003', 'Xylaria sp. (Xylariaceae)']","['10.1016/j.phytol.2010.11.003', ['Xylaria sp.', 'Penicillium sp.', 'Penicillium sp.']]",doi_collectionSpecie
"['10.1016/j.phytol.2010.11.003', 'Penicillium sp. (Trichocomaceae)']","['10.1016/j.phytol.2010.11.003', ['Xylaria sp.', 'Penicillium sp.', 'Penicillium sp.']]",doi_collectionSpecie
"['10.1016/j.tiv.2008.01.003', 'Maytenus ilicifolia (Celastraceae)']","['10.1016/j.tiv.2008.01.003', ['Maytenus ilicifolia Martius (Celastraceae)']]",doi_collectionSpecie
