true,restored,edge_type
"['10.1002/cbdv.200800342', 'Plant Isolated']","['10.1002/cbdv.200800342', ['Isolated from plant leaves', 'Isolated from plant leaves', 'Isolated from plant leaves', 'Isolated from plant leaves', 'Isolated from plant leaves', 'Isolated from plant leaves', 'Degradation Product']]",doi_collectionType
"['10.1002/hlca.200890147', 'Plant Isolated']","['10.1002/hlca.200890147', ['Isolation', 'Isolation', 'Isolation', 'Isolation', 'Isolation']]",doi_collectionType
"['10.1002/ptr.1249', 'Plant Isolated']","['10.1002/ptr.1249', []]",doi_collectionType
"['10.1007/s10295-012-1165-2', 'Plant Isolated']","['10.1007/s10295-012-1165-2', ['Biotransformation Product']]",doi_collectionType
"['10.1016/0031-9422(73)85048-4', 'Plant Isolated']","['10.1016/0031-9422(73)85048-4', []]",doi_collectionType
"['10.1016/0031-9422(81)80027-1', 'Plant Isolated']","['10.1016/0031-9422(81)80027-1', ['Extraction and separation from dried, powdered roots', 'Extraction and separation from dried, powdered roots', 'Extraction and separation from dried, powdered roots', 'Extraction and separation from dried, powdered roots', 'Extraction and separation from dried, powdered roots']]",doi_collectionType
"['10.1016/0031-9422(91)85077-D', 'Plant Isolated']","['10.1016/0031-9422(91)85077-D', ['Natural compound isolated from leaves', 'Natural triterpenes isolated from stems']]",doi_collectionType
"['10.1016/0040-4020(95)00254-6', 'Plant Isolated']","['10.1016/0040-4020(95)00254-6', []]",doi_collectionType
"['10.1016/S0014-5793(02)02700-X', 'Plant Isolated']","['10.1016/S0014-5793(02)02700-X', ['The molecule chalepin was isolated through extraction using organic solvents and various chromatographic techniques.']]",doi_collectionType
"['10.1016/S0031-9422(00)00226-0', 'Plant Isolated']","['10.1016/S0031-9422(00)00226-0', []]",doi_collectionType
"['10.1016/S0031-9422(00)00248-X', 'Plant Isolated']","['10.1016/S0031-9422(00)00248-X', []]",doi_collectionType
"['10.1016/S0031-9422(00)00477-5', 'Plant Isolated']","['10.1016/S0031-9422(00)00477-5', ['natural source', 'natural source', 'natural source', 'natural source', 'natural source', 'natural source']]",doi_collectionType
"['10.1016/S0031-9422(01)00079-6', 'Plant Isolated']","['10.1016/S0031-9422(01)00079-6', []]",doi_collectionType
"['10.1016/S0031-9422(01)00431-9', 'Plant Isolated']","['10.1016/S0031-9422(01)00431-9', []]",doi_collectionType
"['10.1016/S0031-9422(98)00249-0', 'Plant Isolated']","['10.1016/S0031-9422(98)00249-0', []]",doi_collectionType
"['10.1016/S0031-9422(99)00132-6', 'Plant Isolated']","['10.1016/S0031-9422(99)00132-6', ['Natural isolate', 'Natural isolate']]",doi_collectionType
"['10.1016/j.bmc.2010.12.056', 'Plant Isolated']","['10.1016/j.bmc.2010.12.056', ['Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark']]",doi_collectionType
"['10.1016/j.chroma.2009.02.009', 'Plant Isolated']","['10.1016/j.chroma.2009.02.009', []]",doi_collectionType
"['10.1016/j.chroma.2009.02.066', 'Plant Isolated']","['10.1016/j.chroma.2009.02.066', ['Isolated', 'Isolated', 'Isolated', 'Isolated']]",doi_collectionType
"['10.1016/j.jep.2007.09.020', 'Plant Isolated']","['10.1016/j.jep.2007.09.020', []]",doi_collectionType
"['10.1016/j.jpba.2012.08.028', 'Plant Isolated']","['10.1016/j.jpba.2012.08.028', ['Extracted compound isolated from the species mentioned', 'Biotransformation Product']]",doi_collectionType
"['10.1016/j.phytochem.2005.06.019', 'Plant Isolated']","['10.1016/j.phytochem.2005.06.019', []]",doi_collectionType
"['10.1016/j.phytochem.2006.06.004', 'Microorganism isolated']","['10.1016/j.phytochem.2006.06.004', ['Isolated from leaves of Cassia spectabilis', 'Isolated from leaves of Cassia spectabilis', 'Isolated from leaves of Cassia spectabilis', 'Isolated from leaves of Cassia spectabilis', 'Isolated from leaves of Cassia spectabilis']]",doi_collectionType
"['10.1016/j.phytochem.2007.08.012', 'Plant Isolated']","['10.1016/j.phytochem.2007.08.012', []]",doi_collectionType
"['10.1016/j.phytochem.2008.01.006', 'Plant Isolated']","['10.1016/j.phytochem.2008.01.006', []]",doi_collectionType
"['10.1016/j.phytochem.2009.08.013', 'Plant Isolated']","['10.1016/j.phytochem.2009.08.013', ['Compound isolated from K. ivorensis plants with and without symptoms of stem cankers caused by B. rhodina']]",doi_collectionType
"['10.1016/j.tiv.2008.01.003', 'Plant Isolated']","['10.1016/j.tiv.2008.01.003', []]",doi_collectionType
"['10.1021/cc100076k', 'Plant Isolated']","['10.1021/cc100076k', []]",doi_collectionType
"['10.1021/jf100233y', 'Plant Isolated']","['10.1021/jf100233y', ['Extraction from plant material', 'Semi-synthesis', 'Semi-synthesis', 'Semi-synthesis', 'Synthetic radical initiator']]",doi_collectionType
"['10.1021/jf100233y', 'Semisynthesis Product']","['10.1021/jf100233y', ['Extraction from plant material', 'Semi-synthesis', 'Semi-synthesis', 'Semi-synthesis', 'Synthetic radical initiator']]",doi_collectionType
"['10.1021/jf60217a066', 'Plant Isolated']","['10.1021/jf60217a066', ['Essential oil component', 'Essential oil component', 'Essential oil component', 'Essential oil component', 'Essential oil component']]",doi_collectionType
"['10.1021/np030100t', 'Plant Isolated']","['10.1021/np030100t', ['Isolated natural product', 'Isolated natural product', 'Isolated natural product', 'Known natural product', 'Known natural product from previous studies', 'Known natural product from previous studies']]",doi_collectionType
"['10.1021/np030530j', 'Plant Isolated']","['10.1021/np030530j', []]",doi_collectionType
"['10.1021/np049863m', 'Plant Isolated']","['10.1021/np049863m', []]",doi_collectionType
"['10.1021/np060254j', 'Plant Isolated']","['10.1021/np060254j', ['Isolated from fresh inflorescences macerated with EtOH/H2O', 'Isolated from fresh inflorescences macerated with EtOH/H2O', 'Isolated from fresh inflorescences macerated with EtOH/H2O']]",doi_collectionType
"['10.1021/np500453x', 'Plant Isolated']","['10.1021/np500453x', []]",doi_collectionType
"['10.1021/np50086a012', 'Plant Isolated']","['10.1021/np50086a012', ['Leaf Extract', 'Leaf Extract']]",doi_collectionType
