true,restored,edge_type
"['10.1002/cbdv.200590016', 'Plant Isolated']","['10.1002/cbdv.200590016', []]",doi_collectionType
"['10.1002/ps.1278', 'Plant Isolated']","['10.1002/ps.1278', []]",doi_collectionType
"['10.1002/ps.478', 'Plant Isolated']","['10.1002/ps.478', ['Isolated from plant']]",doi_collectionType
"['10.1002/ptr.1249', 'Plant Isolated']","['10.1002/ptr.1249', []]",doi_collectionType
"['10.1016/S0014-5793(02)02700-X', 'Plant Isolated']","['10.1016/S0014-5793(02)02700-X', ['The molecule chalepin was isolated through extraction using organic solvents and various chromatographic techniques.']]",doi_collectionType
"['10.1016/S0031-9422(00)00226-0', 'Plant Isolated']","['10.1016/S0031-9422(00)00226-0', []]",doi_collectionType
"['10.1016/S0031-9422(00)00248-X', 'Plant Isolated']","['10.1016/S0031-9422(00)00248-X', []]",doi_collectionType
"['10.1016/S0031-9422(00)00477-5', 'Plant Isolated']","['10.1016/S0031-9422(00)00477-5', ['natural source', 'natural source', 'natural source', 'natural source', 'natural source', 'natural source']]",doi_collectionType
"['10.1016/S0031-9422(97)00238-0', 'Plant Isolated']","['10.1016/S0031-9422(97)00238-0', []]",doi_collectionType
"['10.1016/S0031-9422(97)00598-0', 'Plant Isolated']","['10.1016/S0031-9422(97)00598-0', []]",doi_collectionType
"['10.1016/S0031-9422(98)00069-7', 'Plant Isolated']","['10.1016/S0031-9422(98)00069-7', []]",doi_collectionType
"['10.1016/S0031-9422(98)00249-0', 'Plant Isolated']","['10.1016/S0031-9422(98)00249-0', []]",doi_collectionType
"['10.1016/S0031-9422(99)00132-6', 'Plant Isolated']","['10.1016/S0031-9422(99)00132-6', ['Natural isolate', 'Natural isolate']]",doi_collectionType
"['10.1016/j.biortech.2010.01.041', 'Biotransformation Product']","['10.1016/j.biortech.2010.01.041', ['Biotransformation Product', 'Biotransformation Product']]",doi_collectionType
"['10.1016/j.cbi.2010.08.008', 'Plant Isolated']","['10.1016/j.cbi.2010.08.008', []]",doi_collectionType
"['10.1016/j.chroma.2009.02.009', 'Plant Isolated']","['10.1016/j.chroma.2009.02.009', []]",doi_collectionType
"['10.1016/j.chroma.2009.02.066', 'Plant Isolated']","['10.1016/j.chroma.2009.02.066', ['Isolated', 'Isolated', 'Isolated', 'Isolated']]",doi_collectionType
"['10.1016/j.jchromb.2012.07.013', 'Plant Isolated']","['10.1016/j.jchromb.2012.07.013', []]",doi_collectionType
"['10.1016/j.jfca.2003.09.013', 'Plant Isolated']","['10.1016/j.jfca.2003.09.013', ['Juice sample from natural oranges commercialized in Brazil', 'Juice sample from natural oranges commercialized in Brazil', 'Juice sample from natural oranges commercialized in Brazil', 'Juice sample from natural oranges commercialized in Brazil', 'Juice sample from natural oranges commercialized in Brazil', 'Juice sample from natural oranges commercialized in Brazil']]",doi_collectionType
"['10.1016/j.jphotobiol.2013.01.006', 'Plant Isolated']","['10.1016/j.jphotobiol.2013.01.006', []]",doi_collectionType
"['10.1016/j.micres.2004.06.003', 'Microorganism isolated']","['10.1016/j.micres.2004.06.003', []]",doi_collectionType
"['10.1016/j.phytochem.2005.04.043', 'Microorganism isolated']","['10.1016/j.phytochem.2005.04.043', []]",doi_collectionType
"['10.1016/j.phytochem.2006.09.005', 'Microorganism isolated']","['10.1016/j.phytochem.2006.09.005', ['Endophytic fungus isolated from the leaves of Xylopia aromatica', 'Endophytic fungus isolated from the leaves of Xylopia aromatica', 'Endophytic fungus isolated from the leaves of Xylopia aromatica']]",doi_collectionType
"['10.1016/j.phytochem.2007.08.012', 'Plant Isolated']","['10.1016/j.phytochem.2007.08.012', []]",doi_collectionType
"['10.1021/jf100233y', 'Semisynthesis Product']","['10.1021/jf100233y', ['Extraction from plant material', 'Semi-synthesis', 'Semi-synthesis', 'Semi-synthesis', 'Synthetic radical initiator']]",doi_collectionType
"['10.1021/jf100233y', 'Plant Isolated']","['10.1021/jf100233y', ['Extraction from plant material', 'Semi-synthesis', 'Semi-synthesis', 'Semi-synthesis', 'Synthetic radical initiator']]",doi_collectionType
