true,restored,edge_type
"['10.1002/ps.1278', 'Siphoneugena densiflora (Myrtaceae)']","['10.1002/ps.1278', ['Vitex polygama (Verbenaceae)', 'Vitex polygama (Verbenaceae)', 'Vitex polygama (Verbenaceae)', 'Siphoneugena densiflora (Myrtaceae)', 'Vitex polygama (Verbenaceae)', 'Vitex polygama (Verbenaceae)', 'Siphoneugena densiflora (Myrtaceae)']]",doi_collectionSpecie
"['10.1002/ptr.1249', 'Maytenus aquifolium (Celastraceae)']","['10.1002/ptr.1249', ['Maytenus aquifolium (Celastraceae)', 'Maytenus aquifolium (Celastraceae)', 'Maytenus aquifolium (Celastraceae)', 'Maytenus aquifolium (Celastraceae)', 'Maytenus aquifolium (Celastraceae)']]",doi_collectionSpecie
"['10.1016/0031-9422(73)85048-4', 'Dalbergia riparia']","['10.1016/0031-9422(73)85048-4', ['Dalbergia riparia', 'Dalbergia riparia', 'Dalbergia riparia', 'Dalbergia riparia', 'Dalbergia riparia', 'Dalbergia riparia', 'Dalbergia riparia', 'Dalbergia riparia', 'Dalbergia riparia']]",doi_collectionSpecie
"['10.1016/S0014-5793(02)02700-X', 'Pilocarpus spicatus (Rutaceae)']","['10.1016/S0014-5793(02)02700-X', ['Pilocarpus spicatus (Rutaceae)']]",doi_collectionSpecie
"['10.1016/S0031-9422(97)00238-0', 'Tocoyena formosa (Rubiaceae)']","['10.1016/S0031-9422(97)00238-0', ['Tocoyena formosa', 'Tocoyena formosa', 'Tocoyena formosa', 'Tocoyena formosa', 'Tocoyena formosa']]",doi_collectionSpecie
"['10.1016/S0031-9422(99)00132-6', 'Piper aduncum (Piperaceae)']","['10.1016/S0031-9422(99)00132-6', ['Piper aduncum (Piperaceae)', 'Piper aduncum (Piperaceae)']]",doi_collectionSpecie
"['10.1016/j.bmc.2010.12.056', 'Swinglea glutinosa']","['10.1016/j.bmc.2010.12.056', ['Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)']]",doi_collectionSpecie
"['10.1016/j.jchromb.2012.07.013', 'Zingiber officinale']","['10.1016/j.jchromb.2012.07.013', ['Zingiber officinale Roscoe', 'Zingiber officinale Roscoe', 'Zingiber officinale Roscoe']]",doi_collectionSpecie
"['10.1016/j.phytochem.2007.08.012', 'Peperomia blanda (Piperaceae)']","['10.1016/j.phytochem.2007.08.012', ['Peperomia blanda', 'Peperomia blanda', 'Peperomia blanda', 'Peperomia blanda', 'Peperomia blanda']]",doi_collectionSpecie
"['10.1016/j.phytochem.2008.01.006', 'Pterogyne nitens (Fabaceae)']","['10.1016/j.phytochem.2008.01.006', ['Pterogyne nitens (Fabaceae)', 'Pterogyne nitens (Fabaceae)', 'Pterogyne nitens (Fabaceae)', 'Pterogyne nitens (Fabaceae)', 'Pterogyne nitens (Fabaceae)', 'Pterogyne nitens (Fabaceae)', 'Pterogyne nitens (Fabaceae)']]",doi_collectionSpecie
