true,restored,edge_type
"['10.1002/cbdv.200800342', 'Plant Isolated']","['10.1002/cbdv.200800342', ['Isolated from plant leaves', 'Isolated from plant leaves', 'Isolated from plant leaves', 'Isolated from plant leaves', 'Isolated from plant leaves', 'Isolated from plant leaves', 'Degradation Product']]",doi_collectionType
"['10.1016/S0031-9422(00)00225-9', 'Plant Isolated']","['10.1016/S0031-9422(00)00225-9', []]",doi_collectionType
"['10.1016/S0031-9422(00)00226-0', 'Plant Isolated']","['10.1016/S0031-9422(00)00226-0', []]",doi_collectionType
"['10.1016/S0031-9422(03)00153-5', 'Plant Isolated']","['10.1016/S0031-9422(03)00153-5', []]",doi_collectionType
"['10.1016/j.bmc.2010.12.056', 'Plant Isolated']","['10.1016/j.bmc.2010.12.056', ['Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark']]",doi_collectionType
"['10.1016/j.chroma.2009.02.066', 'Plant Isolated']","['10.1016/j.chroma.2009.02.066', ['Isolated', 'Isolated', 'Isolated', 'Isolated']]",doi_collectionType
"['10.1016/j.jchromb.2012.07.013', 'Plant Isolated']","['10.1016/j.jchromb.2012.07.013', []]",doi_collectionType
"['10.1016/j.jfca.2003.09.013', 'Plant Isolated']","['10.1016/j.jfca.2003.09.013', ['Juice sample from natural oranges commercialized in Brazil', 'Juice sample from natural oranges commercialized in Brazil', 'Juice sample from natural oranges commercialized in Brazil', 'Juice sample from natural oranges commercialized in Brazil', 'Juice sample from natural oranges commercialized in Brazil', 'Juice sample from natural oranges commercialized in Brazil']]",doi_collectionType
"['10.1016/j.jphotobiol.2013.01.006', 'Plant Isolated']","['10.1016/j.jphotobiol.2013.01.006', []]",doi_collectionType
"['10.1016/j.phytochem.2006.06.004', 'Microorganism isolated']","['10.1016/j.phytochem.2006.06.004', ['Isolated from leaves of Cassia spectabilis', 'Isolated from leaves of Cassia spectabilis', 'Isolated from leaves of Cassia spectabilis', 'Isolated from leaves of Cassia spectabilis', 'Isolated from leaves of Cassia spectabilis']]",doi_collectionType
"['10.1016/j.phytochem.2008.01.006', 'Plant Isolated']","['10.1016/j.phytochem.2008.01.006', []]",doi_collectionType
"['10.1021/cc100076k', 'Plant Isolated']","['10.1021/cc100076k', []]",doi_collectionType
"['10.1021/jf063451x', 'Plant Isolated']","['10.1021/jf063451x', ['Methanol extract from leaves', 'Methanol extract from leaves', 'Methanol extract from leaves', 'Methanol extract from leaves', 'Methanol extract from leaves', 'Hexane extract from seeds', 'Hexane extract from seeds', 'Hexane extract from seeds', 'Hexane extract from seeds', 'Hexane extract from seeds']]",doi_collectionType
"['10.1021/jf60217a066', 'Plant Isolated']","['10.1021/jf60217a066', ['Essential oil component', 'Essential oil component', 'Essential oil component', 'Essential oil component', 'Essential oil component']]",doi_collectionType
"['10.1021/np800612x', 'Plant Isolated']","['10.1021/np800612x', []]",doi_collectionType
"['10.1080/14786410600907002', 'Plant Isolated']","['10.1080/14786410600907002', ['Methanol extract from the stems and fruits', 'Methanol extract from the stems and fruits', 'Methanol extract from the stems and fruits', 'Methanol extract from the stems and fruits', 'Methanol extract from the stems and fruits', 'Methanol extract from the stems and fruits', 'Methanol extract from the stems and fruits', 'Methanol extract from the stems and fruits', 'Methanol extract from the stems and fruits', 'Methanol extract from the stems and fruits', 'Methanol extract from the stems and fruits', 'Methanol extract from the fresh fruits', 'Methanol extract from the fresh fruits', 'Methanol extract from the fresh fruits']]",doi_collectionType
"['10.1080/14786410802243271', 'Plant Isolated']","['10.1080/14786410802243271', []]",doi_collectionType
"['10.1248/cpb.56.407', 'Semisynthesis Product']","['10.1248/cpb.56.407', ['Natural Product / Semi-synthetic derivative', 'Natural Product', 'Natural Product', 'Semi-synthetic derivative', 'Semi-synthetic derivative']]",doi_collectionType
"['10.1248/cpb.56.723', 'Plant Isolated']","['10.1248/cpb.56.723', ['Isolated compound', 'Isolated compound', 'Isolated compound', 'Isolated compound', 'Isolated compound', 'Isolated compound']]",doi_collectionType
"['10.1515/znb-2005-0715', 'Plant Isolated']","['10.1515/znb-2005-0715', ['Isolated from plant stems']]",doi_collectionType
"['10.1515/znc-2002-5-602', 'Plant Isolated']","['10.1515/znc-2002-5-602', ['Isolated from roots of the plant', 'Isolated from roots of the plant', 'Isolated from roots of the plant']]",doi_collectionType
"['10.1515/znc-2011-5-607', 'Plant Isolated']","['10.1515/znc-2011-5-607', []]",doi_collectionType
"['10.1590/S0100-40422004000200005', 'Plant Isolated']","['10.1590/S0100-40422004000200005', ['Isolated from leaves', 'Isolated from leaves', 'Isolated from leaves']]",doi_collectionType
"['10.1590/S0100-40422008000400018', 'Plant Isolated']","['10.1590/S0100-40422008000400018', []]",doi_collectionType
"['10.1590/S0102-695X2009000100002', 'Plant Isolated']","['10.1590/S0102-695X2009000100002', []]",doi_collectionType
"['10.1590/S1519-566X2008000600013', 'Plant Isolated']","['10.1590/S1519-566X2008000600013', ['Leaf extract', 'Leaf extract', 'Leaf extract', 'Leaf extract', 'Leaf extract', 'Leaf extract', 'Fruit extract']]",doi_collectionType
"['10.4067/S0717-97072009000300004', 'Plant Isolated']","['10.4067/S0717-97072009000300004', ['Epicuticular wax']]",doi_collectionType
