k,algorithm,split,edge_group,dynamic_stage,value,std
1,gpt4,0.8,doi_collectionType,1st,0.024115826702033598,0.003623807389797073
1,gpt4,0.8,doi_collectionType,2nd,0.01985060350312498,0.010504872804528392
1,gpt4,0.8,doi_collectionType,3rd,0.016472065670178875,0.016034628231449365
1,gpt4,0.8,doi_collectionType,4th,0.014998133411926514,0.01940977026878914
5,gpt4,0.8,doi_collectionType,1st,0.024115826702033598,0.003623807389797073
5,gpt4,0.8,doi_collectionType,2nd,0.01985060350312498,0.010504872804528392
5,gpt4,0.8,doi_collectionType,3rd,0.016472065670178875,0.016034628231449365
5,gpt4,0.8,doi_collectionType,4th,0.014998133411926514,0.01940977026878914
10,gpt4,0.8,doi_collectionType,1st,0.024115826702033598,0.003623807389797073
10,gpt4,0.8,doi_collectionType,2nd,0.01985060350312498,0.010504872804528392
10,gpt4,0.8,doi_collectionType,3rd,0.016472065670178875,0.016034628231449365
10,gpt4,0.8,doi_collectionType,4th,0.014998133411926514,0.01940977026878914
15,gpt4,0.8,doi_collectionType,1st,0.024115826702033598,0.003623807389797073
15,gpt4,0.8,doi_collectionType,2nd,0.01985060350312498,0.010504872804528392
15,gpt4,0.8,doi_collectionType,3rd,0.016472065670178875,0.016034628231449365
15,gpt4,0.8,doi_collectionType,4th,0.014998133411926514,0.01940977026878914
20,gpt4,0.8,doi_collectionType,1st,0.024115826702033598,0.003623807389797073
20,gpt4,0.8,doi_collectionType,2nd,0.01985060350312498,0.010504872804528392
20,gpt4,0.8,doi_collectionType,3rd,0.016472065670178875,0.016034628231449365
20,gpt4,0.8,doi_collectionType,4th,0.014998133411926514,0.01940977026878914
25,gpt4,0.8,doi_collectionType,1st,0.024115826702033598,0.003623807389797073
25,gpt4,0.8,doi_collectionType,2nd,0.01985060350312498,0.010504872804528392
25,gpt4,0.8,doi_collectionType,3rd,0.016472065670178875,0.016034628231449365
25,gpt4,0.8,doi_collectionType,4th,0.014998133411926514,0.01940977026878914
30,gpt4,0.8,doi_collectionType,1st,0.024115826702033598,0.003623807389797073
30,gpt4,0.8,doi_collectionType,2nd,0.01985060350312498,0.010504872804528392
30,gpt4,0.8,doi_collectionType,3rd,0.016472065670178875,0.016034628231449365
30,gpt4,0.8,doi_collectionType,4th,0.014998133411926514,0.01940977026878914
35,gpt4,0.8,doi_collectionType,1st,0.024115826702033598,0.003623807389797073
35,gpt4,0.8,doi_collectionType,2nd,0.01985060350312498,0.010504872804528392
35,gpt4,0.8,doi_collectionType,3rd,0.016472065670178875,0.016034628231449365
35,gpt4,0.8,doi_collectionType,4th,0.014998133411926514,0.01940977026878914
40,gpt4,0.8,doi_collectionType,1st,0.024115826702033598,0.003623807389797073
40,gpt4,0.8,doi_collectionType,2nd,0.01985060350312498,0.010504872804528392
40,gpt4,0.8,doi_collectionType,3rd,0.016472065670178875,0.016034628231449365
40,gpt4,0.8,doi_collectionType,4th,0.014998133411926514,0.01940977026878914
45,gpt4,0.8,doi_collectionType,1st,0.024115826702033598,0.003623807389797073
45,gpt4,0.8,doi_collectionType,2nd,0.01985060350312498,0.010504872804528392
45,gpt4,0.8,doi_collectionType,3rd,0.016472065670178875,0.016034628231449365
45,gpt4,0.8,doi_collectionType,4th,0.014998133411926514,0.01940977026878914
50,gpt4,0.8,doi_collectionType,1st,0.024115826702033598,0.003623807389797073
50,gpt4,0.8,doi_collectionType,2nd,0.01985060350312498,0.010504872804528392
50,gpt4,0.8,doi_collectionType,3rd,0.016472065670178875,0.016034628231449365
50,gpt4,0.8,doi_collectionType,4th,0.014998133411926514,0.01940977026878914
