k,algorithm,edge_group,split,dynamic_stage,value
1,gpt4,doi_collectionSite,0.8,1st,0.0
1,gpt4,doi_collectionSite,0.8,2nd,0.0
1,gpt4,doi_collectionSite,0.8,3rd,0.0
1,gpt4,doi_collectionSite,0.8,4th,0.0
1,gpt4,doi_collectionSite,0.8,1st,0.0
1,gpt4,doi_collectionSite,0.8,2nd,0.0
1,gpt4,doi_collectionSite,0.8,3rd,0.0
1,gpt4,doi_collectionSite,0.8,4th,0.0
1,gpt4,doi_collectionSite,0.8,1st,0.0
1,gpt4,doi_collectionSite,0.8,2nd,0.0
1,gpt4,doi_collectionSite,0.8,3rd,0.0
1,gpt4,doi_collectionSite,0.8,4th,0.0
1,gpt4,doi_collectionSite,0.8,1st,0.0
1,gpt4,doi_collectionSite,0.8,2nd,0.0
1,gpt4,doi_collectionSite,0.8,3rd,0.0
1,gpt4,doi_collectionSite,0.8,4th,0.0
1,gpt4,doi_collectionSite,0.8,1st,0.0
1,gpt4,doi_collectionSite,0.8,2nd,0.0
1,gpt4,doi_collectionSite,0.8,3rd,0.0
1,gpt4,doi_collectionSite,0.8,4th,0.0
1,gpt4,doi_collectionSite,0.8,1st,0.0
1,gpt4,doi_collectionSite,0.8,2nd,0.0
1,gpt4,doi_collectionSite,0.8,3rd,0.0
1,gpt4,doi_collectionSite,0.8,4th,0.0
1,gpt4,doi_collectionSite,0.8,1st,0.0
1,gpt4,doi_collectionSite,0.8,2nd,0.0
1,gpt4,doi_collectionSite,0.8,3rd,0.0
1,gpt4,doi_collectionSite,0.8,4th,0.0
1,gpt4,doi_collectionSite,0.8,1st,0.0
1,gpt4,doi_collectionSite,0.8,2nd,0.0
1,gpt4,doi_collectionSite,0.8,3rd,0.0
1,gpt4,doi_collectionSite,0.8,4th,0.0
1,gpt4,doi_collectionSite,0.8,1st,0.0
1,gpt4,doi_collectionSite,0.8,2nd,0.0
1,gpt4,doi_collectionSite,0.8,3rd,0.0
1,gpt4,doi_collectionSite,0.8,4th,0.0
1,gpt4,doi_collectionSite,0.8,1st,0.0
1,gpt4,doi_collectionSite,0.8,2nd,0.0
1,gpt4,doi_collectionSite,0.8,3rd,0.0
1,gpt4,doi_collectionSite,0.8,4th,0.0
5,gpt4,doi_collectionSite,0.8,1st,0.0
5,gpt4,doi_collectionSite,0.8,2nd,0.0
5,gpt4,doi_collectionSite,0.8,3rd,0.0
5,gpt4,doi_collectionSite,0.8,4th,0.0
5,gpt4,doi_collectionSite,0.8,1st,0.0
5,gpt4,doi_collectionSite,0.8,2nd,0.0
5,gpt4,doi_collectionSite,0.8,3rd,0.0
5,gpt4,doi_collectionSite,0.8,4th,0.0
5,gpt4,doi_collectionSite,0.8,1st,0.0
5,gpt4,doi_collectionSite,0.8,2nd,0.0
5,gpt4,doi_collectionSite,0.8,3rd,0.0
5,gpt4,doi_collectionSite,0.8,4th,0.0
5,gpt4,doi_collectionSite,0.8,1st,0.0
5,gpt4,doi_collectionSite,0.8,2nd,0.0
5,gpt4,doi_collectionSite,0.8,3rd,0.0
5,gpt4,doi_collectionSite,0.8,4th,0.0
5,gpt4,doi_collectionSite,0.8,1st,0.0
5,gpt4,doi_collectionSite,0.8,2nd,0.0
5,gpt4,doi_collectionSite,0.8,3rd,0.0
5,gpt4,doi_collectionSite,0.8,4th,0.0
5,gpt4,doi_collectionSite,0.8,1st,0.0
5,gpt4,doi_collectionSite,0.8,2nd,0.0
5,gpt4,doi_collectionSite,0.8,3rd,0.0
5,gpt4,doi_collectionSite,0.8,4th,0.0
5,gpt4,doi_collectionSite,0.8,1st,0.0
5,gpt4,doi_collectionSite,0.8,2nd,0.0
5,gpt4,doi_collectionSite,0.8,3rd,0.0
5,gpt4,doi_collectionSite,0.8,4th,0.0
5,gpt4,doi_collectionSite,0.8,1st,0.0
5,gpt4,doi_collectionSite,0.8,2nd,0.0
5,gpt4,doi_collectionSite,0.8,3rd,0.0
5,gpt4,doi_collectionSite,0.8,4th,0.0
5,gpt4,doi_collectionSite,0.8,1st,0.0
5,gpt4,doi_collectionSite,0.8,2nd,0.0
5,gpt4,doi_collectionSite,0.8,3rd,0.0
5,gpt4,doi_collectionSite,0.8,4th,0.0
5,gpt4,doi_collectionSite,0.8,1st,0.0
5,gpt4,doi_collectionSite,0.8,2nd,0.0
5,gpt4,doi_collectionSite,0.8,3rd,0.0
5,gpt4,doi_collectionSite,0.8,4th,0.0
10,gpt4,doi_collectionSite,0.8,1st,0.0
10,gpt4,doi_collectionSite,0.8,2nd,0.0
10,gpt4,doi_collectionSite,0.8,3rd,0.0
10,gpt4,doi_collectionSite,0.8,4th,0.0
10,gpt4,doi_collectionSite,0.8,1st,0.0
10,gpt4,doi_collectionSite,0.8,2nd,0.0
10,gpt4,doi_collectionSite,0.8,3rd,0.0
10,gpt4,doi_collectionSite,0.8,4th,0.0
10,gpt4,doi_collectionSite,0.8,1st,0.0
10,gpt4,doi_collectionSite,0.8,2nd,0.0
10,gpt4,doi_collectionSite,0.8,3rd,0.0
10,gpt4,doi_collectionSite,0.8,4th,0.0
10,gpt4,doi_collectionSite,0.8,1st,0.0
10,gpt4,doi_collectionSite,0.8,2nd,0.0
10,gpt4,doi_collectionSite,0.8,3rd,0.0
10,gpt4,doi_collectionSite,0.8,4th,0.0
10,gpt4,doi_collectionSite,0.8,1st,0.0
10,gpt4,doi_collectionSite,0.8,2nd,0.0
