k,algorithm,edge_group,split,dynamic_stage,value
1,gpt4,doi_collectionSpecie,0.8,1st,0.3387096774193548
1,gpt4,doi_collectionSpecie,0.8,2nd,0.41975308641975306
1,gpt4,doi_collectionSpecie,0.8,3rd,0.46296296296296297
1,gpt4,doi_collectionSpecie,0.8,4th,0.37037037037037035
1,gpt4,doi_collectionSpecie,0.8,1st,0.2926829268292683
1,gpt4,doi_collectionSpecie,0.8,2nd,0.34146341463414637
1,gpt4,doi_collectionSpecie,0.8,3rd,0.3392857142857143
1,gpt4,doi_collectionSpecie,0.8,4th,0.35714285714285715
1,gpt4,doi_collectionSpecie,0.8,1st,0.3089430894308943
1,gpt4,doi_collectionSpecie,0.8,2nd,0.32558139534883723
1,gpt4,doi_collectionSpecie,0.8,3rd,0.3389830508474576
1,gpt4,doi_collectionSpecie,0.8,4th,0.2857142857142857
1,gpt4,doi_collectionSpecie,0.8,1st,0.3333333333333333
1,gpt4,doi_collectionSpecie,0.8,2nd,0.37349397590361444
1,gpt4,doi_collectionSpecie,0.8,3rd,0.38596491228070173
1,gpt4,doi_collectionSpecie,0.8,4th,0.4230769230769231
1,gpt4,doi_collectionSpecie,0.8,1st,0.3170731707317073
1,gpt4,doi_collectionSpecie,0.8,2nd,0.3176470588235294
1,gpt4,doi_collectionSpecie,0.8,3rd,0.3620689655172414
1,gpt4,doi_collectionSpecie,0.8,4th,0.4827586206896552
1,gpt4,doi_collectionSpecie,0.8,1st,0.3252032520325203
1,gpt4,doi_collectionSpecie,0.8,2nd,0.32142857142857145
1,gpt4,doi_collectionSpecie,0.8,3rd,0.38181818181818183
1,gpt4,doi_collectionSpecie,0.8,4th,0.34615384615384615
1,gpt4,doi_collectionSpecie,0.8,1st,0.3225806451612903
1,gpt4,doi_collectionSpecie,0.8,2nd,0.32941176470588235
1,gpt4,doi_collectionSpecie,0.8,3rd,0.3275862068965517
1,gpt4,doi_collectionSpecie,0.8,4th,0.3793103448275862
1,gpt4,doi_collectionSpecie,0.8,1st,0.3333333333333333
1,gpt4,doi_collectionSpecie,0.8,2nd,0.2988505747126437
1,gpt4,doi_collectionSpecie,0.8,3rd,0.2807017543859649
1,gpt4,doi_collectionSpecie,0.8,4th,0.35714285714285715
1,gpt4,doi_collectionSpecie,0.8,1st,0.2926829268292683
1,gpt4,doi_collectionSpecie,0.8,2nd,0.3023255813953488
1,gpt4,doi_collectionSpecie,0.8,3rd,0.2857142857142857
1,gpt4,doi_collectionSpecie,0.8,4th,0.28
1,gpt4,doi_collectionSpecie,0.8,1st,0.34146341463414637
1,gpt4,doi_collectionSpecie,0.8,2nd,0.29069767441860467
1,gpt4,doi_collectionSpecie,0.8,3rd,0.2982456140350877
1,gpt4,doi_collectionSpecie,0.8,4th,0.2857142857142857
5,gpt4,doi_collectionSpecie,0.8,1st,0.3467741935483871
5,gpt4,doi_collectionSpecie,0.8,2nd,0.41975308641975306
5,gpt4,doi_collectionSpecie,0.8,3rd,0.46296296296296297
5,gpt4,doi_collectionSpecie,0.8,4th,0.37037037037037035
5,gpt4,doi_collectionSpecie,0.8,1st,0.3089430894308943
5,gpt4,doi_collectionSpecie,0.8,2nd,0.35365853658536583
5,gpt4,doi_collectionSpecie,0.8,3rd,0.3392857142857143
5,gpt4,doi_collectionSpecie,0.8,4th,0.35714285714285715
5,gpt4,doi_collectionSpecie,0.8,1st,0.3333333333333333
5,gpt4,doi_collectionSpecie,0.8,2nd,0.32558139534883723
5,gpt4,doi_collectionSpecie,0.8,3rd,0.3389830508474576
5,gpt4,doi_collectionSpecie,0.8,4th,0.2857142857142857
5,gpt4,doi_collectionSpecie,0.8,1st,0.34959349593495936
5,gpt4,doi_collectionSpecie,0.8,2nd,0.39759036144578314
5,gpt4,doi_collectionSpecie,0.8,3rd,0.40350877192982454
5,gpt4,doi_collectionSpecie,0.8,4th,0.46153846153846156
5,gpt4,doi_collectionSpecie,0.8,1st,0.3252032520325203
5,gpt4,doi_collectionSpecie,0.8,2nd,0.32941176470588235
5,gpt4,doi_collectionSpecie,0.8,3rd,0.3793103448275862
5,gpt4,doi_collectionSpecie,0.8,4th,0.4827586206896552
5,gpt4,doi_collectionSpecie,0.8,1st,0.34959349593495936
5,gpt4,doi_collectionSpecie,0.8,2nd,0.34523809523809523
5,gpt4,doi_collectionSpecie,0.8,3rd,0.41818181818181815
5,gpt4,doi_collectionSpecie,0.8,4th,0.38461538461538464
5,gpt4,doi_collectionSpecie,0.8,1st,0.3467741935483871
5,gpt4,doi_collectionSpecie,0.8,2nd,0.36470588235294116
5,gpt4,doi_collectionSpecie,0.8,3rd,0.3620689655172414
5,gpt4,doi_collectionSpecie,0.8,4th,0.41379310344827586
5,gpt4,doi_collectionSpecie,0.8,1st,0.34959349593495936
