k,algorithm,edge_group,split,dynamic_stage,value
1,gpt4,doi_name,0.8,1st,0.056657223796033995
1,gpt4,doi_name,0.8,2nd,0.06382978723404255
1,gpt4,doi_name,0.8,3rd,0.05555555555555555
1,gpt4,doi_name,0.8,4th,0.046511627906976744
1,gpt4,doi_name,0.8,1st,0.05128205128205128
1,gpt4,doi_name,0.8,2nd,0.07692307692307693
1,gpt4,doi_name,0.8,3rd,0.07627118644067797
1,gpt4,doi_name,0.8,4th,0.14285714285714285
1,gpt4,doi_name,0.8,1st,0.04843304843304843
1,gpt4,doi_name,0.8,2nd,0.06976744186046512
1,gpt4,doi_name,0.8,3rd,0.07964601769911504
1,gpt4,doi_name,0.8,4th,0.12195121951219512
1,gpt4,doi_name,0.8,1st,0.05982905982905983
1,gpt4,doi_name,0.8,2nd,0.09405940594059406
1,gpt4,doi_name,0.8,3rd,0.11206896551724138
1,gpt4,doi_name,0.8,4th,0.20833333333333334
1,gpt4,doi_name,0.8,1st,0.05649717514124294
1,gpt4,doi_name,0.8,2nd,0.06282722513089005
1,gpt4,doi_name,0.8,3rd,0.058823529411764705
1,gpt4,doi_name,0.8,4th,0.027777777777777776
1,gpt4,doi_name,0.8,1st,0.05128205128205128
1,gpt4,doi_name,0.8,2nd,0.07216494845360824
1,gpt4,doi_name,0.8,3rd,0.049019607843137254
1,gpt4,doi_name,0.8,4th,0.05
1,gpt4,doi_name,0.8,1st,0.06515580736543909
1,gpt4,doi_name,0.8,2nd,0.0913978494623656
1,gpt4,doi_name,0.8,3rd,0.08181818181818182
1,gpt4,doi_name,0.8,4th,0.0975609756097561
1,gpt4,doi_name,0.8,1st,0.05128205128205128
1,gpt4,doi_name,0.8,2nd,0.06341463414634146
1,gpt4,doi_name,0.8,3rd,0.0660377358490566
1,gpt4,doi_name,0.8,4th,0.06521739130434782
1,gpt4,doi_name,0.8,1st,0.056818181818181816
1,gpt4,doi_name,0.8,2nd,0.0625
1,gpt4,doi_name,0.8,3rd,0.06930693069306931
1,gpt4,doi_name,0.8,4th,0.06666666666666667
1,gpt4,doi_name,0.8,1st,0.045584045584045586
1,gpt4,doi_name,0.8,2nd,0.06341463414634146
1,gpt4,doi_name,0.8,3rd,0.09009009009009009
1,gpt4,doi_name,0.8,4th,0.1111111111111111
5,gpt4,doi_name,0.8,1st,0.18413597733711048
5,gpt4,doi_name,0.8,2nd,0.16489361702127658
5,gpt4,doi_name,0.8,3rd,0.12962962962962962
5,gpt4,doi_name,0.8,4th,0.11627906976744186
5,gpt4,doi_name,0.8,1st,0.19943019943019943
5,gpt4,doi_name,0.8,2nd,0.2564102564102564
5,gpt4,doi_name,0.8,3rd,0.2288135593220339
5,gpt4,doi_name,0.8,4th,0.2619047619047619
5,gpt4,doi_name,0.8,1st,0.1908831908831909
5,gpt4,doi_name,0.8,2nd,0.2372093023255814
5,gpt4,doi_name,0.8,3rd,0.24778761061946902
5,gpt4,doi_name,0.8,4th,0.1951219512195122
5,gpt4,doi_name,0.8,1st,0.18803418803418803
5,gpt4,doi_name,0.8,2nd,0.2079207920792079
5,gpt4,doi_name,0.8,3rd,0.20689655172413793
5,gpt4,doi_name,0.8,4th,0.2708333333333333
5,gpt4,doi_name,0.8,1st,0.2033898305084746
5,gpt4,doi_name,0.8,2nd,0.23036649214659685
5,gpt4,doi_name,0.8,3rd,0.20588235294117646
5,gpt4,doi_name,0.8,4th,0.08333333333333333
5,gpt4,doi_name,0.8,1st,0.18518518518518517
5,gpt4,doi_name,0.8,2nd,0.22164948453608246
5,gpt4,doi_name,0.8,3rd,0.13725490196078433
5,gpt4,doi_name,0.8,4th,0.125
5,gpt4,doi_name,0.8,1st,0.19830028328611898
5,gpt4,doi_name,0.8,2nd,0.22580645161290322
5,gpt4,doi_name,0.8,3rd,0.22727272727272727
5,gpt4,doi_name,0.8,4th,0.1951219512195122
5,gpt4,doi_name,0.8,1st,0.18803418803418803
5,gpt4,doi_name,0.8,2nd,0.16097560975609757
5,gpt4,doi_name,0.8,3rd,0.16981132075471697
5,gpt4,doi_name,0.8,4th,0.10869565217391304
5,gpt4,doi_name,0.8,1st,0.17897727272727273
5,gpt4,doi_name,0.8,2nd,0.22115384615384615
5,gpt4,doi_name,0.8,3rd,0.2079207920792079
5,gpt4,doi_name,0.8,4th,0.17777777777777778
5,gpt4,doi_name,0.8,1st,0.1908831908831909
5,gpt4,doi_name,0.8,2nd,0.17560975609756097
5,gpt4,doi_name,0.8,3rd,0.1981981981981982
5,gpt4,doi_name,0.8,4th,0.24444444444444444
10,gpt4,doi_name,0.8,1st,0.21529745042492918
10,gpt4,doi_name,0.8,2nd,0.17553191489361702
10,gpt4,doi_name,0.8,3rd,0.14814814814814814
10,gpt4,doi_name,0.8,4th,0.11627906976744186
10,gpt4,doi_name,0.8,1st,0.24216524216524216
10,gpt4,doi_name,0.8,2nd,0.28717948717948716
10,gpt4,doi_name,0.8,3rd,0.2711864406779661
10,gpt4,doi_name,0.8,4th,0.2619047619047619
10,gpt4,doi_name,0.8,1st,0.2336182336182336
10,gpt4,doi_name,0.8,2nd,0.26046511627906976
10,gpt4,doi_name,0.8,3rd,0.26548672566371684
10,gpt4,doi_name,0.8,4th,0.1951219512195122
10,gpt4,doi_name,0.8,1st,0.23646723646723647
10,gpt4,doi_name,0.8,2nd,0.23267326732673269
10,gpt4,doi_name,0.8,3rd,0.2413793103448276
10,gpt4,doi_name,0.8,4th,0.2916666666666667
10,gpt4,doi_name,0.8,1st,0.2542372881355932
10,gpt4,doi_name,0.8,2nd,0.25654450261780104
10,gpt4,doi_name,0.8,3rd,0.21568627450980393
10,gpt4,doi_name,0.8,4th,0.08333333333333333
10,gpt4,doi_name,0.8,1st,0.23646723646723647
10,gpt4,doi_name,0.8,2nd,0.28350515463917525
10,gpt4,doi_name,0.8,3rd,0.17647058823529413
10,gpt4,doi_name,0.8,4th,0.15
10,gpt4,doi_name,0.8,1st,0.23796033994334279
10,gpt4,doi_name,0.8,2nd,0.24193548387096775
10,gpt4,doi_name,0.8,3rd,0.24545454545454545
10,gpt4,doi_name,0.8,4th,0.1951219512195122
10,gpt4,doi_name,0.8,1st,0.23931623931623933
10,gpt4,doi_name,0.8,2nd,0.18536585365853658
10,gpt4,doi_name,0.8,3rd,0.19811320754716982
10,gpt4,doi_name,0.8,4th,0.13043478260869565
10,gpt4,doi_name,0.8,1st,0.23295454545454544
10,gpt4,doi_name,0.8,2nd,0.27403846153846156
10,gpt4,doi_name,0.8,3rd,0.2376237623762376
10,gpt4,doi_name,0.8,4th,0.2
10,gpt4,doi_name,0.8,1st,0.23646723646723647
10,gpt4,doi_name,0.8,2nd,0.2
10,gpt4,doi_name,0.8,3rd,0.2072072072072072
10,gpt4,doi_name,0.8,4th,0.24444444444444444
15,gpt4,doi_name,0.8,1st,0.2237960339943343
15,gpt4,doi_name,0.8,2nd,0.17553191489361702
15,gpt4,doi_name,0.8,3rd,0.14814814814814814
15,gpt4,doi_name,0.8,4th,0.11627906976744186
15,gpt4,doi_name,0.8,1st,0.2535612535612536
15,gpt4,doi_name,0.8,2nd,0.2923076923076923
15,gpt4,doi_name,0.8,3rd,0.2711864406779661
15,gpt4,doi_name,0.8,4th,0.2619047619047619
15,gpt4,doi_name,0.8,1st,0.24216524216524216
15,gpt4,doi_name,0.8,2nd,0.26046511627906976
15,gpt4,doi_name,0.8,3rd,0.26548672566371684
15,gpt4,doi_name,0.8,4th,0.1951219512195122
15,gpt4,doi_name,0.8,1st,0.24216524216524216
15,gpt4,doi_name,0.8,2nd,0.23267326732673269
15,gpt4,doi_name,0.8,3rd,0.2413793103448276
15,gpt4,doi_name,0.8,4th,0.2916666666666667
15,gpt4,doi_name,0.8,1st,0.2598870056497175
15,gpt4,doi_name,0.8,2nd,0.2617801047120419
15,gpt4,doi_name,0.8,3rd,0.21568627450980393
15,gpt4,doi_name,0.8,4th,0.08333333333333333
15,gpt4,doi_name,0.8,1st,0.245014245014245
15,gpt4,doi_name,0.8,2nd,0.29381443298969073
15,gpt4,doi_name,0.8,3rd,0.17647058823529413
15,gpt4,doi_name,0.8,4th,0.15
15,gpt4,doi_name,0.8,1st,0.24645892351274787
15,gpt4,doi_name,0.8,2nd,0.24731182795698925
15,gpt4,doi_name,0.8,3rd,0.24545454545454545
15,gpt4,doi_name,0.8,4th,0.1951219512195122
15,gpt4,doi_name,0.8,1st,0.24786324786324787
15,gpt4,doi_name,0.8,2nd,0.18536585365853658
15,gpt4,doi_name,0.8,3rd,0.19811320754716982
15,gpt4,doi_name,0.8,4th,0.13043478260869565
15,gpt4,doi_name,0.8,1st,0.24147727272727273
15,gpt4,doi_name,0.8,2nd,0.27884615384615385
15,gpt4,doi_name,0.8,3rd,0.2376237623762376
15,gpt4,doi_name,0.8,4th,0.2
15,gpt4,doi_name,0.8,1st,0.24786324786324787
15,gpt4,doi_name,0.8,2nd,0.2097560975609756
15,gpt4,doi_name,0.8,3rd,0.2072072072072072
15,gpt4,doi_name,0.8,4th,0.24444444444444444
20,gpt4,doi_name,0.8,1st,0.22662889518413598
20,gpt4,doi_name,0.8,2nd,0.18085106382978725
20,gpt4,doi_name,0.8,3rd,0.1574074074074074
20,gpt4,doi_name,0.8,4th,0.13953488372093023
20,gpt4,doi_name,0.8,1st,0.2564102564102564
20,gpt4,doi_name,0.8,2nd,0.29743589743589743
20,gpt4,doi_name,0.8,3rd,0.2711864406779661
20,gpt4,doi_name,0.8,4th,0.2619047619047619
20,gpt4,doi_name,0.8,1st,0.245014245014245
20,gpt4,doi_name,0.8,2nd,0.26046511627906976
20,gpt4,doi_name,0.8,3rd,0.26548672566371684
20,gpt4,doi_name,0.8,4th,0.1951219512195122
20,gpt4,doi_name,0.8,1st,0.245014245014245
20,gpt4,doi_name,0.8,2nd,0.23267326732673269
20,gpt4,doi_name,0.8,3rd,0.2413793103448276
20,gpt4,doi_name,0.8,4th,0.2916666666666667
20,gpt4,doi_name,0.8,1st,0.2627118644067797
20,gpt4,doi_name,0.8,2nd,0.2617801047120419
20,gpt4,doi_name,0.8,3rd,0.21568627450980393
20,gpt4,doi_name,0.8,4th,0.08333333333333333
20,gpt4,doi_name,0.8,1st,0.24786324786324787
20,gpt4,doi_name,0.8,2nd,0.29896907216494845
20,gpt4,doi_name,0.8,3rd,0.17647058823529413
20,gpt4,doi_name,0.8,4th,0.15
20,gpt4,doi_name,0.8,1st,0.24645892351274787
20,gpt4,doi_name,0.8,2nd,0.24731182795698925
20,gpt4,doi_name,0.8,3rd,0.24545454545454545
20,gpt4,doi_name,0.8,4th,0.1951219512195122
20,gpt4,doi_name,0.8,1st,0.25071225071225073
20,gpt4,doi_name,0.8,2nd,0.18536585365853658
20,gpt4,doi_name,0.8,3rd,0.19811320754716982
20,gpt4,doi_name,0.8,4th,0.13043478260869565
20,gpt4,doi_name,0.8,1st,0.24431818181818182
20,gpt4,doi_name,0.8,2nd,0.27884615384615385
20,gpt4,doi_name,0.8,3rd,0.2376237623762376
20,gpt4,doi_name,0.8,4th,0.2
20,gpt4,doi_name,0.8,1st,0.25071225071225073
20,gpt4,doi_name,0.8,2nd,0.2146341463414634
20,gpt4,doi_name,0.8,3rd,0.2072072072072072
20,gpt4,doi_name,0.8,4th,0.24444444444444444
25,gpt4,doi_name,0.8,1st,0.22662889518413598
25,gpt4,doi_name,0.8,2nd,0.18085106382978725
25,gpt4,doi_name,0.8,3rd,0.1574074074074074
25,gpt4,doi_name,0.8,4th,0.13953488372093023
25,gpt4,doi_name,0.8,1st,0.2564102564102564
25,gpt4,doi_name,0.8,2nd,0.29743589743589743
25,gpt4,doi_name,0.8,3rd,0.2711864406779661
25,gpt4,doi_name,0.8,4th,0.2619047619047619
25,gpt4,doi_name,0.8,1st,0.245014245014245
25,gpt4,doi_name,0.8,2nd,0.26046511627906976
25,gpt4,doi_name,0.8,3rd,0.26548672566371684
25,gpt4,doi_name,0.8,4th,0.1951219512195122
25,gpt4,doi_name,0.8,1st,0.245014245014245
25,gpt4,doi_name,0.8,2nd,0.23267326732673269
25,gpt4,doi_name,0.8,3rd,0.2413793103448276
25,gpt4,doi_name,0.8,4th,0.2916666666666667
25,gpt4,doi_name,0.8,1st,0.2627118644067797
25,gpt4,doi_name,0.8,2nd,0.2617801047120419
25,gpt4,doi_name,0.8,3rd,0.21568627450980393
25,gpt4,doi_name,0.8,4th,0.08333333333333333
25,gpt4,doi_name,0.8,1st,0.24786324786324787
25,gpt4,doi_name,0.8,2nd,0.29896907216494845
25,gpt4,doi_name,0.8,3rd,0.17647058823529413
25,gpt4,doi_name,0.8,4th,0.15
25,gpt4,doi_name,0.8,1st,0.24645892351274787
25,gpt4,doi_name,0.8,2nd,0.24731182795698925
25,gpt4,doi_name,0.8,3rd,0.24545454545454545
25,gpt4,doi_name,0.8,4th,0.1951219512195122
25,gpt4,doi_name,0.8,1st,0.25071225071225073
25,gpt4,doi_name,0.8,2nd,0.18536585365853658
25,gpt4,doi_name,0.8,3rd,0.19811320754716982
25,gpt4,doi_name,0.8,4th,0.13043478260869565
25,gpt4,doi_name,0.8,1st,0.24431818181818182
25,gpt4,doi_name,0.8,2nd,0.27884615384615385
25,gpt4,doi_name,0.8,3rd,0.2376237623762376
25,gpt4,doi_name,0.8,4th,0.2
25,gpt4,doi_name,0.8,1st,0.25071225071225073
25,gpt4,doi_name,0.8,2nd,0.2146341463414634
25,gpt4,doi_name,0.8,3rd,0.2072072072072072
25,gpt4,doi_name,0.8,4th,0.24444444444444444
30,gpt4,doi_name,0.8,1st,0.22662889518413598
30,gpt4,doi_name,0.8,2nd,0.18085106382978725
30,gpt4,doi_name,0.8,3rd,0.1574074074074074
30,gpt4,doi_name,0.8,4th,0.13953488372093023
30,gpt4,doi_name,0.8,1st,0.25925925925925924
30,gpt4,doi_name,0.8,2nd,0.30256410256410254
30,gpt4,doi_name,0.8,3rd,0.2711864406779661
30,gpt4,doi_name,0.8,4th,0.2619047619047619
30,gpt4,doi_name,0.8,1st,0.24786324786324787
30,gpt4,doi_name,0.8,2nd,0.26046511627906976
30,gpt4,doi_name,0.8,3rd,0.26548672566371684
30,gpt4,doi_name,0.8,4th,0.1951219512195122
30,gpt4,doi_name,0.8,1st,0.24786324786324787
30,gpt4,doi_name,0.8,2nd,0.23267326732673269
30,gpt4,doi_name,0.8,3rd,0.2413793103448276
30,gpt4,doi_name,0.8,4th,0.2916666666666667
30,gpt4,doi_name,0.8,1st,0.2655367231638418
30,gpt4,doi_name,0.8,2nd,0.2617801047120419
30,gpt4,doi_name,0.8,3rd,0.21568627450980393
30,gpt4,doi_name,0.8,4th,0.08333333333333333
30,gpt4,doi_name,0.8,1st,0.25071225071225073
30,gpt4,doi_name,0.8,2nd,0.30412371134020616
30,gpt4,doi_name,0.8,3rd,0.17647058823529413
30,gpt4,doi_name,0.8,4th,0.15
30,gpt4,doi_name,0.8,1st,0.24645892351274787
30,gpt4,doi_name,0.8,2nd,0.24731182795698925
30,gpt4,doi_name,0.8,3rd,0.24545454545454545
30,gpt4,doi_name,0.8,4th,0.1951219512195122
30,gpt4,doi_name,0.8,1st,0.25071225071225073
30,gpt4,doi_name,0.8,2nd,0.18536585365853658
30,gpt4,doi_name,0.8,3rd,0.19811320754716982
30,gpt4,doi_name,0.8,4th,0.13043478260869565
30,gpt4,doi_name,0.8,1st,0.2471590909090909
30,gpt4,doi_name,0.8,2nd,0.27884615384615385
30,gpt4,doi_name,0.8,3rd,0.2376237623762376
30,gpt4,doi_name,0.8,4th,0.2
30,gpt4,doi_name,0.8,1st,0.25071225071225073
30,gpt4,doi_name,0.8,2nd,0.2146341463414634
30,gpt4,doi_name,0.8,3rd,0.2072072072072072
30,gpt4,doi_name,0.8,4th,0.24444444444444444
35,gpt4,doi_name,0.8,1st,0.22662889518413598
35,gpt4,doi_name,0.8,2nd,0.18085106382978725
35,gpt4,doi_name,0.8,3rd,0.1574074074074074
35,gpt4,doi_name,0.8,4th,0.13953488372093023
35,gpt4,doi_name,0.8,1st,0.25925925925925924
35,gpt4,doi_name,0.8,2nd,0.30256410256410254
35,gpt4,doi_name,0.8,3rd,0.2711864406779661
35,gpt4,doi_name,0.8,4th,0.2619047619047619
35,gpt4,doi_name,0.8,1st,0.24786324786324787
35,gpt4,doi_name,0.8,2nd,0.26046511627906976
35,gpt4,doi_name,0.8,3rd,0.26548672566371684
35,gpt4,doi_name,0.8,4th,0.1951219512195122
35,gpt4,doi_name,0.8,1st,0.24786324786324787
35,gpt4,doi_name,0.8,2nd,0.23267326732673269
35,gpt4,doi_name,0.8,3rd,0.2413793103448276
35,gpt4,doi_name,0.8,4th,0.2916666666666667
35,gpt4,doi_name,0.8,1st,0.2655367231638418
35,gpt4,doi_name,0.8,2nd,0.2617801047120419
35,gpt4,doi_name,0.8,3rd,0.21568627450980393
35,gpt4,doi_name,0.8,4th,0.08333333333333333
35,gpt4,doi_name,0.8,1st,0.25071225071225073
35,gpt4,doi_name,0.8,2nd,0.30412371134020616
35,gpt4,doi_name,0.8,3rd,0.17647058823529413
35,gpt4,doi_name,0.8,4th,0.15
35,gpt4,doi_name,0.8,1st,0.24645892351274787
35,gpt4,doi_name,0.8,2nd,0.24731182795698925
35,gpt4,doi_name,0.8,3rd,0.24545454545454545
35,gpt4,doi_name,0.8,4th,0.1951219512195122
35,gpt4,doi_name,0.8,1st,0.25071225071225073
35,gpt4,doi_name,0.8,2nd,0.18536585365853658
35,gpt4,doi_name,0.8,3rd,0.19811320754716982
35,gpt4,doi_name,0.8,4th,0.13043478260869565
35,gpt4,doi_name,0.8,1st,0.2471590909090909
35,gpt4,doi_name,0.8,2nd,0.27884615384615385
35,gpt4,doi_name,0.8,3rd,0.2376237623762376
35,gpt4,doi_name,0.8,4th,0.2
35,gpt4,doi_name,0.8,1st,0.25071225071225073
35,gpt4,doi_name,0.8,2nd,0.2146341463414634
35,gpt4,doi_name,0.8,3rd,0.2072072072072072
35,gpt4,doi_name,0.8,4th,0.24444444444444444
40,gpt4,doi_name,0.8,1st,0.22662889518413598
40,gpt4,doi_name,0.8,2nd,0.18085106382978725
40,gpt4,doi_name,0.8,3rd,0.1574074074074074
40,gpt4,doi_name,0.8,4th,0.13953488372093023
