algorithm,edge_group,split,dynamic_stage,value
gpt4,doi_collectionSpecie,0.8,1st,0.9883720930232558
gpt4,doi_collectionSpecie,0.8,2nd,1.0
gpt4,doi_collectionSpecie,0.8,3rd,1.0
gpt4,doi_collectionSpecie,0.8,4th,1.0
gpt4,doi_collectionSpecie,0.8,1st,0.9459706959706958
gpt4,doi_collectionSpecie,0.8,2nd,0.9827586206896551
gpt4,doi_collectionSpecie,0.8,3rd,1.0
gpt4,doi_collectionSpecie,0.8,4th,1.0
gpt4,doi_collectionSpecie,0.8,1st,0.9379251700680271
gpt4,doi_collectionSpecie,0.8,2nd,0.9704433497536946
gpt4,doi_collectionSpecie,0.8,3rd,1.0
gpt4,doi_collectionSpecie,0.8,4th,1.0
gpt4,doi_collectionSpecie,0.8,1st,0.9767441860465116
gpt4,doi_collectionSpecie,0.8,2nd,0.9696969696969697
gpt4,doi_collectionSpecie,0.8,3rd,0.9782608695652174
gpt4,doi_collectionSpecie,0.8,4th,0.9583333333333334
gpt4,doi_collectionSpecie,0.8,1st,0.9875
gpt4,doi_collectionSpecie,0.8,2nd,0.9821428571428571
gpt4,doi_collectionSpecie,0.8,3rd,0.9772727272727273
gpt4,doi_collectionSpecie,0.8,4th,1.0
gpt4,doi_collectionSpecie,0.8,1st,0.9407467532467532
gpt4,doi_collectionSpecie,0.8,2nd,0.9297619047619048
gpt4,doi_collectionSpecie,0.8,3rd,0.9122023809523809
gpt4,doi_collectionSpecie,0.8,4th,0.925
gpt4,doi_collectionSpecie,0.8,1st,0.9407467532467532
gpt4,doi_collectionSpecie,0.8,2nd,0.9435483870967742
gpt4,doi_collectionSpecie,0.8,3rd,0.9523809523809523
gpt4,doi_collectionSpecie,0.8,4th,0.9583333333333334
gpt4,doi_collectionSpecie,0.8,1st,0.9521103896103895
gpt4,doi_collectionSpecie,0.8,2nd,0.9553571428571429
gpt4,doi_collectionSpecie,0.8,3rd,0.9558823529411765
gpt4,doi_collectionSpecie,0.8,4th,1.0
gpt4,doi_collectionSpecie,0.8,1st,0.9551282051282052
gpt4,doi_collectionSpecie,0.8,2nd,0.9396551724137931
gpt4,doi_collectionSpecie,0.8,3rd,0.9078947368421053
gpt4,doi_collectionSpecie,0.8,4th,0.9375
gpt4,doi_collectionSpecie,0.8,1st,0.9433229813664596
gpt4,doi_collectionSpecie,0.8,2nd,0.9497354497354498
gpt4,doi_collectionSpecie,0.8,3rd,1.0
gpt4,doi_collectionSpecie,0.8,4th,1.0
